system,model,nrmse_med,vpt_med,div_frac,w1_med
henon,elm300,0.00027413533749335,7.205480815697641,0.0,0.013987445000092451
henon,esn300,0.0094008489605976,3.3356053409711675,0.2833333333333333,0.017203003356602298
henon,ngrc,1.6619568589996119e-06,13.082162404242819,0.0,0.0136185749712092
henon,qrc_rich,0.0045737524483600005,4.922373861383979,0.0,0.013184184637138299
lorenz,elm300,0.0005733687077719,0.81504,0.5166666666666667,2.834832562820697
lorenz,esn300,0.03255060899141725,0.54336,0.2,0.06339336830299966
lorenz,ngrc,0.0016132150752257999,0.54336,1.0,4.045886297810281e+220
lorenz,qrc_rich,0.01264478337643625,0.4980799999999999,0.13333333333333333,0.1739033336181238
mackeyglass,elm300,0.0017109274193462,0.1676,0.9833333333333333,4.618274539599879
mackeyglass,esn300,0.0070235073002346,1.40784,0.016666666666666666,0.01477929843036685
mackeyglass,ngrc,0.0023237041394585,0.15922,0.8,4.9935181554588576e+197
mackeyglass,qrc_rich,0.004579343020114,0.10056,0.016666666666666666,0.1990262533787129
