model,scaler,encode_scale,nrmse_mean,nrmse_std
qrc_v4,minmax,0.5,0.39924191314673874,0.1406199082770083
qrc_v4,minmax,1.0,0.5639835904874322,0.054873927860977105
qrc_v4,minmax,1.5,0.6494276339022578,0.030919208990224614
qrc_v4,minmax,2.0,0.6822486719809404,0.0073525339303856085
qrc_v4,minmax,3.0,0.7380155452986698,0.03735319431867131
qrc_v4,minmax,4.0,0.9250733505848217,0.019683699517720393
qrc_v4,minmax,6.0,0.29754032562324534,0.007443840996967589
qrc_v4,standard,0.5,0.3054647308483184,0.15099352883774084
qrc_v4,standard,1.0,0.5043962189007493,0.047550303325216016
qrc_v4,standard,1.5,0.5091906599885077,0.01480395118860182
qrc_v4,standard,2.0,0.5717875535682937,0.012811528686548506
qrc_v4,standard,3.0,0.8424547553328207,0.04268982601417916
qrc_v4,standard,4.0,0.9190454309605507,0.00754771960000544
qrc_v4,standard,6.0,0.9829821892741238,0.0077003374092021945
qrc_v6,minmax,0.5,0.3822348901755698,0.031009007811235022
qrc_v6,minmax,1.0,0.2706064005808444,0.02986287703557932
qrc_v6,minmax,1.5,0.2940813059334796,0.0039933244897780405
qrc_v6,minmax,2.0,0.3456983676016724,0.05705222403006129
qrc_v6,minmax,3.0,0.487740874882182,0.23087156876569181
qrc_v6,minmax,4.0,0.7366171403591147,0.06619845977764824
qrc_v6,minmax,6.0,0.271776465384158,0.030939562061453724
qrc_v6,standard,0.5,0.5676552120146885,0.025632032592645758
qrc_v6,standard,1.0,0.49617463970779213,0.04633095290159915
qrc_v6,standard,1.5,0.49042364999020205,0.03662515918626345
qrc_v6,standard,2.0,0.5253419024239779,0.020583140004542515
qrc_v6,standard,3.0,0.8274200533042915,0.017629335242208628
qrc_v6,standard,4.0,0.8955998046317747,0.0014543259667174132
qrc_v6,standard,6.0,0.9978007313493048,0.004202728796576804
qrc_rich,minmax,0.5,0.0011108780842628,4.290507553720055e-05
qrc_rich,minmax,1.0,0.004431221545069176,6.95835773846198e-05
qrc_rich,minmax,1.5,0.00959617685263336,0.00026658351188422997
qrc_rich,minmax,2.0,0.013414811764394274,0.0035094549598962185
qrc_rich,minmax,3.0,0.01971486559567086,0.01579557186006822
qrc_rich,minmax,4.0,0.03673234158403957,0.017122316312858592
qrc_rich,minmax,6.0,0.09391779089554661,0.03793408478653301
qrc_rich,standard,0.5,0.01253785755366521,0.0010053715056120248
qrc_rich,standard,1.0,0.026608276414027528,0.019939647624326883
qrc_rich,standard,1.5,0.05012217138003083,0.040515691977581675
qrc_rich,standard,2.0,0.13516492936646185,0.0491241159440122
qrc_rich,standard,3.0,0.3907269888188206,0.02250603767290853
qrc_rich,standard,4.0,0.6127724118695436,0.013728376699440104
qrc_rich,standard,6.0,0.6885599777452011,0.022436293363366312
