rank,key,model,group,nrmse_mean,nrmse_std,rmse_mean,mae_mean,r2_mean,n_features,n_params
1,ngrc,NG-RC,reservoir,2.3841759566420112e-07,2.6469779601696886e-23,6.698265688801116e-08,5.35004731031693e-08,0.9999999999999432,10,11.0
2,elm,ELM,reservoir,0.00014358592449548811,1.680075573462482e-05,4.0340003797267056e-05,3.26490986407293e-05,0.9999999791008168,300,301.0
3,qrc_rich,QRC-rich,quantum,0.00446101562113695,7.648861032671202e-05,0.001293435926497486,0.001041471183397375,0.9999800934891204,96,97.0
4,esn,ESN,reservoir,0.006675707827444388,0.00010310323680506402,0.0018755186488840989,0.0015025181851533724,0.9999554242947251,300,301.0
5,random_forest,RandomForest,ml,0.009990505436876207,4.155043407752191e-05,0.00280680037877158,0.0018742041851433037,0.9999001880746773,4,
6,lightgbm,LightGBM,ml,0.016595268356877243,0.0,0.004662387284027482,0.0028977156213106313,0.9997245970681631,4,
7,hist_gb,HistGradientBoosting,ml,0.01697024405270164,0.0,0.0047677355000632,0.0033590393181779084,0.9997120108167917,4,
8,xgboost,XGBoost,ml,0.017094977241063142,0.0006948387092569001,0.00480277888826318,0.003366480558402721,0.9997072789522957,4,
9,knn,kNN,ml,0.01987978360614221,0.0,0.005585161282196737,0.003594795153407867,0.999604794203773,4,
10,esn_rpy,ESN (reservoirpy),reservoir,0.039205402826253066,0.001963106068172836,0.011014631862011867,0.00870442691329173,0.9984590826037963,300,301.0
11,transformer,Transformer,dl,0.04268850778630304,0.0038519610924064667,0.011993199000875891,0.009425765304821051,0.9981628536987213,8,8897.0
12,mlp,MLP,dl,0.044339889723801144,0.006036079555175431,0.01245714944632157,0.00931028936835363,0.9979975399228849,8,4801.0
13,cnn,1D-CNN/TCN,dl,0.04762608518636765,0.010796470004425126,0.013380395495015296,0.010304383624890062,0.9976151922452644,8,12673.0
14,gru,GRU,dl,0.08532503862920789,0.007617288838508033,0.023971795246632014,0.017520299128656346,0.992661614693675,8,12929.0
15,lstm,LSTM,dl,0.10990302768249283,0.03145395260552765,0.03087690224247726,0.022828440964388408,0.9869319733717105,8,17217.0
16,svr,SVR,ml,0.2609663270209863,0.0,0.07331765045895029,0.06713394585169288,0.9318965761611756,4,
17,qrc_v6,QRC-v6,quantum,0.28894117795785684,0.025395553711145838,0.08377619178117701,0.06226649975885829,0.9158680615320304,24,25.0
18,qrc_v4,QRC-v4,quantum,0.5898422618012266,0.03838164104035362,0.1710200629572781,0.1427963246324576,0.6506129558242627,16,17.0
19,linear,Linear-Ridge,reservoir,0.8745891633031845,0.0,0.24571301325435776,0.20378425467849473,0.23509379543263575,4,5.0
20,arima,ARIMA,statistical,0.912483630424187,0.0,0.25635934194519466,0.21657549986647098,0.1673736242078958,2,5.0
21,ar,AR,statistical,0.9314036979035496,0.0,0.2616748740674677,0.22410801413263448,0.1324871515315933,2,4.0
22,ets,ETS,statistical,1.012751674046113,0.0,0.28452932639642226,0.2405494159554397,-0.025665953283204423,2,4.0
23,naive,Naive,statistical,1.6219178643271113,0.0,0.4556726088278025,0.3815375382393924,-1.6306175586234175,1,0.0
