system,model,vs,seed,dm_stat,p
henon,arcsin,depth,0,5.820753099272196,1.5131335196087217e-08
henon,arcsin,depth,1,4.644056555660757,5.130789634258381e-06
henon,arcsin,depth,2,4.83105904104377,2.1762235994737436e-06
henon,arcsin,depth,3,5.374045607743972,1.555287971656175e-07
henon,arcsin,depth,4,5.873427211098418,1.1391360669117793e-08
henon,arcsin,elmF,0,5.943535140569045,7.783740745919991e-09
henon,arcsin,elmF,1,4.697086741843293,4.03396176073458e-06
henon,arcsin,elmF,2,4.92631088584985,1.3917306229363584e-06
henon,arcsin,elmF,3,5.483737305499721,8.891821565933613e-08
henon,arcsin,elmF,4,5.995283239451539,5.863865223744332e-09
henon,arcsin,ngrc,0,5.9486037688412186,7.571380368845467e-09
henon,arcsin,ngrc,1,4.699742074658524,3.985447278419924e-06
henon,arcsin,ngrc,2,4.932046218939959,1.3544737373504165e-06
henon,arcsin,ngrc,3,5.489363083876772,8.638466041538656e-08
henon,arcsin,ngrc,4,5.999526358715137,5.728795617866676e-09
henon,arcsin,chebpoly,0,5.948603783754758,7.571379752420992e-09
henon,arcsin,chebpoly,1,4.699742080893878,3.985447165158982e-06
henon,arcsin,chebpoly,2,4.932046230460838,1.3544736634877529e-06
henon,arcsin,chebpoly,3,5.489363097206136,8.638465449658243e-08
henon,arcsin,chebpoly,4,5.999526373414028,5.728795155272876e-09
henon,cheb,depth,0,10.525706333967912,3.081497875076167e-22
henon,cheb,depth,1,6.377060403907795,6.867296022337884e-10
henon,cheb,depth,2,5.879133421731552,1.1045078039801209e-08
henon,cheb,depth,3,6.148047451046869,2.5148462962240453e-09
henon,cheb,depth,4,6.9485168810354505,2.327866474720707e-11
henon,cheb,elmF,0,10.636131537957146,1.3082523647326562e-22
henon,cheb,elmF,1,6.704278729960861,1.013773041560736e-10
henon,cheb,elmF,2,6.110977884816557,3.092798923295659e-09
henon,cheb,elmF,3,6.38053000292565,6.731800603384989e-10
henon,cheb,elmF,4,7.181848662078264,5.520571856386945e-12
henon,cheb,ngrc,0,10.640832874143259,1.2612849407106947e-22
henon,cheb,ngrc,1,6.721677681275713,9.139995165045971e-11
henon,cheb,ngrc,2,6.125858537226412,2.8466571227546526e-09
henon,cheb,ngrc,3,6.393150569896353,6.260690685267994e-10
henon,cheb,ngrc,4,7.1907851042163236,5.221218337469088e-12
henon,cheb,chebpoly,0,10.640832888869665,1.2612847962497849e-22
henon,cheb,chebpoly,1,6.721677722970579,9.139992893741604e-11
henon,cheb,chebpoly,2,6.125858570556641,2.8466565935129993e-09
henon,cheb,chebpoly,3,6.3931505970627915,6.260689706830363e-10
henon,cheb,chebpoly,4,7.190785134579881,5.2212173480263575e-12
lorenz,arcsin,depth,0,3.5190889783043158,0.0005006323585214776
lorenz,arcsin,depth,1,5.6939755338285805,2.973314870360847e-08
lorenz,arcsin,depth,2,9.920932031949045,3.1258198029173606e-20
lorenz,arcsin,depth,3,4.285212240365704,2.467069240311092e-05
lorenz,arcsin,depth,4,3.538262653939011,0.0004670117998466052
lorenz,arcsin,elmF,0,3.613512711312545,0.00035446169103372713
lorenz,arcsin,elmF,1,5.75636462113817,2.1353822978644046e-08
lorenz,arcsin,elmF,2,10.027006272720177,1.40317343979679e-20
lorenz,arcsin,elmF,3,4.404186893133709,1.4821487736316801e-05
