system,encoding,seed,n_features,effective_rank,condition_number
henon,depth,0,96,29,5.309378322701972e+19
henon,depth,1,96,28,1.6878351541900086e+20
henon,depth,2,96,29,1.0996847694813445e+20
henon,depth,3,96,29,1.247418545502894e+19
henon,depth,4,96,29,2.3270176462368168e+20
henon,arcsin,0,96,29,5.455115601503525e+18
henon,arcsin,1,96,29,1.4965814694303348e+20
henon,arcsin,2,96,29,2.3796418234104623e+19
henon,arcsin,3,96,29,2.9479623696492884e+19
henon,arcsin,4,96,29,4.28990121958657e+19
henon,cheb,0,96,91,7696199842673985.0
henon,cheb,1,96,91,2.2407237586959976e+16
henon,cheb,2,96,91,1.5757314057808786e+16
henon,cheb,3,96,91,8043904413125637.0
henon,cheb,4,96,91,7781849164109823.0
