system,model,seed,nrmse,n_features,n_points
henon,depth,0,0.004389400700799065,96,1500
henon,depth,1,0.004567031618203596,96,1500
henon,depth,2,0.004426614544408188,96,1500
henon,depth,3,0.004386217051341267,96,1500
henon,depth,4,0.004386843810593769,96,1500
henon,width,0,8.166306754326583e-05,96,1500
henon,width,1,6.64334059228575e-05,96,1500
henon,width,2,7.347642564750501e-05,96,1500
henon,width,3,7.346085814644898e-05,96,1500
henon,width,4,7.440053263952314e-05,96,1500
henon,arcsin,0,0.03069405234441816,96,1500
henon,arcsin,1,0.041964365177044084,96,1500
henon,arcsin,2,0.03155373705727563,96,1500
henon,arcsin,3,0.030984463262029624,96,1500
henon,arcsin,4,0.031000561500180056,96,1500
henon,cheb,0,0.04238065273320519,96,1500
henon,cheb,1,0.01990125456951514,96,1500
henon,cheb,2,0.02142931681512956,96,1500
henon,cheb,3,0.022987642992986904,96,1500
henon,cheb,4,0.023989667981239256,96,1500
henon,elmF,0,0.0009013203987858825,96,1500
henon,elmF,1,0.0009924495624707235,96,1500
henon,elmF,2,0.001062053440559153,96,1500
henon,elmF,3,0.0010353686496456507,96,1500
henon,elmF,4,0.000989774291212548,96,1500
henon,ngrc,0,1.5867011999559015e-06,21,1500
henon,ngrc,1,1.5867011999559015e-06,21,1500
henon,ngrc,2,1.5867011999559015e-06,21,1500
henon,ngrc,3,1.5867011999559015e-06,21,1500
henon,ngrc,4,1.5867011999559015e-06,21,1500
henon,chebpoly,0,9.585476568697298e-08,66,1500
henon,chebpoly,1,9.585476568697298e-08,66,1500
henon,chebpoly,2,9.585476568697298e-08,66,1500
henon,chebpoly,3,9.585476568697298e-08,66,1500
henon,chebpoly,4,9.585476568697298e-08,66,1500
lorenz,depth,0,0.01327462181321126,96,1500
lorenz,depth,1,0.02547991976453791,96,1500
lorenz,depth,2,0.016617888865756113,96,1500
lorenz,depth,3,0.013611677896165325,96,1500
lorenz,depth,4,0.011721513611702815,96,1500
lorenz,width,0,0.0009727549036680288,96,1500
lorenz,width,1,0.0012043425807188762,96,1500
lorenz,width,2,0.0014457793002587694,96,1500
lorenz,width,3,0.0012454075718206397,96,1500
lorenz,width,4,0.0012549232849526067,96,1500
lorenz,arcsin,0,0.0774935814928111,96,1500
lorenz,arcsin,1,0.2387227171864316,96,1500
lorenz,arcsin,2,0.09629195454958778,96,1500
lorenz,arcsin,3,0.07754462726649373,96,1500
lorenz,arcsin,4,0.07760421920233893,96,1500
lorenz,cheb,0,0.16792226698023754,96,1500
lorenz,cheb,1,0.1449962670992374,96,1500
lorenz,cheb,2,0.13618658874565268,96,1500
lorenz,cheb,3,0.11672195973949534,96,1500
lorenz,cheb,4,0.15418598141922127,96,1500
lorenz,elmF,0,0.0012875339316352431,96,1500
lorenz,elmF,1,0.0011456805711253187,96,1500
lorenz,elmF,2,0.0019463460068099797,96,1500
lorenz,elmF,3,0.0017822918164724464,96,1500
lorenz,elmF,4,0.0017445997042213417,96,1500
lorenz,ngrc,0,0.0018550941268273865,56,1500
lorenz,ngrc,1,0.0018550941268273865,56,1500
lorenz,ngrc,2,0.0018550941268273865,56,1500
lorenz,ngrc,3,0.0018550941268273865,56,1500
lorenz,ngrc,4,0.0018550941268273865,56,1500
lorenz,chebpoly,0,0.0013049084984123414,136,1500
lorenz,chebpoly,1,0.0013049084984123414,136,1500
lorenz,chebpoly,2,0.0013049084984123414,136,1500
lorenz,chebpoly,3,0.0013049084984123414,136,1500
lorenz,chebpoly,4,0.0013049084984123414,136,1500
mackeyglass,depth,0,0.004520070388906503,96,1500
mackeyglass,depth,1,0.004619668760896657,96,1500
mackeyglass,depth,2,0.004581172612668992,96,1500
mackeyglass,depth,3,0.004745017038361798,96,1500
mackeyglass,depth,4,0.004625138554276815,96,1500
mackeyglass,width,0,0.0037710899444100333,96,1500
mackeyglass,width,1,0.003654212566650848,96,1500
mackeyglass,width,2,0.004021415961677887,96,1500
mackeyglass,width,3,0.0033563661972987806,96,1500
mackeyglass,width,4,0.003887572820867155,96,1500
mackeyglass,arcsin,0,0.057409495510777585,96,1500
mackeyglass,arcsin,1,0.10978466812395596,96,1500
mackeyglass,arcsin,2,0.061298339374848326,96,1500
mackeyglass,arcsin,3,0.057550336484402234,96,1500
mackeyglass,arcsin,4,0.05777673312916132,96,1500
mackeyglass,cheb,0,0.1150783903968402,96,1500
mackeyglass,cheb,1,0.07538964595044234,96,1500
mackeyglass,cheb,2,0.10277074784212395,96,1500
mackeyglass,cheb,3,0.0950063331359476,96,1500
mackeyglass,cheb,4,0.08887173431041201,96,1500
mackeyglass,elmF,0,0.001989457529811487,96,1500
mackeyglass,elmF,1,0.0020100435219827587,96,1500
mackeyglass,elmF,2,0.0019902216121757796,96,1500
mackeyglass,elmF,3,0.002041284352300354,96,1500
mackeyglass,elmF,4,0.0019040950045252473,96,1500
mackeyglass,ngrc,0,0.0022945731514897754,21,1500
mackeyglass,ngrc,1,0.0022945731514897754,21,1500
mackeyglass,ngrc,2,0.0022945731514897754,21,1500
mackeyglass,ngrc,3,0.0022945731514897754,21,1500
mackeyglass,ngrc,4,0.0022945731514897754,21,1500
mackeyglass,chebpoly,0,0.0015009947896234936,66,1500
mackeyglass,chebpoly,1,0.0015009947896234936,66,1500
mackeyglass,chebpoly,2,0.0015009947896234936,66,1500
mackeyglass,chebpoly,3,0.0015009947896234936,66,1500
mackeyglass,chebpoly,4,0.0015009947896234936,66,1500
