system,n_qubits,readout_set,shots,NRMSE,NRMSE_std
henon,4,Z+X+Y,exact,0.0045421608199897,5.344065155216022e-05
henon,4,Z+X+Y+ZZ,exact,0.004417333954368259,1.8112223246558174e-05
henon,4,Z+X+Y,8192,0.22997338876479648,0.004103810581420829
henon,4,Z+X+Y+ZZ,8192,0.1750528848037088,0.0038257339957631395
henon,4,Z+X+Y,1024,0.545650611095251,0.014503497759009856
henon,4,Z+X+Y+ZZ,1024,0.4258793910734471,0.010246735288254497
henon,6,Z+X+Y,exact,0.004568595368840376,6.324715304315443e-05
henon,6,Z+X+Y+ZZ,exact,0.004461015621434743,7.648861062833555e-05
henon,6,Z+X+Y,8192,0.22813469384310814,0.008364412620917517
henon,6,Z+X+Y+ZZ,8192,0.17479622271593773,0.002356361131058073
henon,6,Z+X+Y,1024,0.5278677965235111,0.024267403209998813
henon,6,Z+X+Y+ZZ,1024,0.42751889244716357,0.0037071742488372426
henon,8,Z+X+Y,exact,0.004724338683534727,0.00013217565498825637
henon,8,Z+X+Y+ZZ,exact,0.004599900736048064,0.0001515836042966135
henon,8,Z+X+Y,8192,0.24753218811729408,0.018437712518325718
henon,8,Z+X+Y+ZZ,8192,0.18838499067442335,0.008726609030856383
henon,8,Z+X+Y,1024,0.5499799771670056,0.041121626434275145
henon,8,Z+X+Y+ZZ,1024,0.43720311381891347,0.01010936353884752
