system,n_qubits,n_points,readout_set,F,mean_var_1local,mean_var_2local,NRMSE,NRMSE_std
henon,4,1500,Z,16,0.007849737262842221,0.007593487002400855,0.2954956762571851,0.044810724347177505
henon,4,1500,Z+X+Y,48,0.007849737262842221,0.007593487002400855,0.004568003588106126,4.7752579676088244e-05
henon,4,1500,Z+X+Y+ZZ,64,0.007849737262842221,0.007593487002400855,0.004418486884850313,2.209278615997526e-05
henon,6,1500,Z,24,0.008358715420336395,0.006580880427922478,0.3026549873015454,0.020079729251151868
henon,6,1500,Z+X+Y,72,0.008358715420336395,0.006580880427922478,0.00454546569368224,6.629749567920156e-05
henon,6,1500,Z+X+Y+ZZ,96,0.008358715420336395,0.006580880427922478,0.004478216159880734,8.881545904449069e-05
henon,8,1200,Z,32,0.007915458638315475,0.0060127236737517065,0.29035559438660496,0.039535015434522036
henon,8,1200,Z+X+Y,96,0.007915458638315475,0.0060127236737517065,0.0048164295315178945,2.763028792077604e-05
henon,8,1200,Z+X+Y+ZZ,128,0.007915458638315475,0.0060127236737517065,0.004682545218329861,0.00011822035477213619
henon,10,600,Z,40,0.005274742786144899,0.01084579242165426,0.3003708816801943,0.05243866029828399
henon,10,600,Z+X+Y,120,0.005274742786144899,0.01084579242165426,0.00461072873732522,0.00012772662151706903
henon,10,600,Z+X+Y+ZZ,160,0.005274742786144899,0.01084579242165426,0.00447495939512885,6.259316076719177e-05
mackeyglass,4,1500,Z,16,0.01190310992376214,0.026909614410574077,0.1058206272048104,0.004704654978633774
mackeyglass,4,1500,Z+X+Y,48,0.01190310992376214,0.026909614410574077,0.004994798693994795,4.575375070514122e-05
mackeyglass,4,1500,Z+X+Y+ZZ,64,0.01190310992376214,0.026909614410574077,0.004827630069185306,0.00013987715984034458
mackeyglass,6,1500,Z,24,0.015325548242471749,0.024050044644229236,0.118795357930772,0.011079425005724557
mackeyglass,6,1500,Z+X+Y,72,0.015325548242471749,0.024050044644229236,0.0053669616968901315,0.00045093024280542116
mackeyglass,6,1500,Z+X+Y+ZZ,96,0.015325548242471749,0.024050044644229236,0.004569869574487765,4.9799185497999016e-05
mackeyglass,8,1200,Z,32,0.014424535944034112,0.02089727042462537,0.11598833315549867,0.010880421705382275
mackeyglass,8,1200,Z+X+Y,96,0.014424535944034112,0.02089727042462537,0.005016715915083209,0.0011821701345498229
mackeyglass,8,1200,Z+X+Y+ZZ,128,0.014424535944034112,0.02089727042462537,0.004128950364542066,0.00017770032468040998
