model,encode_scale,nrmse_agg_mean
qrc_v4,0.5,0.05050551576048314
qrc_v4,1.0,0.06866871210424312
qrc_v4,1.5,0.06655784009605695
qrc_v4,2.0,0.07902341477137861
qrc_v4,3.0,0.12107840378090558
qrc_v4,4.0,0.19763989702147908
qrc_v4,6.0,0.8564676859368895
qrc_v6,0.5,0.1735051118747192
qrc_v6,1.0,0.1357354054967006
qrc_v6,1.5,0.1479367464141848
qrc_v6,2.0,0.2063997526890196
qrc_v6,3.0,0.41105941797916057
qrc_v6,4.0,0.5697874712223319
qrc_v6,6.0,0.9478391757205783
qrc_rich,0.5,0.011153045746063172
qrc_rich,1.0,0.006664703779836349
qrc_rich,1.5,0.007035293603369579
qrc_rich,2.0,0.016683499518368887
qrc_rich,3.0,0.08270522739862143
qrc_rich,4.0,0.32413488440845345
qrc_rich,6.0,0.5268649692185086
