model,scaler,encode_scale,nrmse_mean,nrmse_std
qrc_v4,minmax,0.5,0.08816845058487131,0.019251318090411244
qrc_v4,minmax,1.0,0.09922114685817043,0.02314550505274093
qrc_v4,minmax,1.5,0.0955040445567273,0.012338325265430146
qrc_v4,minmax,2.0,0.08142980103284161,0.015667218630054124
qrc_v4,minmax,3.0,0.0827843883183258,0.0027486811169062796
qrc_v4,minmax,4.0,0.21781941131876076,0.00504058000438059
qrc_v4,minmax,6.0,0.904262991559821,0.07854417294172655
qrc_v4,standard,0.5,0.4252854938355027,0.05928398109861443
qrc_v4,standard,1.0,0.5227286240183684,0.03970255447401133
qrc_v4,standard,1.5,0.676145492395755,0.05825617620604543
qrc_v4,standard,2.0,0.8293291288332961,0.09361470668395633
qrc_v4,standard,3.0,1.1965922625406662,0.018795454183660507
qrc_v4,standard,4.0,1.0897441378304273,0.013058404379308655
qrc_v4,standard,6.0,1.2347392650949336,0.012073988781752906
qrc_v6,minmax,0.5,0.23358607502068068,0.010712510240924622
qrc_v6,minmax,1.0,0.15084469000007267,0.03206311920514056
qrc_v6,minmax,1.5,0.11799744684940176,0.010150106308435665
qrc_v6,minmax,2.0,0.08649104806886476,0.007346029644070164
qrc_v6,minmax,3.0,0.09650011419528307,0.0001731081162380708
qrc_v6,minmax,4.0,0.26662257696528,0.0012155879231349276
qrc_v6,minmax,6.0,1.1902018179621743,0.0033326120439415284
qrc_v6,standard,0.5,0.9760366883568498,0.0069072536819870245
qrc_v6,standard,1.0,0.9918601425809961,0.009068937695174261
qrc_v6,standard,1.5,0.981254128636051,0.03271794245589516
qrc_v6,standard,2.0,1.156291031255371,0.024250979872960685
qrc_v6,standard,3.0,1.2700879266406133,0.015880667272462942
qrc_v6,standard,4.0,1.1745445624922786,0.00909467198890839
qrc_v6,standard,6.0,1.2504874633889844,0.0011025546031633046
qrc_rich,minmax,0.5,0.03158882764970099,0.005068621728476832
qrc_rich,minmax,1.0,0.016141124390274687,0.004931293936329152
qrc_rich,minmax,1.5,0.008678623583666679,0.0024746471634736525
qrc_rich,minmax,2.0,0.009059401872082597,0.004489687604078435
qrc_rich,minmax,3.0,0.02070374743814777,0.01115944919601385
qrc_rich,minmax,4.0,0.04459624312637071,0.018130698490777187
qrc_rich,minmax,6.0,0.08873324632688238,0.06114956445559502
qrc_rich,standard,0.5,0.019000917798724884,0.011040490214156231
qrc_rich,standard,1.0,0.06587704097335909,0.04634285799064498
qrc_rich,standard,1.5,0.25126811627471873,0.06750492434137643
qrc_rich,standard,2.0,0.8198359653035492,0.07702708313626667
qrc_rich,standard,3.0,1.1577805532338004,0.028311549881716094
qrc_rich,standard,4.0,1.05716124711331,0.03265405876240714
qrc_rich,standard,6.0,1.1645284048336166,0.023901477561945442
