model,scaler,encode_scale,nrmse_mean,nrmse_std
qrc_v4,minmax,0.5,0.036510074408132184,0.008805883638967088
qrc_v4,minmax,1.0,0.04126786627632627,0.005117266630405904
qrc_v4,minmax,1.5,0.05603477310977949,0.007786800385391431
qrc_v4,minmax,2.0,0.06411097395497509,0.00897754693957847
qrc_v4,minmax,3.0,0.07079219375118617,0.000873727922376667
qrc_v4,minmax,4.0,0.2439377640382392,0.025464338715038577
qrc_v4,minmax,6.0,0.6239649384713338,0.027211308715536574
qrc_v4,standard,0.5,0.20402493710591046,0.03666541170205687
qrc_v4,standard,1.0,0.2911310142092832,0.020834863713773612
qrc_v4,standard,1.5,0.44916916769429005,0.029058205053533338
qrc_v4,standard,2.0,0.741845998909088,0.042142632406018996
qrc_v4,standard,3.0,0.9105027009403404,0.02242376607954008
qrc_v4,standard,4.0,0.9457585697096247,0.015469244758809113
qrc_v4,standard,6.0,0.9938992230307842,0.015038376097789423
qrc_v6,minmax,0.5,0.13560599350088565,0.003689304089345657
qrc_v6,minmax,1.0,0.10989288462063587,0.010713515582832647
qrc_v6,minmax,1.5,0.09260312415270804,0.006233724411168943
qrc_v6,minmax,2.0,0.07484388031887891,0.0014400286749871828
qrc_v6,minmax,3.0,0.07425408150349153,0.0006024129508878522
qrc_v6,minmax,4.0,0.2763388332207773,0.0010672613363732757
qrc_v6,minmax,6.0,0.9543187232697419,0.006434632109486476
qrc_v6,standard,0.5,0.8920009962496789,0.003338432279583066
qrc_v6,standard,1.0,0.8908441925436668,0.005160805253627875
qrc_v6,standard,1.5,0.8960698494306654,0.009417201009672376
qrc_v6,standard,2.0,0.9877580928717524,0.012121744528917653
qrc_v6,standard,3.0,0.9727927875913125,0.004630585394611576
qrc_v6,standard,4.0,0.9939280475088618,0.008039315764547273
qrc_v6,standard,6.0,0.9988933907283766,0.006675522113370363
qrc_rich,minmax,0.5,0.0055423271863667715,0.00044183041731864046
qrc_rich,minmax,1.0,0.004618213471022153,7.366587960713014e-05
qrc_rich,minmax,1.5,0.006158458805993372,0.0003397011863155526
qrc_rich,minmax,2.0,0.009359098288888156,0.001711392100015445
qrc_rich,minmax,3.0,0.01830748987079983,0.0018074656480435152
qrc_rich,minmax,4.0,0.03050862502991955,0.011883360076839287
qrc_rich,minmax,6.0,0.08926249291107025,0.05121061008986259
qrc_rich,standard,0.5,0.0076903175657990555,0.0008567825989729221
qrc_rich,standard,1.0,0.024094859585230593,0.014956926521608495
qrc_rich,standard,1.5,0.13363508709637323,0.033035002551249575
qrc_rich,standard,2.0,0.7202569136578383,0.024719286888110842
qrc_rich,standard,3.0,0.8611097594826351,0.047681007652523
qrc_rich,standard,4.0,0.8414560534516434,0.03062149469001898
qrc_rich,standard,6.0,0.8629932950025335,0.030709821233698878
