system,model,k,degree,n_features,nrmse
henon,NG-RC,3.0,2.0,10,6.890140902417754e-07
henon,qNG-RC,3.0,2.0,11,0.2958129135304322
henon,qNG-RC-big,8.0,3.0,166,0.009346569464715676
henon,ESN,,,300,0.009142857425584414
henon,QRC-rich,,,96,0.004389400700799065
lorenz,NG-RC,3.0,2.0,10,0.08599194798077338
lorenz,qNG-RC,3.0,2.0,11,0.2833354034439329
lorenz,qNG-RC-big,8.0,3.0,166,0.0811142791504172
lorenz,ESN,,,300,0.04303863905809381
lorenz,QRC-rich,,,96,0.01327462181321126
mackeyglass,NG-RC,3.0,2.0,10,0.010516151542810442
mackeyglass,qNG-RC,3.0,2.0,11,0.15780812029301014
mackeyglass,qNG-RC-big,8.0,3.0,166,0.08993528885207458
mackeyglass,ESN,,,300,0.006617679517904208
mackeyglass,QRC-rich,,,96,0.004520070388906503
