family,sr,leak,inp,gamma,tau,seed,val_cap,test_cap,test_cap_d15
dqrc4,,,,0.0,1.0,0,11.085198396012215,12.00372811869827,9.274848363321944
dqrc4,,,,0.0,1.0,1,11.040185826755385,9.478175717454492,7.937309032307803
dqrc4,,,,0.0,1.0,2,9.626917979486713,9.310539814209955,8.611807490687536
dqrc4,,,,0.0,4.0,0,9.598379738613986,9.777135282764052,9.080894610793145
dqrc4,,,,0.0,4.0,1,6.507797705255648,6.522510909981937,6.3892585372775565
dqrc4,,,,0.0,4.0,2,6.618408896633705,6.836522471061977,6.812729234403418
dqrc4,,,,0.0,10.0,0,11.71558059399456,10.787344275569149,9.720939975423674
dqrc4,,,,0.0,10.0,1,5.698277208865438,5.810604264927734,5.734981227579638
dqrc4,,,,0.0,10.0,2,4.8197988871606166,5.262603431187198,5.2186377491170335
dqrc4,,,,0.02,1.0,0,2.559209140423906,2.461729847460576,2.443093275706382
dqrc4,,,,0.02,1.0,1,5.071302670671801,4.573273867361762,4.509396881762961
dqrc4,,,,0.02,1.0,2,5.2634492494976675,4.553668786281733,4.52286919880361
dqrc4,,,,0.02,4.0,0,7.590596467802497,7.591001944263612,7.54727767874976
dqrc4,,,,0.02,4.0,1,6.741472573030409,6.2218324487563885,6.178983036891185
dqrc4,,,,0.02,4.0,2,5.812577896993289,5.73875468981098,5.713383142493216
dqrc4,,,,0.02,10.0,0,8.91748544556862,8.599504828406607,8.472602817532872
dqrc4,,,,0.02,10.0,1,5.250218708631234,5.265317675962664,5.244670453355583
dqrc4,,,,0.02,10.0,2,4.430894512717153,4.767242688853957,4.7153773248221285
dqrc4,,,,0.05,1.0,0,2.9570537266565893,2.8173835880703457,2.8069141018499613
dqrc4,,,,0.05,1.0,1,3.9997588452719857,4.015134971967726,3.98149470985139
dqrc4,,,,0.05,1.0,2,4.650526853482059,4.071353424272477,4.0292282456743465
dqrc4,,,,0.05,4.0,0,6.465669412667909,6.308106470866003,6.286775008449024
dqrc4,,,,0.05,4.0,1,5.760984778738804,5.521707012155758,5.480127947997332
dqrc4,,,,0.05,4.0,2,5.265122398975642,5.220994983895198,5.175209953421433
dqrc4,,,,0.05,10.0,0,7.206287999313894,7.023648954629921,6.98565149390802
dqrc4,,,,0.05,10.0,1,4.729702798440524,4.747357591936478,4.722453484187143
dqrc4,,,,0.05,10.0,2,4.322503246554771,4.4583909906526875,4.407564306064304
dqrc4,,,,0.1,1.0,0,3.364511119625347,3.0686121086896985,3.044662896266488
dqrc4,,,,0.1,1.0,1,3.4291758116643387,3.3947994416997456,3.364567551810359
dqrc4,,,,0.1,1.0,2,4.282356852584765,3.995229583626586,3.9748274493932207
dqrc4,,,,0.1,4.0,0,5.4926024842673025,5.3457715577552145,5.335923218701572
