phase,system,model,seed,tau,gamma,beta,val_nrmse,test_nrmse,n_features
grid4,henon,dqrc4,0,1.0,0.0,1e-12,0.19950258139760457,0.20196170995908633,48
grid4,henon,dqrc4,0,1.0,0.02,1e-12,0.17352102478833306,0.15279224277261416,48
grid4,henon,dqrc4,0,1.0,0.05,1e-12,0.11707853285992088,0.10011506741909072,48
grid4,henon,dqrc4,0,1.0,0.1,1e-12,0.042601662247256034,0.03989683206335832,48
grid4,henon,dqrc4,0,1.0,0.2,1e-12,0.029251826327137742,0.023401464576188705,48
grid4,henon,dqrc4,0,4.0,0.0,1e-06,0.22441296772459984,0.17502177482562506,48
grid4,henon,dqrc4,0,4.0,0.02,1e-12,0.1446110156943844,0.1288051124866038,48
grid4,henon,dqrc4,0,4.0,0.05,1e-12,0.05138658781784027,0.04782032957345713,48
grid4,henon,dqrc4,0,4.0,0.1,1e-12,0.02514866001414351,0.021933084479914947,48
grid4,henon,dqrc4,0,4.0,0.2,1e-12,0.01948224683591088,0.016426920725198885,48
grid4,henon,dqrc4,0,10.0,0.0,1e-06,0.22525911848033878,0.189749394844733,48
grid4,henon,dqrc4,0,10.0,0.02,1e-06,0.18338173160685994,0.14299312674356213,48
grid4,henon,dqrc4,0,10.0,0.05,1e-12,0.09920546872722556,0.07796489398436922,48
grid4,henon,dqrc4,0,10.0,0.1,1e-12,0.030213682163674732,0.02733259336034846,48
grid4,henon,dqrc4,0,10.0,0.2,1e-12,0.013016305386415735,0.011203344524779963,48
ctrl4,henon,elmF,0,,,1e-06,0.005093495794722228,0.004301676435686554,48
ctrl4,henon,esnF,0,,,1e-06,0.022976103661313703,0.021333537411929056,48
ctrl4,henon,ngrc,0,,,1e-06,1.479803856793695e-06,1.5867011999559015e-06,21
grid4,henon,dqrc4,1,1.0,0.0,1e-12,0.21217739897860066,0.18674302293717868,48
grid4,henon,dqrc4,1,1.0,0.02,1e-12,0.17634669203946893,0.1444289124226801,48
grid4,henon,dqrc4,1,1.0,0.05,1e-12,0.11303351230366586,0.10183469228763911,48
grid4,henon,dqrc4,1,1.0,0.1,1e-12,0.059762335342924466,0.058598033440067754,48
grid4,henon,dqrc4,1,1.0,0.2,1e-12,0.038402721899180405,0.03412540625358552,48
grid4,henon,dqrc4,1,4.0,0.0,1e-12,0.14134502297187332,0.12463143960243184,48
grid4,henon,dqrc4,1,4.0,0.02,1e-12,0.12012155475156296,0.11218790092162526,48
grid4,henon,dqrc4,1,4.0,0.05,1e-12,0.09163975486427489,0.08276782852098023,48
grid4,henon,dqrc4,1,4.0,0.1,1e-09,0.041825293261404106,0.035853551057804904,48
grid4,henon,dqrc4,1,4.0,0.2,1e-12,0.022455255314112858,0.019250910709062565,48
grid4,henon,dqrc4,1,10.0,0.0,1e-06,0.1032501686232542,0.08690873474006704,48
grid4,henon,dqrc4,1,10.0,0.02,1e-06,0.0993693797162654,0.07437452382569198,48
grid4,henon,dqrc4,1,10.0,0.05,1e-12,0.07028980221392589,0.05733113466348845,48
grid4,henon,dqrc4,1,10.0,0.1,1e-12,0.027911975338261855,0.025302936552325603,48
grid4,henon,dqrc4,1,10.0,0.2,1e-12,0.01218299990635678,0.010699396285694092,48
ctrl4,henon,elmF,1,,,1e-06,0.00942818511806386,0.009367163800822559,48
ctrl4,henon,esnF,1,,,1e-06,0.03602333030122307,0.03945849852012221,48
ctrl4,henon,ngrc,1,,,1e-06,1.479803856793695e-06,1.5867011999559015e-06,21
grid4,henon,dqrc4,2,1.0,0.0,1e-12,0.18973979537463517,0.17195982901963477,48
grid4,henon,dqrc4,2,1.0,0.02,1e-12,0.158779548656103,0.13120085271342874,48
grid4,henon,dqrc4,2,1.0,0.05,1e-12,0.11612721989966363,0.10372182546644924,48
grid4,henon,dqrc4,2,1.0,0.1,1e-12,0.05652051674034192,0.04925370164642881,48
grid4,henon,dqrc4,2,1.0,0.2,1e-12,0.030203969270746617,0.02496366454699033,48
grid4,henon,dqrc4,2,4.0,0.0,1e-09,0.13590179899080346,0.13053615474125044,48
grid4,henon,dqrc4,2,4.0,0.02,1e-09,0.14405469063699458,0.12004044342534832,48
grid4,henon,dqrc4,2,4.0,0.05,1e-09,0.08766618064564419,0.06727342849660514,48
grid4,henon,dqrc4,2,4.0,0.1,1e-09,0.03279775772946053,0.027665086138172597,48
grid4,henon,dqrc4,2,4.0,0.2,1e-12,0.016761346174911526,0.013878064120472464,48
grid4,henon,dqrc4,2,10.0,0.0,1e-12,0.09588029327208127,0.07714445660491875,48
grid4,henon,dqrc4,2,10.0,0.02,1e-12,0.07648939730033004,0.06122761725016573,48
grid4,henon,dqrc4,2,10.0,0.05,1e-12,0.05077178368080902,0.041675875162078484,48
grid4,henon,dqrc4,2,10.0,0.1,1e-09,0.03280831307425438,0.026985912942171536,48
grid4,henon,dqrc4,2,10.0,0.2,1e-12,0.01653797693915054,0.01416944561295872,48
ctrl4,henon,elmF,2,,,1e-06,0.007483979542107883,0.00688172025968197,48
ctrl4,henon,esnF,2,,,1e-06,0.025671874377680922,0.025239170077907817,48
ctrl4,henon,ngrc,2,,,1e-06,1.479803856793695e-06,1.5867011999559015e-06,21
grid4,henon,dqrc4,3,1.0,0.0,1e-12,0.22496033410270735,0.17847100355149081,48
grid4,henon,dqrc4,3,1.0,0.02,1e-12,0.1860747967415175,0.14812389511364674,48
grid4,henon,dqrc4,3,1.0,0.05,1e-12,0.15033391027005208,0.13255817042185175,48
grid4,henon,dqrc4,3,1.0,0.1,1e-12,0.09490185511902872,0.08141343520173604,48
grid4,henon,dqrc4,3,1.0,0.2,1e-12,0.02598207698242248,0.02264301389556936,48
grid4,henon,dqrc4,3,4.0,0.0,1e-06,0.13698370690614903,0.12205450689239082,48
grid4,henon,dqrc4,3,4.0,0.02,1e-12,0.10980392042338859,0.09006462484356129,48
grid4,henon,dqrc4,3,4.0,0.05,1e-06,0.08411608241483623,0.0664572134549953,48
grid4,henon,dqrc4,3,4.0,0.1,1e-09,0.046930918418063135,0.03824276359483284,48
grid4,henon,dqrc4,3,4.0,0.2,1e-12,0.01661304896345141,0.014599126631002126,48
grid4,henon,dqrc4,3,10.0,0.0,1e-06,0.1531595889195249,0.14320755066004887,48
grid4,henon,dqrc4,3,10.0,0.02,1e-06,0.11331424107838411,0.08979567805631791,48
grid4,henon,dqrc4,3,10.0,0.05,1e-12,0.059297704585826505,0.05149705903575649,48
grid4,henon,dqrc4,3,10.0,0.1,1e-12,0.027529061759770854,0.023501467100486548,48
grid4,henon,dqrc4,3,10.0,0.2,1e-12,0.01547969795166351,0.013082336970576843,48
ctrl4,henon,elmF,3,,,1e-06,0.004818997923967343,0.0043300145856387945,48
ctrl4,henon,esnF,3,,,1e-06,0.030611596015769488,0.03006845018724984,48
ctrl4,henon,ngrc,3,,,1e-06,1.479803856793695e-06,1.5867011999559015e-06,21
grid4,henon,dqrc4,4,1.0,0.0,1e-12,0.16991553986432856,0.15494996556135454,48
grid4,henon,dqrc4,4,1.0,0.02,1e-12,0.156861375153548,0.14036115574060926,48
grid4,henon,dqrc4,4,1.0,0.05,1e-12,0.10623175649941022,0.10175945848570411,48
grid4,henon,dqrc4,4,1.0,0.1,1e-12,0.05060405353552976,0.05533462674640743,48
grid4,henon,dqrc4,4,1.0,0.2,1e-12,0.02964451153538028,0.024598809082672396,48
grid4,henon,dqrc4,4,4.0,0.0,1e-09,0.1153018293522108,0.10921297512976604,48
grid4,henon,dqrc4,4,4.0,0.02,1e-12,0.09542324750597628,0.07875422970521297,48
grid4,henon,dqrc4,4,4.0,0.05,1e-12,0.05382575633997269,0.04450623233526122,48
grid4,henon,dqrc4,4,4.0,0.1,1e-12,0.02194624643242027,0.019451171928127387,48
grid4,henon,dqrc4,4,4.0,0.2,1e-12,0.018775836153469533,0.01549229122273061,48
grid4,henon,dqrc4,4,10.0,0.0,1e-06,0.13521422558676305,0.10992843402049016,48
grid4,henon,dqrc4,4,10.0,0.02,1e-12,0.06854634022233662,0.06056914340559106,48
grid4,henon,dqrc4,4,10.0,0.05,1e-12,0.03501173966590244,0.031478541667779004,48
grid4,henon,dqrc4,4,10.0,0.1,1e-12,0.023784313382084768,0.020105866947627535,48
grid4,henon,dqrc4,4,10.0,0.2,1e-12,0.014592359425783439,0.011797815145677262,48
ctrl4,henon,elmF,4,,,1e-06,0.004111670383745079,0.003522656314676356,48
ctrl4,henon,esnF,4,,,1e-06,0.03229972124571358,0.032432119131106864,48
ctrl4,henon,ngrc,4,,,1e-06,1.479803856793695e-06,1.5867011999559015e-06,21
grid4,lorenz,dqrc4,0,1.0,0.0,1e-12,0.19575064348734197,0.3460329146584465,48
grid4,lorenz,dqrc4,0,1.0,0.02,1e-12,0.05478725990083695,0.06906843374195938,48
grid4,lorenz,dqrc4,0,1.0,0.05,1e-12,0.03669290141335201,0.051381861647924534,48
grid4,lorenz,dqrc4,0,1.0,0.1,1e-12,0.030096243217049984,0.04113094009865475,48
grid4,lorenz,dqrc4,0,1.0,0.2,1e-12,0.017733755552353615,0.022223094271562712,48
grid4,lorenz,dqrc4,0,4.0,0.0,1e-09,0.0831860425924724,0.13201283204984737,48
grid4,lorenz,dqrc4,0,4.0,0.02,1e-12,0.025063300256414154,0.03316631482521625,48
grid4,lorenz,dqrc4,0,4.0,0.05,1e-12,0.014056201445916275,0.020801124441695008,48
grid4,lorenz,dqrc4,0,4.0,0.1,1e-12,0.011194453825275558,0.014368097931524531,48
grid4,lorenz,dqrc4,0,4.0,0.2,1e-12,0.009131637709369861,0.012769487107033843,48
grid4,lorenz,dqrc4,0,10.0,0.0,1e-12,0.09874485439393499,0.1806972326414493,48
grid4,lorenz,dqrc4,0,10.0,0.02,1e-06,0.030290325823942407,0.03913126216144706,48
grid4,lorenz,dqrc4,0,10.0,0.05,1e-12,0.013022644515101375,0.015662827247934035,48
grid4,lorenz,dqrc4,0,10.0,0.1,1e-12,0.010821974588074495,0.01277820991379352,48
grid4,lorenz,dqrc4,0,10.0,0.2,1e-12,0.007643674167348668,0.010562646305211339,48
ctrl4,lorenz,elmF,0,,,1e-06,0.0023889943880815766,0.0030527834432504683,48
ctrl4,lorenz,esnF,0,,,1e-06,0.07064302370424663,0.09879292643994601,48
ctrl4,lorenz,ngrc,0,,,1e-06,0.0015374000700548393,0.0018550941268273865,56
grid4,lorenz,dqrc4,1,1.0,0.0,1e-12,0.16862272555800192,0.1985329195225405,48
grid4,lorenz,dqrc4,1,1.0,0.02,1e-12,0.04325213104838475,0.055283360973148336,48
grid4,lorenz,dqrc4,1,1.0,0.05,1e-12,0.026680894050960604,0.036316073398841686,48
grid4,lorenz,dqrc4,1,1.0,0.1,1e-12,0.02734634505528419,0.03477275760281551,48
grid4,lorenz,dqrc4,1,1.0,0.2,1e-12,0.015974038140459796,0.021693001165981305,48
grid4,lorenz,dqrc4,1,4.0,0.0,1e-12,0.020025206273430393,0.028652568182591664,48
grid4,lorenz,dqrc4,1,4.0,0.02,1e-09,0.013828533838379,0.01813282364692025,48
grid4,lorenz,dqrc4,1,4.0,0.05,1e-12,0.009377278651640272,0.012457309472789273,48
grid4,lorenz,dqrc4,1,4.0,0.1,1e-12,0.008097343091850952,0.010726400560892335,48
grid4,lorenz,dqrc4,1,4.0,0.2,1e-12,0.007544456692465202,0.00964171542477642,48
