system,encoding,n,J,seed,nrmse,n_features,n_points,deterministic_J0
henon,depth,4,0.0,0,0.004837000183550138,64,1500,True
henon,depth,4,1.0,0,0.004396394098487305,64,1500,False
henon,depth,4,1.0,1,0.004440579671040144,64,1500,False
henon,depth,4,1.0,2,0.004415028094108374,64,1500,False
henon,depth,4,1.0,3,0.004413706092911823,64,1500,False
henon,depth,4,1.0,4,0.004432164994354656,64,1500,False
henon,depth,6,0.0,0,0.004837005821606095,96,1500,True
henon,depth,6,1.0,0,0.004389400700799065,96,1500,False
henon,depth,6,1.0,1,0.004567031618203596,96,1500,False
henon,depth,6,1.0,2,0.004426614544408188,96,1500,False
henon,depth,6,1.0,3,0.004386217051341267,96,1500,False
henon,depth,6,1.0,4,0.004386843810593769,96,1500,False
henon,depth,8,0.0,0,0.0050020571977856376,128,1200,True
henon,depth,8,1.0,0,0.004564324863423113,128,1200,False
henon,depth,8,1.0,1,0.004800765573815642,128,1200,False
henon,depth,8,1.0,2,0.004434611771926504,128,1200,False
henon,depth,8,1.0,3,0.004431498851085149,128,1200,False
henon,depth,8,1.0,4,0.004445965546595093,128,1200,False
henon,depth,6,0.25,0,0.004499156881811635,96,1500,False
henon,depth,6,0.25,1,0.004646663169322557,96,1500,False
henon,depth,6,0.25,2,0.004584069081160381,96,1500,False
henon,depth,6,0.25,3,0.0044956711743052765,96,1500,False
henon,depth,6,0.25,4,0.004484342283343276,96,1500,False
henon,depth,6,0.5,0,0.0044335178401397664,96,1500,False
henon,depth,6,0.5,1,0.0046207928840239585,96,1500,False
henon,depth,6,0.5,2,0.004476657261271269,96,1500,False
henon,depth,6,0.5,3,0.004442902522550302,96,1500,False
henon,depth,6,0.5,4,0.004429861669510902,96,1500,False
henon,depth,6,2.0,0,0.004377925287156168,96,1500,False
henon,depth,6,2.0,1,0.004486611852613084,96,1500,False
henon,depth,6,2.0,2,0.0044408223077347046,96,1500,False
henon,depth,6,2.0,3,0.0045279028604494525,96,1500,False
henon,depth,6,2.0,4,0.00411395504876249,96,1500,False
henon,depth,6,4.0,0,0.003131315176370849,96,1500,False
henon,depth,6,4.0,1,0.00442163039997057,96,1500,False
henon,depth,6,4.0,2,0.004299879661461085,96,1500,False
henon,depth,6,4.0,3,0.0034110224926021805,96,1500,False
henon,depth,6,4.0,4,0.003129140847168196,96,1500,False
henon,width,4,0.0,0,0.00026886801197316217,64,1500,True
henon,width,4,1.0,0,0.00025362303369665416,64,1500,False
henon,width,4,1.0,1,0.00026012978816771247,64,1500,False
henon,width,4,1.0,2,0.00025894404638792783,64,1500,False
henon,width,4,1.0,3,0.00027244322557132386,64,1500,False
henon,width,4,1.0,4,0.00026515355165227,64,1500,False
henon,width,6,0.0,0,0.00021745834236321738,96,1500,True
henon,width,6,1.0,0,8.166306754326583e-05,96,1500,False
henon,width,6,1.0,1,6.64334059228575e-05,96,1500,False
henon,width,6,1.0,2,7.347642564750501e-05,96,1500,False
henon,width,6,1.0,3,7.346085814644898e-05,96,1500,False
henon,width,6,1.0,4,7.440053263952314e-05,96,1500,False
henon,width,8,0.0,0,0.00010488079347259064,128,1200,True
henon,width,8,1.0,0,6.588167566708627e-05,128,1200,False
henon,width,8,1.0,1,5.691854700746824e-05,128,1200,False
henon,width,8,1.0,2,8.169615848577982e-05,128,1200,False
henon,width,8,1.0,3,5.566899092559742e-05,128,1200,False
henon,width,8,1.0,4,5.764739641157462e-05,128,1200,False
henon,width,6,0.25,0,0.00010034157459059454,96,1500,False
