system,encoding,n,seed,comparison,dm_stat,p
henon,depth,4,0,J1_vs_J0,-4.8695985920582565,1.817636015766827e-06
henon,depth,4,1,J1_vs_J0,-4.598675873281225,6.292538901874467e-06
henon,depth,4,2,J1_vs_J0,-4.470909054962336,1.1083734365305908e-05
henon,depth,4,3,J1_vs_J0,-4.721635128497219,3.6063116504231504e-06
henon,depth,4,4,J1_vs_J0,-4.664857190565779,4.670088142777449e-06
henon,depth,6,0,J1_vs_J0,-4.769522993602532,2.894337358358084e-06
henon,depth,6,1,J1_vs_J0,-3.852740161512763,0.00014304841234467168
henon,depth,6,2,J1_vs_J0,-4.8218356510363325,2.2716715416409704e-06
henon,depth,6,3,J1_vs_J0,-4.9575895461337955,1.199930098709174e-06
henon,depth,6,4,J1_vs_J0,-4.887191635646271,1.6735903105880983e-06
henon,depth,8,0,J1_vs_J0,-4.0049132386502855,8.296100854985403e-05
henon,depth,8,1,J1_vs_J0,-2.139175561216154,0.03343943999625107
henon,depth,8,2,J1_vs_J0,-5.1328248469821425,5.929274523195324e-07
henon,depth,8,3,J1_vs_J0,-5.130663125242348,5.990904017368089e-07
henon,depth,8,4,J1_vs_J0,-4.984101019626544,1.1986569719453675e-06
henon,width,4,0,J1_vs_J0,-2.05099061447702,0.041142046962733755
henon,width,4,1,J1_vs_J0,-1.1111895431923036,0.26738249157220023
henon,width,4,2,J1_vs_J0,-1.4291328651193753,0.15401344913028564
henon,width,4,3,J1_vs_J0,0.5401158446677381,0.5895205469437108
henon,width,4,4,J1_vs_J0,-0.5649274913799803,0.5725481013425082
henon,width,6,0,J1_vs_J0,-12.102129940725614,1.0803229092838825e-27
henon,width,6,1,J1_vs_J0,-12.775341265000828,4.2154742210439996e-30
henon,width,6,2,J1_vs_J0,-12.531044559048741,3.1876296154993356e-29
henon,width,6,3,J1_vs_J0,-12.38005972040823,1.1065514363552296e-28
henon,width,6,4,J1_vs_J0,-12.492174864690671,4.3934399922466277e-29
henon,width,8,0,J1_vs_J0,-4.122312658337053,5.183056256390509e-05
henon,width,8,1,J1_vs_J0,-4.234644489775439,3.272286905710121e-05
henon,width,8,2,J1_vs_J0,-2.730857235321638,0.006789777624099142
henon,width,8,3,J1_vs_J0,-4.761290676836461,3.3425762715960406e-06
henon,width,8,4,J1_vs_J0,-4.190187330487364,3.930027532397348e-05
mackeyglass,depth,4,0,J1_vs_J0,-8.841321470078789,8.442072111590601e-17
mackeyglass,depth,4,1,J1_vs_J0,-7.990450137121392,2.968893131737957e-14
mackeyglass,depth,4,2,J1_vs_J0,-9.356853571917355,2.0590250194129264e-18
mackeyglass,depth,4,3,J1_vs_J0,-8.459506825860592,1.2238492104254348e-15
mackeyglass,depth,4,4,J1_vs_J0,-8.855378880054003,7.640804007925695e-17
mackeyglass,depth,6,0,J1_vs_J0,-9.346196307166936,2.2258515664832974e-18
mackeyglass,depth,6,1,J1_vs_J0,-10.701913072422883,7.838734491431703e-23
mackeyglass,depth,6,2,J1_vs_J0,-9.032719865413483,2.1552064054519176e-17
mackeyglass,depth,6,3,J1_vs_J0,-8.669319388046041,2.8393859991963336e-16
mackeyglass,depth,6,4,J1_vs_J0,-8.937422136347097,4.2619099215681367e-17
mackeyglass,depth,8,0,J1_vs_J0,-10.191608423932337,1.7831942629286673e-20
mackeyglass,depth,8,1,J1_vs_J0,-12.220505549272833,5.5831913667165234e-27
mackeyglass,depth,8,2,J1_vs_J0,-10.501486340149087,1.9145624647896748e-21
mackeyglass,depth,8,3,J1_vs_J0,-9.93738671440503,1.0917403493337827e-19
mackeyglass,depth,8,4,J1_vs_J0,-9.018968983685648,6.475062287632829e-17
mackeyglass,width,4,0,J1_vs_J0,-1.848080965009802,0.06558134762917882
mackeyglass,width,4,1,J1_vs_J0,2.50420067618862,0.01280709214917813
mackeyglass,width,4,2,J1_vs_J0,2.3192348687845916,0.02105831876621074
mackeyglass,width,4,3,J1_vs_J0,-0.6393622607876694,0.5230784610274873
mackeyglass,width,4,4,J1_vs_J0,0.5954524951285457,0.5519929729719408
mackeyglass,width,6,0,J1_vs_J0,-4.0052814003438595,7.828387960287732e-05
mackeyglass,width,6,1,J1_vs_J0,-4.566365848789495,7.26971476237158e-06
mackeyglass,width,6,2,J1_vs_J0,-1.9462425805321748,0.052565303170040434
mackeyglass,width,6,3,J1_vs_J0,-6.3381469031744055,8.582619855300265e-10
mackeyglass,width,6,4,J1_vs_J0,-3.5305072840988583,0.00048034732247862947
mackeyglass,width,8,0,J1_vs_J0,-3.2940293072481417,0.0011380131727378173
mackeyglass,width,8,1,J1_vs_J0,-4.157542709756444,4.491497143193778e-05
mackeyglass,width,8,2,J1_vs_J0,-3.176402902091637,0.0016883170710992519
mackeyglass,width,8,3,J1_vs_J0,-6.043680080631328,5.7717763341906505e-09
mackeyglass,width,8,4,J1_vs_J0,-1.6492664696493708,0.10041228810206321
