system,spectral_radius,leak_rate,seed,nrmse,budget_note
henon,0.7,0.3,0,0.01743679866640933,14 configs/system == the quantum encoding-tune budget
henon,0.7,0.3,1,0.018533006884939016,14 configs/system == the quantum encoding-tune budget
henon,0.7,0.3,2,0.016587815666278552,14 configs/system == the quantum encoding-tune budget
henon,0.7,1.0,0,0.007420139168717507,14 configs/system == the quantum encoding-tune budget
henon,0.7,1.0,1,0.0069917348076685105,14 configs/system == the quantum encoding-tune budget
henon,0.7,1.0,2,0.006221907601370027,14 configs/system == the quantum encoding-tune budget
henon,0.9,0.3,0,0.009142857425584414,14 configs/system == the quantum encoding-tune budget
henon,0.9,0.3,1,0.00876289819209652,14 configs/system == the quantum encoding-tune budget
henon,0.9,0.3,2,0.008664016095330058,14 configs/system == the quantum encoding-tune budget
henon,0.9,1.0,0,0.041446035004745,14 configs/system == the quantum encoding-tune budget
henon,0.9,1.0,1,0.021114965734676115,14 configs/system == the quantum encoding-tune budget
henon,0.9,1.0,2,0.010074395383941231,14 configs/system == the quantum encoding-tune budget
henon,1.1,0.3,0,0.009106152864931348,14 configs/system == the quantum encoding-tune budget
henon,1.1,0.3,1,0.006964205761251715,14 configs/system == the quantum encoding-tune budget
henon,1.1,0.3,2,0.008724165258262636,14 configs/system == the quantum encoding-tune budget
henon,1.1,1.0,0,0.48745496895573037,14 configs/system == the quantum encoding-tune budget
henon,1.1,1.0,1,0.11889824575787697,14 configs/system == the quantum encoding-tune budget
henon,1.1,1.0,2,0.09147584271577479,14 configs/system == the quantum encoding-tune budget
henon,1.3,0.3,0,0.010247495736154758,14 configs/system == the quantum encoding-tune budget
henon,1.3,0.3,1,0.0072567573651697165,14 configs/system == the quantum encoding-tune budget
henon,1.3,0.3,2,0.162459833244602,14 configs/system == the quantum encoding-tune budget
henon,1.3,1.0,0,0.9416138934093956,14 configs/system == the quantum encoding-tune budget
henon,1.3,1.0,1,0.4660576818068009,14 configs/system == the quantum encoding-tune budget
henon,1.3,1.0,2,0.6941783909296422,14 configs/system == the quantum encoding-tune budget
henon,1.5,0.3,0,0.0197204322556264,14 configs/system == the quantum encoding-tune budget
henon,1.5,0.3,1,0.0646937441251471,14 configs/system == the quantum encoding-tune budget
henon,1.5,0.3,2,1.8775884922824941,14 configs/system == the quantum encoding-tune budget
henon,1.5,1.0,0,1.0775950810119899,14 configs/system == the quantum encoding-tune budget
henon,1.5,1.0,1,1.021069889952304,14 configs/system == the quantum encoding-tune budget
henon,1.5,1.0,2,1.0808568342392142,14 configs/system == the quantum encoding-tune budget
henon,1.7,0.3,0,0.9158163173767347,14 configs/system == the quantum encoding-tune budget
henon,1.7,0.3,1,0.238035018402827,14 configs/system == the quantum encoding-tune budget
henon,1.7,0.3,2,19.09090993083107,14 configs/system == the quantum encoding-tune budget
henon,1.7,1.0,0,1.2051293930266063,14 configs/system == the quantum encoding-tune budget
henon,1.7,1.0,1,1.1966355203041443,14 configs/system == the quantum encoding-tune budget
henon,1.7,1.0,2,1.1283317022071402,14 configs/system == the quantum encoding-tune budget
henon,1.9,0.3,0,68.1743910571631,14 configs/system == the quantum encoding-tune budget
henon,1.9,0.3,1,1.8014094057579169,14 configs/system == the quantum encoding-tune budget
henon,1.9,0.3,2,32.29947647570473,14 configs/system == the quantum encoding-tune budget
henon,1.9,1.0,0,1.1794116399794725,14 configs/system == the quantum encoding-tune budget
henon,1.9,1.0,1,1.1819267733728656,14 configs/system == the quantum encoding-tune budget
henon,1.9,1.0,2,1.13392674259701,14 configs/system == the quantum encoding-tune budget
lorenz,0.7,0.3,0,0.04708231651907513,14 configs/system == the quantum encoding-tune budget
lorenz,0.7,0.3,1,0.057526550453789974,14 configs/system == the quantum encoding-tune budget
lorenz,0.7,0.3,2,0.04903045842572066,14 configs/system == the quantum encoding-tune budget
lorenz,0.7,1.0,0,0.009343752113487404,14 configs/system == the quantum encoding-tune budget
lorenz,0.7,1.0,1,0.010257328190416746,14 configs/system == the quantum encoding-tune budget
lorenz,0.7,1.0,2,0.010773412191491328,14 configs/system == the quantum encoding-tune budget
lorenz,0.9,0.3,0,0.04303863905809381,14 configs/system == the quantum encoding-tune budget
lorenz,0.9,0.3,1,0.040757320553089456,14 configs/system == the quantum encoding-tune budget
lorenz,0.9,0.3,2,0.033027622995170626,14 configs/system == the quantum encoding-tune budget
lorenz,0.9,1.0,0,0.007382171033192246,14 configs/system == the quantum encoding-tune budget
lorenz,0.9,1.0,1,0.005974998660576217,14 configs/system == the quantum encoding-tune budget
lorenz,0.9,1.0,2,0.0063103557171622976,14 configs/system == the quantum encoding-tune budget
lorenz,1.1,0.3,0,0.631245762037284,14 configs/system == the quantum encoding-tune budget
lorenz,1.1,0.3,1,0.081691045350344,14 configs/system == the quantum encoding-tune budget
lorenz,1.1,0.3,2,0.3944086571334308,14 configs/system == the quantum encoding-tune budget
lorenz,1.1,1.0,0,0.06832922023459305,14 configs/system == the quantum encoding-tune budget
lorenz,1.1,1.0,1,0.014073867780872714,14 configs/system == the quantum encoding-tune budget
lorenz,1.1,1.0,2,0.051423539681478,14 configs/system == the quantum encoding-tune budget
lorenz,1.3,0.3,0,0.5617205259560278,14 configs/system == the quantum encoding-tune budget
lorenz,1.3,0.3,1,0.2144297256008116,14 configs/system == the quantum encoding-tune budget
lorenz,1.3,0.3,2,7.59123171091916,14 configs/system == the quantum encoding-tune budget
lorenz,1.3,1.0,0,0.271316460186426,14 configs/system == the quantum encoding-tune budget
lorenz,1.3,1.0,1,0.06856011979740607,14 configs/system == the quantum encoding-tune budget
lorenz,1.3,1.0,2,0.16908284063272566,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,0.3,0,116.88013818087414,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,0.3,1,2.548735016470909,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,0.3,2,27.44244840963668,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,1.0,0,0.44135112502221774,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,1.0,1,0.3276087263981935,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,1.0,2,0.37423551226739044,14 configs/system == the quantum encoding-tune budget
lorenz,1.7,0.3,0,48.31971562034406,14 configs/system == the quantum encoding-tune budget
lorenz,1.7,0.3,1,5.1040018032882015,14 configs/system == the quantum encoding-tune budget
