experiment,system,n,V,readout,vs,seed,dm_stat,p
readout,henon,6,4,poly2sq,qrc_base,0,-11.850069533370414,8.40662662383262e-27
readout,henon,6,4,poly2sq,elmF_same,0,14.229116433796364,2.042004324380191e-35
readout,henon,6,4,poly2sq,ngrc,0,14.823491395586252,1.2726807071152793e-37
readout,henon,6,4,poly2sq,qrc_base,1,-5.750164838961933,2.207061569853353e-08
readout,henon,6,4,poly2sq,elmF_same,1,17.226471819305118,1.2480800441453548e-46
readout,henon,6,4,poly2sq,ngrc,1,17.297139383396377,6.768070822287862e-47
readout,henon,6,4,poly2sq,qrc_base,2,-9.465788853235178,9.261105402278647e-19
readout,henon,6,4,poly2sq,elmF_same,2,15.742155696612413,4.705394464547452e-41
readout,henon,6,4,poly2sq,ngrc,2,15.909392224155491,1.110728573403269e-41
readout,henon,6,4,poly2sq,qrc_base,3,-11.49507449561685,1.4736772423865269e-25
readout,henon,6,4,poly2sq,elmF_same,3,14.012884369934664,1.2836265028708414e-34
readout,henon,6,4,poly2sq,ngrc,3,14.304878058004642,1.0710125064579723e-35
readout,henon,6,4,poly2sq,qrc_base,4,-12.035865452871022,1.8553095842244287e-27
readout,henon,6,4,poly2sq,elmF_same,4,13.372758192337018,2.864244757251872e-32
readout,henon,6,4,poly2sq,ngrc,4,13.818207226696536,6.686216545599314e-34
readout,henon,6,4,poly2int,qrc_base,0,-12.968307397098942,8.462123066132135e-31
readout,henon,6,4,poly2int,elmF_same,0,-2.8849414256675177,0.0042004808259420755
readout,henon,6,4,poly2int,ngrc,0,12.138366276758271,8.034175798739496e-28
readout,henon,6,4,poly2int,qrc_base,1,-13.312831060192119,4.738034600327233e-32
readout,henon,6,4,poly2int,elmF_same,1,5.196767248542759,3.76950488851608e-07
readout,henon,6,4,poly2int,ngrc,1,12.486442271419023,4.6062069582364025e-29
readout,henon,6,4,poly2int,qrc_base,2,-12.646646531459117,1.2254987060820968e-29
readout,henon,6,4,poly2int,elmF_same,2,1.9910009041099237,0.04739371689720605
readout,henon,6,4,poly2int,ngrc,2,13.42392502878915,1.862902488437638e-32
readout,henon,6,4,poly2int,qrc_base,3,-12.785618141925534,3.8706086137652844e-30
readout,henon,6,4,poly2int,elmF_same,3,3.157847233014708,0.0017523606363366228
readout,henon,6,4,poly2int,ngrc,3,12.843399180121411,2.3945127697198147e-30
readout,henon,6,4,poly2int,qrc_base,4,-13.181830550891307,1.4209913546807956e-31
readout,henon,6,4,poly2int,elmF_same,4,2.2033418078078104,0.028335579505586683
readout,henon,6,4,poly2int,ngrc,4,12.369779183118794,1.2042084852002758e-28
readout,henon,6,4,delay3,qrc_base,0,-8.61812989153616,4.0630971428486647e-16
readout,henon,6,4,delay3,elmF_same,0,13.33285956504636,4.004693922169108e-32
readout,henon,6,4,delay3,ngrc,0,13.748880009242551,1.2020476435098517e-33
readout,henon,6,4,delay3,qrc_base,1,-5.331065168102392,1.9316682529901706e-07
readout,henon,6,4,delay3,elmF_same,1,12.983317970190011,7.466438989601245e-31
readout,henon,6,4,delay3,ngrc,1,13.166308904112253,1.6181919464193891e-31
readout,henon,6,4,delay3,qrc_base,2,-6.673888254520038,1.2143307463483826e-10
readout,henon,6,4,delay3,elmF_same,2,13.058190982569172,3.996572747002368e-31
readout,henon,6,4,delay3,ngrc,2,13.452181526924283,1.4687506074042845e-32
readout,henon,6,4,delay3,qrc_base,3,-8.12086869098086,1.2369253606132996e-14
readout,henon,6,4,delay3,elmF_same,3,13.84550621680802,5.306366860416641e-34
readout,henon,6,4,delay3,ngrc,3,14.169327521168068,3.396573678258654e-35
readout,henon,6,4,delay3,qrc_base,4,-8.79334954368003,1.1856500870546501e-16
readout,henon,6,4,delay3,elmF_same,4,13.662573863126571,2.4926871997521995e-33
readout,henon,6,4,delay3,ngrc,4,14.211151344200166,2.3794407417227894e-35
readout,henon,6,4,delay3+poly2,qrc_base,0,-11.885828764118964,6.289201761540752e-27
readout,henon,6,4,delay3+poly2,elmF_same,0,11.523134327025927,1.1764951822977785e-25
readout,henon,6,4,delay3+poly2,ngrc,0,11.945181243647719,3.8826911315668565e-27
readout,henon,6,4,delay3+poly2,qrc_base,1,-10.97680039708037,9.087564164564404e-24
readout,henon,6,4,delay3+poly2,elmF_same,1,11.427419857233069,2.534373207055592e-25
readout,henon,6,4,delay3+poly2,ngrc,1,11.539689468311606,1.030007065934716e-25
readout,henon,6,4,delay3+poly2,qrc_base,2,-11.194457804314764,1.6241363516279062e-24
readout,henon,6,4,delay3+poly2,elmF_same,2,11.024708916418149,6.2280349662924035e-24
readout,henon,6,4,delay3+poly2,ngrc,2,11.204876843622545,1.495129262867658e-24
readout,henon,6,4,delay3+poly2,qrc_base,3,-11.839210085110073,9.180529843229955e-27
readout,henon,6,4,delay3+poly2,elmF_same,3,12.569690846887088,2.3163506418333037e-29
readout,henon,6,4,delay3+poly2,ngrc,3,12.765908056939745,4.558933619504053e-30
readout,henon,6,4,delay3+poly2,qrc_base,4,-12.603814452139538,1.7468822448308652e-29
readout,henon,6,4,delay3+poly2,elmF_same,4,12.02003831500989,2.110812324160583e-27
readout,henon,6,4,delay3+poly2,ngrc,4,12.34951744605853,1.4225408353368016e-28
readout,henon,8,4,poly2sq,qrc_base,0,-5.7109634803602765,3.334995996575564e-08
readout,henon,8,4,poly2sq,elmF_same,0,12.520278572257546,5.759684145974284e-28
readout,henon,8,4,poly2sq,ngrc,0,12.584380035745074,3.5386662384511843e-28
readout,henon,8,4,poly2sq,qrc_base,1,-4.891047206632015,1.8473841874693975e-06
