experiment,system,n,V,model,readout,seed,nrmse,n_features,n_points
readout,henon,6,4,qrc,base,0,0.004389400700799065,96,1500
readout,henon,6,4,qrc,base,1,0.004567031618203596,96,1500
readout,henon,6,4,qrc,base,2,0.004426614544408188,96,1500
readout,henon,6,4,qrc,base,3,0.004386217051341267,96,1500
readout,henon,6,4,qrc,base,4,0.004386843810593769,96,1500
readout,henon,6,4,elmF,base,0,0.0009013203987858825,96,1500
readout,henon,6,4,elmF,base,1,0.0009924495624707235,96,1500
readout,henon,6,4,elmF,base,2,0.001062053440559153,96,1500
readout,henon,6,4,elmF,base,3,0.0010353686496456507,96,1500
readout,henon,6,4,elmF,base,4,0.000989774291212548,96,1500
readout,henon,6,4,qrc,poly2sq,0,0.0018387463943398642,192,1500
readout,henon,6,4,qrc,poly2sq,1,0.0037875598132361492,192,1500
readout,henon,6,4,qrc,poly2sq,2,0.002892757738237809,192,1500
readout,henon,6,4,qrc,poly2sq,3,0.0019559843855235836,192,1500
readout,henon,6,4,qrc,poly2sq,4,0.0015085540071220782,192,1500
readout,henon,6,4,elmF,poly2sq,0,0.00034049568897102786,192,1500
readout,henon,6,4,elmF,poly2sq,1,0.0003135745074771864,192,1500
readout,henon,6,4,elmF,poly2sq,2,0.0003326991305695429,192,1500
readout,henon,6,4,elmF,poly2sq,3,0.0002912923863951461,192,1500
readout,henon,6,4,elmF,poly2sq,4,0.0002677715810840967,192,1500
readout,henon,6,4,qrc,poly2int,0,4.2090023958097115e-05,4752,1500
readout,henon,6,4,qrc,poly2int,1,4.3679290058020855e-05,4752,1500
readout,henon,6,4,qrc,poly2int,2,4.089082636902611e-05,4752,1500
readout,henon,6,4,qrc,poly2int,3,3.976550324676499e-05,4752,1500
readout,henon,6,4,qrc,poly2int,4,4.1519735487764327e-05,4752,1500
readout,henon,6,4,elmF,poly2int,0,5.0066233974825915e-05,4752,1500
readout,henon,6,4,elmF,poly2int,1,3.239697777929094e-05,4752,1500
readout,henon,6,4,elmF,poly2int,2,3.647198652053872e-05,4752,1500
readout,henon,6,4,elmF,poly2int,3,3.263660789122623e-05,4752,1500
readout,henon,6,4,elmF,poly2int,4,3.594231482551265e-05,4752,1500
readout,henon,6,4,qrc,delay3,0,0.0033144638798186703,288,1500
readout,henon,6,4,qrc,delay3,1,0.004096856050310152,288,1500
readout,henon,6,4,qrc,delay3,2,0.0035554443733932803,288,1500
readout,henon,6,4,qrc,delay3,3,0.0032635194128870283,288,1500
readout,henon,6,4,qrc,delay3,4,0.0030397957798102273,288,1500
readout,henon,6,4,elmF,delay3,0,0.0006077533733363836,288,1500
readout,henon,6,4,elmF,delay3,1,0.0004683813318826858,288,1500
readout,henon,6,4,elmF,delay3,2,0.0005524481732466235,288,1500
readout,henon,6,4,elmF,delay3,3,0.0004993834905797117,288,1500
readout,henon,6,4,elmF,delay3,4,0.0006857027412414801,288,1500
readout,henon,6,4,qrc,delay3+poly2,0,0.0013507687336066741,576,1500
readout,henon,6,4,qrc,delay3+poly2,1,0.0019617193176001404,576,1500
readout,henon,6,4,qrc,delay3+poly2,2,0.0015226190653199693,576,1500
readout,henon,6,4,qrc,delay3+poly2,3,0.001266966703983445,576,1500
readout,henon,6,4,qrc,delay3+poly2,4,0.0009796199594283958,576,1500
readout,henon,6,4,elmF,delay3+poly2,0,0.0002510566616848266,576,1500
readout,henon,6,4,elmF,delay3+poly2,1,0.00018956416930953634,576,1500
readout,henon,6,4,elmF,delay3+poly2,2,0.00020535986091409277,576,1500
readout,henon,6,4,elmF,delay3+poly2,3,0.00020408494843976804,576,1500
readout,henon,6,4,elmF,delay3+poly2,4,0.00016372352826506264,576,1500
readout,henon,6,4,ngrc,base,0,1.5867011999559015e-06,21,1500
readout,henon,6,4,ngrc,base,1,1.5867011999559015e-06,21,1500
readout,henon,6,4,ngrc,base,2,1.5867011999559015e-06,21,1500
readout,henon,6,4,ngrc,base,3,1.5867011999559015e-06,21,1500
readout,henon,6,4,ngrc,base,4,1.5867011999559015e-06,21,1500
readout,henon,8,4,qrc,base,0,0.004564324863423113,128,1200
readout,henon,8,4,qrc,base,1,0.004800765573815642,128,1200
readout,henon,8,4,qrc,base,2,0.004434611771926504,128,1200
readout,henon,8,4,qrc,base,3,0.004431498851085149,128,1200
readout,henon,8,4,qrc,base,4,0.004445965546595093,128,1200
readout,henon,8,4,elmF,base,0,0.0010030846443069043,128,1200
readout,henon,8,4,elmF,base,1,0.0006521966569420749,128,1200
readout,henon,8,4,elmF,base,2,0.0008481897481576072,128,1200
readout,henon,8,4,elmF,base,3,0.0007415716252600308,128,1200
readout,henon,8,4,elmF,base,4,0.0005987202369740507,128,1200
readout,henon,8,4,qrc,poly2sq,0,0.0036034169313702894,256,1200
readout,henon,8,4,qrc,poly2sq,1,0.004037228729655053,256,1200
readout,henon,8,4,qrc,poly2sq,2,0.0018691102982836987,256,1200
readout,henon,8,4,qrc,poly2sq,3,0.0018308617646558927,256,1200
readout,henon,8,4,qrc,poly2sq,4,0.0016996108576368529,256,1200
readout,henon,8,4,elmF,poly2sq,0,0.0002773630038847398,256,1200
readout,henon,8,4,elmF,poly2sq,1,0.00020436204826940335,256,1200
readout,henon,8,4,elmF,poly2sq,2,0.0003121237272563022,256,1200
readout,henon,8,4,elmF,poly2sq,3,0.0002569889096566954,256,1200
readout,henon,8,4,elmF,poly2sq,4,0.00032954475532810256,256,1200
readout,henon,8,4,qrc,poly2int,0,4.660181552205344e-05,8384,1200
readout,henon,8,4,qrc,poly2int,1,4.649874193106777e-05,8384,1200
readout,henon,8,4,qrc,poly2int,2,4.160488184763293e-05,8384,1200
readout,henon,8,4,qrc,poly2int,3,4.192073652401983e-05,8384,1200
readout,henon,8,4,qrc,poly2int,4,4.373178414674907e-05,8384,1200
readout,henon,8,4,elmF,poly2int,0,4.367205752119191e-05,8384,1200
readout,henon,8,4,elmF,poly2int,1,3.5088444958316815e-05,8384,1200
