system,model,seed,nrmse,n_features,n_points
henon,ngrc,0,1.5867011999559015e-06,21,1500
henon,esn,0,0.009142857425584414,300,1500
henon,esn,1,0.00876289819209652,300,1500
henon,esn,2,0.008664016095330058,300,1500
henon,esn,3,0.00947816957138218,300,1500
henon,esn,4,0.00950036108751052,300,1500
henon,esn,5,0.008336041007803335,300,1500
henon,esn,6,0.00905143450769251,300,1500
henon,esn,7,0.011930995561986735,300,1500
henon,esn,8,0.010185529820337505,300,1500
henon,esn,9,0.009179168779346176,300,1500
henon,esn,10,0.00894603792175499,300,1500
henon,esn,11,0.010186234572895516,300,1500
henon,esn,12,0.008310685878094998,300,1500
henon,esn,13,0.008680284839749716,300,1500
henon,esn,14,0.010673064923936217,300,1500
henon,esn,15,0.010798244594198762,300,1500
henon,esn,16,0.010142680838139928,300,1500
henon,esn,17,0.010041889523164463,300,1500
henon,esn,18,0.00813121610634785,300,1500
henon,esn,19,0.010705975186150659,300,1500
henon,esn_tuned,0,0.007420139168717507,300,1500
henon,esn_tuned,1,0.0069917348076685105,300,1500
henon,esn_tuned,2,0.006221907601370027,300,1500
henon,esn_tuned,3,0.007389476651745814,300,1500
henon,esn_tuned,4,0.008598509443878693,300,1500
henon,esn_tuned,5,0.007027671359169215,300,1500
henon,esn_tuned,6,0.006878074354657182,300,1500
henon,esn_tuned,7,0.009641892688073781,300,1500
henon,esn_tuned,8,0.00995291263899763,300,1500
henon,esn_tuned,9,0.006438386698296833,300,1500
henon,esn_tuned,10,0.006799308078200193,300,1500
henon,esn_tuned,11,0.008502820484760492,300,1500
henon,esn_tuned,12,0.0062608412353484764,300,1500
henon,esn_tuned,13,0.006148141002637874,300,1500
henon,esn_tuned,14,0.008478529511673303,300,1500
henon,esn_tuned,15,0.00866326630229408,300,1500
henon,esn_tuned,16,0.0083105874618831,300,1500
henon,esn_tuned,17,0.009277858545896269,300,1500
henon,esn_tuned,18,0.007194266413684109,300,1500
henon,esn_tuned,19,0.007220132496237346,300,1500
henon,elm,0,0.0002299517067088717,300,1500
henon,elm,1,0.0002348667248900608,300,1500
henon,elm,2,0.0002529106319057586,300,1500
henon,elm,3,0.00019527543980219782,300,1500
henon,elm,4,0.0002727947251469117,300,1500
henon,elm,5,0.0002189657596418002,300,1500
henon,elm,6,0.00023053748147624226,300,1500
henon,elm,7,0.0002360396729625466,300,1500
henon,elm,8,0.00020480659544351606,300,1500
henon,elm,9,0.00028433001324772454,300,1500
henon,elm,10,0.00023808849702808887,300,1500
henon,elm,11,0.00023180663360424845,300,1500
henon,elm,12,0.0002211800082807744,300,1500
henon,elm,13,0.00023785221864042164,300,1500
henon,elm,14,0.0002478894360547531,300,1500
