system,ic_index,ic,model,seed,vpt_steps,vpt_lyap,diverged,wasserstein
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",ngrc,0,33,14.083213437062806,False,0.01365115098389595
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",esn300,0,5,2.1338202177367886,False,0.01356851675152886
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",esn300,1,8,3.414112348378862,True,8.619022846789314
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",esn300,2,8,3.414112348378862,False,0.017821908204179757
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",elm300,0,16,6.828224696757724,False,0.013878525772665061
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",elm300,1,16,6.828224696757724,False,0.025720873568941788
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",elm300,2,22,9.38880895804187,False,0.015350801055742977
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",qrc_rich,0,13,5.547932566115651,False,0.02215581911145662
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",qrc_rich,1,13,5.547932566115651,False,0.011075671012612762
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",qrc_rich,2,13,5.547932566115651,False,0.01085957281803502
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",ngrc,0,32,13.089461015110839,False,0.01161428594871383
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",esn300,0,8,3.2723652537777097,True,5.41695059248555
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",esn300,1,8,3.2723652537777097,False,0.01778264714164245
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",esn300,2,8,3.2723652537777097,False,0.016863761124084366
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",elm300,0,23,9.408050104610915,False,0.010359565534785953
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",elm300,1,22,8.999004447888701,False,0.018772304037121535
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",elm300,2,20,8.180913134444275,False,0.025752304564327387
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",qrc_rich,0,9,3.681410910499923,False,0.017666794591042076
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",qrc_rich,1,8,3.2723652537777097,False,0.015038222229582962
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",qrc_rich,2,9,3.681410910499923,False,0.00922500763355323
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",ngrc,0,29,11.578974960896597,False,0.008123170880186457
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",esn300,0,20,7.985499973032135,False,0.011240407780643013
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",esn300,1,11,4.392024985167675,False,0.015069625684218158
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",esn300,2,11,4.392024985167675,True,19.41098766358851
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",elm300,0,19,7.586224974380528,False,0.011070271501850937
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",elm300,1,20,7.985499973032135,False,0.011416023772628226
