system,ic_index,ic,model,seed,nrmse,n_features
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",ngrc,0,1.6437247089767676e-06,21
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",esn300,0,0.008112585495166488,300
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",esn300,1,0.007785041012689489,300
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",esn300,2,0.008534549818152447,300
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",elm300,0,0.00027369932480001953,300
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",elm300,1,0.0002486563159110524,300
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",elm300,2,0.0002745713501867078,300
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",qrc_rich,0,0.004469933322761896,96
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",qrc_rich,1,0.0046818483299924185,96
henon,0,"{'x0': 0.12509546660466697, 'y0': 0.23832828058174527}",qrc_rich,2,0.004497797228033439,96
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",ngrc,0,1.6621261317014737e-06,21
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",esn300,0,0.00980370739993048,300
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",esn300,1,0.009589148890252933,300
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",esn300,2,0.00997274082930154,300
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",elm300,0,0.00025501207454156334,300
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",elm300,1,0.0002613427044516035,300
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",elm300,2,0.00026893212979063656,300
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",qrc_rich,0,0.004146490388111081,96
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",qrc_rich,1,0.004442345669969436,96
henon,1,"{'x0': 0.2756856902451935, 'y0': -0.16487568600564487}",qrc_rich,2,0.004276749184962536,96
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",ngrc,0,1.680036192003356e-06,21
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",esn300,0,0.008818275198194931,300
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",esn300,1,0.008633133433532988,300
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",esn300,2,0.009582050756362988,300
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",elm300,0,0.000283616689065348,300
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",elm300,1,0.0002938622449864061,300
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",elm300,2,0.00030659517636944124,300
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",qrc_rich,0,0.004162938287353994,96
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",qrc_rich,1,0.004432315017813925,96
henon,2,"{'x0': -0.19983371508877457, 'y0': 0.22413206723775714}",qrc_rich,2,0.004317542211370836,96
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",ngrc,0,1.620207234157428e-06,21
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",esn300,0,0.008194026853322494,300
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",esn300,1,0.007977647456149223,300
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",esn300,2,0.008520881209576234,300
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",elm300,0,0.0002617974689311769,300
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",elm300,1,0.00027016257356881756,300
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",elm300,2,0.0002708808012699142,300
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",qrc_rich,0,0.0041886430328886915,96
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",qrc_rich,1,0.004430585730003379,96
henon,3,"{'x0': -0.4947346954344253, 'y0': 0.19273705102965977}",qrc_rich,2,0.004283908478381178,96
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",ngrc,0,1.6897260434714077e-06,21
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",esn300,0,0.009568866486881331,300
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",esn300,1,0.009408995384667381,300
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",esn300,2,0.010035551269079897,300
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",elm300,0,0.00027943201093281393,300
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",elm300,1,0.00023546569661269583,300
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",elm300,2,0.00025723576437757347,300
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",qrc_rich,0,0.004263723807457171,96
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",qrc_rich,1,0.0045604626619462985,96
henon,4,"{'x0': 0.2970694287520462, 'y0': -0.019239028293767533}",qrc_rich,2,0.0043878138082150955,96
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",ngrc,0,1.950520197193268e-06,21
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",esn300,0,0.012077030130061108,300
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",esn300,1,0.010488608866893626,300
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",esn300,2,0.012220147856594369,300
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",elm300,0,0.00025798235489805373,300
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",elm300,1,0.0002559335792950724,300
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",elm300,2,0.0002793611425778247,300
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",qrc_rich,0,0.00471897092202092,96
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",qrc_rich,1,0.00502471795952529,96
henon,5,"{'x0': -0.19696757318068647, 'y0': -0.132944632739536}",qrc_rich,2,0.004811493822732838,96
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",ngrc,0,1.4556877623293408e-06,21
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",esn300,0,0.007882620085842172,300
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",esn300,1,0.008147572820992186,300
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",esn300,2,0.008502636103131586,300
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",elm300,0,0.0002376287202469322,300
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",elm300,1,0.00024264378586207996,300
