system,comparison,seed,eps_1,eps_2,dm_stat,p
henon,qrc_leaky_vs_qrc_base,0,1.0,1.0,0.0,1.0
henon,qrcBest_vs_esnBest,0,1.0,1.0,-9.534183388621994,5.594239319054414e-19
henon,qrcBest_vs_ngrcBest,0,1.0,1.0,12.969014821792852,8.412353967415997e-31
henon,qrc_leaky_vs_qrc_base,1,1.0,1.0,0.0,1.0
henon,qrcBest_vs_esnBest,1,1.0,1.0,-9.595135224939234,3.5642116764992255e-19
henon,qrcBest_vs_ngrcBest,1,1.0,1.0,13.313704084113523,4.703439061569851e-32
henon,qrc_leaky_vs_qrc_base,2,1.0,1.0,0.0,1.0
henon,qrcBest_vs_esnBest,2,1.0,1.0,-13.133325706831819,2.1325779016093965e-31
henon,qrcBest_vs_ngrcBest,2,1.0,1.0,12.647345464251627,1.2184267774547281e-29
henon,qrc_leaky_vs_qrc_base,3,1.0,1.0,0.0,1.0
henon,qrcBest_vs_esnBest,3,1.0,1.0,-10.119150801722636,6.974457747492952e-21
henon,qrcBest_vs_ngrcBest,3,1.0,1.0,12.786228231885284,3.851044099929611e-30
henon,qrc_leaky_vs_qrc_base,4,1.0,1.0,0.0,1.0
henon,qrcBest_vs_esnBest,4,1.0,1.0,-10.51151571757259,3.4391616969526816e-22
henon,qrcBest_vs_ngrcBest,4,1.0,1.0,13.182534835490522,1.4126356846295768e-31
lorenz,qrc_leaky_vs_qrc_base,0,1.0,1.0,0.0,1.0
lorenz,qrcBest_vs_esnBest,0,1.0,1.0,-10.662499354677871,1.065608205872036e-22
lorenz,qrcBest_vs_ngrcBest,0,1.0,1.0,-7.880765612659784,6.158017932443808e-14
lorenz,qrc_leaky_vs_qrc_base,1,1.0,1.0,0.0,1.0
lorenz,qrcBest_vs_esnBest,1,1.0,1.0,-11.341422701191771,5.039901665959779e-25
lorenz,qrcBest_vs_ngrcBest,1,1.0,1.0,-6.7724769279623995,6.747016341843683e-11
lorenz,qrc_leaky_vs_qrc_base,2,1.0,1.0,0.0,1.0
lorenz,qrcBest_vs_esnBest,2,1.0,1.0,-13.20957313389748,1.1263524738653957e-31
lorenz,qrcBest_vs_ngrcBest,2,1.0,1.0,-7.688983857257596,2.171784667021027e-13
lorenz,qrc_leaky_vs_qrc_base,3,1.0,1.0,0.0,1.0
lorenz,qrcBest_vs_esnBest,3,1.0,1.0,-11.481810789794068,1.6391051348082323e-25
lorenz,qrcBest_vs_ngrcBest,3,1.0,1.0,-7.868476272206879,6.679916413728328e-14
lorenz,qrc_leaky_vs_qrc_base,4,1.0,1.0,0.0,1.0
lorenz,qrcBest_vs_esnBest,4,1.0,1.0,-14.379224052623465,5.682175742320117e-36
lorenz,qrcBest_vs_ngrcBest,4,1.0,1.0,-7.9594460980695265,3.6511683223913145e-14
mackeyglass,qrc_leaky_vs_qrc_base,0,1.0,1.0,0.0,1.0
mackeyglass,qrcBest_vs_esnBest,0,1.0,1.0,-10.86530147933283,2.1838218318880144e-23
mackeyglass,qrcBest_vs_ngrcBest,0,1.0,1.0,9.464039585846766,9.381047729095684e-19
mackeyglass,qrc_leaky_vs_qrc_base,1,1.0,1.0,0.0,1.0
mackeyglass,qrcBest_vs_esnBest,1,1.0,1.0,-9.855729700383511,5.103816026889872e-20
mackeyglass,qrcBest_vs_ngrcBest,1,1.0,1.0,8.720996301636417,1.9750376612227505e-16
mackeyglass,qrc_leaky_vs_qrc_base,2,1.0,1.0,0.0,1.0
mackeyglass,qrcBest_vs_esnBest,2,1.0,1.0,-9.965991718130795,2.2254382091945918e-20
mackeyglass,qrcBest_vs_ngrcBest,2,1.0,1.0,10.437630353843232,6.085543290987296e-22
mackeyglass,qrc_leaky_vs_qrc_base,3,1.0,1.0,0.0,1.0
mackeyglass,qrcBest_vs_esnBest,3,1.0,1.0,-11.234194125692715,1.1843208764605048e-24
mackeyglass,qrcBest_vs_ngrcBest,3,1.0,1.0,10.716251982563687,7.009381062879748e-23
mackeyglass,qrc_leaky_vs_qrc_base,4,1.0,1.0,0.0,1.0
mackeyglass,qrcBest_vs_esnBest,4,1.0,1.0,-10.80544672839277,3.491038440318277e-23
mackeyglass,qrcBest_vs_ngrcBest,4,1.0,1.0,9.973372989077694,2.1048192050340827e-20
