system,model,seed,eps,shots,nrmse,n_features,n_qubits,V,window,readout,n_points
henon,qrc_rich,0,1.0,None,0.004389400700799065,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,0,0.5,None,0.004556100595285643,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,0,0.3,None,0.00484944589705257,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,0,0.2,None,0.005495872896893696,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,0,0.1,None,0.00743729747830355,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,0,0.05,None,0.008921833305820115,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,1,1.0,None,0.004567031618203596,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,1,0.5,None,0.005686759000049542,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,1,0.3,None,0.007130020175867669,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,1,0.2,None,0.008087532170628764,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,1,0.1,None,0.009158277667417215,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,1,0.05,None,0.009780732209141905,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,2,1.0,None,0.004426614544408188,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,2,0.5,None,0.004640539506933374,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,2,0.3,None,0.005066652096869238,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,2,0.2,None,0.005892431549291849,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,2,0.1,None,0.00795209670004734,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,2,0.05,None,0.00939319072443586,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,3,1.0,None,0.004386217051341267,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,3,0.5,None,0.004581810429657245,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,3,0.3,None,0.004919582265090649,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,3,0.2,None,0.005602933704608961,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,3,0.1,None,0.007457563768306281,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,3,0.05,None,0.00887106710527434,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,4,1.0,None,0.004386843810593769,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,4,0.5,None,0.004494259211020774,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,4,0.3,None,0.004722486439150367,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,4,0.2,None,0.0052654998839055224,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,4,0.1,None,0.00708156041456761,96,6,4,5,Z+X+Y+ZZ,1500
henon,qrc_rich,4,0.05,None,0.008562182615351056,96,6,4,5,Z+X+Y+ZZ,1500
henon,esn_matched,0,1.0,None,0.023613693838752677,96,,,5,,1500
henon,esn_matched,0,0.5,None,0.039370157421189385,96,,,5,,1500
henon,esn_matched,0,0.3,None,0.05105533169330228,96,,,5,,1500
henon,esn_matched,0,0.2,None,0.06222158521334414,96,,,5,,1500
henon,esn_matched,0,0.1,None,0.09215769090127732,96,,,5,,1500
henon,esn_matched,0,0.05,None,0.16615188580547113,96,,,5,,1500
henon,esn_matched,1,1.0,None,0.018766710600842573,96,,,5,,1500
henon,esn_matched,1,0.5,None,0.036694041690544285,96,,,5,,1500
henon,esn_matched,1,0.3,None,0.05081630560605181,96,,,5,,1500
henon,esn_matched,1,0.2,None,0.06287149294026873,96,,,5,,1500
henon,esn_matched,1,0.1,None,0.08929313482758088,96,,,5,,1500
henon,esn_matched,1,0.05,None,0.1409171427313569,96,,,5,,1500
