seed,model,mcs_p,in_75,in_90
0,ngrc,0.967,True,True
0,esn300,0.0,False,False
0,esn300t,1.0,True,True
0,elm300,0.021,False,False
0,qrc6,0.007,False,False
0,qrc8,0.007,False,False
0,esnF96,0.0,False,False
0,esnF128,0.007,False,False
1,ngrc,0.736,True,True
1,esn300,0.004,False,False
1,esn300t,1.0,True,True
1,elm300,0.027,False,False
1,qrc6,0.005,False,False
1,qrc8,0.005,False,False
1,esnF96,0.005,False,False
1,esnF128,0.005,False,False
2,ngrc,1.0,True,True
2,esn300,0.001,False,False
2,esn300t,0.374,True,True
2,elm300,0.005,False,False
2,qrc6,0.005,False,False
2,qrc8,0.001,False,False
2,esnF96,0.001,False,False
2,esnF128,0.001,False,False
3,ngrc,1.0,True,True
3,esn300,0.001,False,False
3,esn300t,0.28,True,True
3,elm300,0.005,False,False
3,qrc6,0.005,False,False
3,qrc8,0.005,False,False
3,esnF96,0.001,False,False
3,esnF128,0.0,False,False
4,ngrc,1.0,True,True
4,esn300,0.005,False,False
4,esn300t,0.803,True,True
4,elm300,0.029,False,False
4,qrc6,0.005,False,False
4,qrc8,0.005,False,False
4,esnF96,0.005,False,False
4,esnF128,0.005,False,False
