model,seed,nrmse,n_features,n_points,n_qubits,V,window,shots,readout,ngrc_kd
ngrc,0,0.010850911295233433,91,1200,,,5,,,k12d2
linear,0,0.017393067920306846,5,1200,,,5,,,
esn300,0,0.10810116460544114,300,1200,,,5,,,
esn300,1,0.1080953218184613,300,1200,,,5,,,
esn300,2,0.14712560306343767,300,1200,,,5,,,
esn300,3,0.10048555386731199,300,1200,,,5,,,
esn300,4,0.15581827566688738,300,1200,,,5,,,
esn300,5,0.15428278763606004,300,1200,,,5,,,
esn300,6,0.19706747350589182,300,1200,,,5,,,
esn300,7,0.1254071891425524,300,1200,,,5,,,
esn300,8,0.18857107820442975,300,1200,,,5,,,
esn300,9,0.17358184646218378,300,1200,,,5,,,
esn300t,0,0.01082974419987811,300,1200,,,5,,,
esn300t,1,0.010574857785072701,300,1200,,,5,,,
esn300t,2,0.011341313508333489,300,1200,,,5,,,
esn300t,3,0.011393752886225898,300,1200,,,5,,,
esn300t,4,0.010957109512548987,300,1200,,,5,,,
esn300t,5,0.011671836796105053,300,1200,,,5,,,
esn300t,6,0.011000525500221613,300,1200,,,5,,,
esn300t,7,0.01075653066491861,300,1200,,,5,,,
esn300t,8,0.011008647442289476,300,1200,,,5,,,
esn300t,9,0.011077468385609949,300,1200,,,5,,,
elm300,0,0.021299761635135313,300,1200,,,5,,,
elm300,1,0.01979874000398422,300,1200,,,5,,,
elm300,2,0.019442170381037925,300,1200,,,5,,,
elm300,3,0.01836971785123624,300,1200,,,5,,,
elm300,4,0.020147691383618962,300,1200,,,5,,,
elm300,5,0.01967439314062086,300,1200,,,5,,,
elm300,6,0.019285914460241305,300,1200,,,5,,,
elm300,7,0.0200302082794923,300,1200,,,5,,,
elm300,8,0.02178660093134878,300,1200,,,5,,,
elm300,9,0.019276802004985518,300,1200,,,5,,,
qrc6,0,0.027910965938838194,96,1200,6,4,5,exact,Z+X+Y+ZZ,
qrc6,1,0.027229004788953383,96,1200,6,4,5,exact,Z+X+Y+ZZ,
qrc6,2,0.02757109083551938,96,1200,6,4,5,exact,Z+X+Y+ZZ,
qrc6,3,0.027457725324638436,96,1200,6,4,5,exact,Z+X+Y+ZZ,
qrc6,4,0.026308209277541583,96,1200,6,4,5,exact,Z+X+Y+ZZ,
esnF96,0,0.08514853418842894,96,1200,,,5,,,
esnF96,1,0.09986458635625078,96,1200,,,5,,,
esnF96,2,0.1173236913855923,96,1200,,,5,,,
esnF96,3,0.11664690676138495,96,1200,,,5,,,
esnF96,4,0.09089704257609775,96,1200,,,5,,,
esnF96,5,0.10540554169838375,96,1200,,,5,,,
esnF96,6,0.08914852669212202,96,1200,,,5,,,
esnF96,7,0.09010916908009936,96,1200,,,5,,,
esnF96,8,0.09419362579745925,96,1200,,,5,,,
esnF96,9,0.08796230927893155,96,1200,,,5,,,
elmF96,0,0.018683721338927456,96,1200,,,5,,,
elmF96,1,0.01783594007456215,96,1200,,,5,,,
elmF96,2,0.01860139798489317,96,1200,,,5,,,
elmF96,3,0.018219518548341272,96,1200,,,5,,,
elmF96,4,0.01754939789332717,96,1200,,,5,,,
elmF96,5,0.017669173493488507,96,1200,,,5,,,
elmF96,6,0.01869643309797535,96,1200,,,5,,,
elmF96,7,0.01803844114082747,96,1200,,,5,,,
elmF96,8,0.019083974516282656,96,1200,,,5,,,
elmF96,9,0.01855912300683038,96,1200,,,5,,,
qrc8,0,0.027184177933584304,128,1200,8,4,5,exact,Z+X+Y+ZZ,
qrc8,1,0.026603926440410573,128,1200,8,4,5,exact,Z+X+Y+ZZ,
qrc8,2,0.027153544144383417,128,1200,8,4,5,exact,Z+X+Y+ZZ,
qrc8,3,0.026772673067508024,128,1200,8,4,5,exact,Z+X+Y+ZZ,
qrc8,4,0.02632086222163669,128,1200,8,4,5,exact,Z+X+Y+ZZ,
esnF128,0,0.10470262449939578,128,1200,,,5,,,
esnF128,1,0.10023187576281695,128,1200,,,5,,,
esnF128,2,0.12624960801511775,128,1200,,,5,,,
esnF128,3,0.1011481983097598,128,1200,,,5,,,
esnF128,4,0.11247554275459216,128,1200,,,5,,,
esnF128,5,0.11380876393046206,128,1200,,,5,,,
esnF128,6,0.11739087186365933,128,1200,,,5,,,
esnF128,7,0.11263772105925679,128,1200,,,5,,,
esnF128,8,0.09853889327755529,128,1200,,,5,,,
esnF128,9,0.09481366846671718,128,1200,,,5,,,
elmF128,0,0.01932963084703057,128,1200,,,5,,,
elmF128,1,0.018939457086219778,128,1200,,,5,,,
elmF128,2,0.01903343960500989,128,1200,,,5,,,
elmF128,3,0.019317924272908585,128,1200,,,5,,,
elmF128,4,0.019503288201734033,128,1200,,,5,,,
elmF128,5,0.01764134583054937,128,1200,,,5,,,
elmF128,6,0.01850734675808719,128,1200,,,5,,,
elmF128,7,0.01843876948554907,128,1200,,,5,,,
elmF128,8,0.01890719040203244,128,1200,,,5,,,
elmF128,9,0.01843644138585716,128,1200,,,5,,,
