system,seed,model,vpt_threshold,vpt_lyap,spectral_mse,wasserstein,diverged
henon,0,rfqrc,0.4,0.0,1.6389830291189715,0.14656840879285837,False
henon,0,elmF,0.4,6.172261204130847,0.46181000895046415,0.010937115295208242,False
henon,0,ngrc,0.4,15.636395050464811,0.5613613263033125,0.016653867606749723,False
henon,0,rfqrc,0.5,0.0,1.6389830291189715,0.14656840879285837,False
henon,0,elmF,0.5,6.172261204130847,0.46181000895046415,0.010937115295208242,False
henon,0,ngrc,0.5,15.636395050464811,0.5613613263033125,0.016653867606749723,False
henon,1,rfqrc,0.4,0.0,1.598666287419884,0.14945427348558,False
henon,1,elmF,0.4,6.172261204130847,0.5502920551255015,0.024066053925650276,False
henon,1,ngrc,0.4,15.636395050464811,0.5613613263033125,0.016653867606749723,False
henon,1,rfqrc,0.5,0.0,1.598666287419884,0.14945427348558,False
henon,1,elmF,0.5,6.995229364681626,0.5502920551255015,0.024066053925650276,False
henon,1,ngrc,0.5,15.636395050464811,0.5613613263033125,0.016653867606749723,False
henon,2,rfqrc,0.4,0.0,1.8329162717739553,0.14737002400567178,False
henon,2,elmF,0.4,6.172261204130847,0.47989820382028897,0.028846699986744252,False
henon,2,ngrc,0.4,15.636395050464811,0.5613613263033125,0.016653867606749723,False
henon,2,rfqrc,0.5,0.0,1.8329162717739553,0.14737002400567178,False
henon,2,elmF,0.5,6.995229364681626,0.47989820382028897,0.028846699986744252,False
henon,2,ngrc,0.5,15.636395050464811,0.5613613263033125,0.016653867606749723,False
lorenz,0,rfqrc,0.4,0.0,4.361961612112743,0.2789091033919588,False
lorenz,0,elmF,0.4,0.49807999999999997,14.003796902874893,4.60749455592442,True
lorenz,0,ngrc,0.4,0.36224,inf,8.521917040283859e+155,True
lorenz,0,rfqrc,0.5,0.0,4.361961612112743,0.2789091033919588,False
lorenz,0,elmF,0.5,0.54336,14.003796902874893,4.60749455592442,True
lorenz,0,ngrc,0.5,0.36224,inf,8.521917040283859e+155,True
lorenz,1,rfqrc,0.4,0.0,4.335828199280764,0.27902870926453205,False
lorenz,1,elmF,0.4,0.54336,11.74448959101602,5.557758295642059,True
lorenz,1,ngrc,0.4,0.36224,inf,8.521917040283859e+155,True
lorenz,1,rfqrc,0.5,0.0,4.335828199280764,0.27902870926453205,False
lorenz,1,elmF,0.5,0.54336,11.74448959101602,5.557758295642059,True
lorenz,1,ngrc,0.5,0.36224,inf,8.521917040283859e+155,True
lorenz,2,rfqrc,0.4,0.0,4.343034423866171,0.27903365027574206,False
lorenz,2,elmF,0.4,0.95088,12.298145215556428,3.107760922471148,True
lorenz,2,ngrc,0.4,0.36224,inf,8.521917040283859e+155,True
lorenz,2,rfqrc,0.5,0.0,4.343034423866171,0.27903365027574206,False
lorenz,2,elmF,0.5,0.95088,12.298145215556428,3.107760922471148,True
lorenz,2,ngrc,0.5,0.36224,inf,8.521917040283859e+155,True
mackeyglass,0,rfqrc,0.4,0.01676,1.0097295924486398,0.28621894568428097,False
mackeyglass,0,elmF,0.4,0.18436,13.017088668676505,4.393010889616418,True
mackeyglass,0,ngrc,0.4,0.0838,inf,1.76253513660853e+297,True
mackeyglass,0,rfqrc,0.5,0.01676,1.0097295924486398,0.28621894568428097,False
mackeyglass,0,elmF,0.5,0.19274,13.017088668676505,4.393010889616418,True
mackeyglass,0,ngrc,0.5,0.14246,inf,1.76253513660853e+297,True
mackeyglass,1,rfqrc,0.4,0.01676,1.0142362875683195,0.28502126653858445,False
mackeyglass,1,elmF,0.4,0.31844,13.282046904961918,3.887631888145071,True
mackeyglass,1,ngrc,0.4,0.0838,inf,1.76253513660853e+297,True
mackeyglass,1,rfqrc,0.5,0.01676,1.0142362875683195,0.28502126653858445,False
mackeyglass,1,elmF,0.5,0.36872,13.282046904961918,3.887631888145071,True
mackeyglass,1,ngrc,0.5,0.14246,inf,1.76253513660853e+297,True
mackeyglass,2,rfqrc,0.4,0.01676,1.0151622888740994,0.2847690829811643,False
mackeyglass,2,elmF,0.4,0.31006,12.529773485527494,4.396024965178184,True
mackeyglass,2,ngrc,0.4,0.0838,inf,1.76253513660853e+297,True
mackeyglass,2,rfqrc,0.5,0.01676,1.0151622888740994,0.2847690829811643,False
mackeyglass,2,elmF,0.5,0.31844,12.529773485527494,4.396024965178184,True
mackeyglass,2,ngrc,0.5,0.14246,inf,1.76253513660853e+297,True
