vpt_steps,vpt_lyap,diverged,spectral_mse,wasserstein,model,seed,eps,beta,val_nrmse
121,5.47888,False,0.7422753335821177,0.019901256295600557,rfqrc,0,0.3,1e-12,2.822806255871559e-05
180,8.1504,False,0.5366756949068098,0.03017320666998871,classical_twin,0,0.2,1e-12,3.6232823032872487e-06
177,8.01456,False,0.9692200665922712,0.04831722524179518,rfqrc,1,0.3,1e-12,3.8259196685774344e-05
178,8.05984,False,0.45536799360332286,0.017048368151327934,classical_twin,1,0.3,1e-12,5.298221947775394e-06
177,8.01456,False,0.798266291907484,0.04793428211609905,rfqrc,2,0.3,1e-12,3.442639958660933e-05
178,8.05984,False,1.8560714362300306,0.03211153903370886,classical_twin,2,0.3,1e-12,6.1646710322751896e-06
122,5.52416,False,1.2025648618113294,0.009612580501461807,rfqrc,3,0.3,1e-12,5.859856593609807e-05
180,8.1504,False,1.1604077684857874,0.020514022743109397,classical_twin,3,0.3,1e-12,6.526429036370414e-06
178,8.05984,False,1.5767072406604257,0.01997984460956334,rfqrc,4,0.3,1e-12,3.268462154124811e-05
122,5.52416,False,0.19636573874293398,0.004118474665156441,classical_twin,4,0.3,1e-12,1.0715354363624634e-05
