system,shots,rank,eps,beta,val_nrmse,test_nrmse
henon,8192,8,0.05,1e-06,0.3756888124308774,0.379344700729089
henon,8192,16,0.05,1e-06,0.297256337603354,0.2837303139524868
henon,8192,32,0.05,0.0001,0.29436027047689944,0.28479942800980895
henon,8192,64,0.05,0.0001,0.2901607771764019,0.2820959382997089
henon,8192,full,0.05,0.0001,0.28950056888534714,0.28036603750635203
henon,10000,8,0.05,1e-06,0.37053825521261713,0.3861993305548922
henon,10000,16,0.05,1e-06,0.293019534208767,0.2960072539435811
henon,10000,32,0.05,0.0001,0.2895417232056406,0.28978751459086666
henon,10000,64,0.05,0.0001,0.28877112006556765,0.2883527862246274
henon,10000,full,0.05,0.0001,0.28744861705969926,0.28747331641444746
henon,100000,8,0.05,1e-06,0.3723063991964594,0.3802296199620945
henon,100000,16,0.05,1e-06,0.26773590983086587,0.2614886766653236
henon,100000,32,0.05,1e-06,0.26514215428813936,0.26119643364748635
henon,100000,64,0.05,1e-06,0.2680360360115654,0.2627989800634801
henon,100000,full,0.05,1e-06,0.27044232873463603,0.2688214677877044
lorenz,8192,8,0.3,0.01,0.5216849188942789,0.519811871776103
lorenz,8192,16,0.3,0.01,0.5218201120323738,0.5194876459257748
lorenz,8192,32,0.3,0.01,0.5219551603355554,0.5195999068834689
lorenz,8192,64,0.3,0.01,0.5219155506795017,0.5196565166384443
lorenz,8192,full,0.3,0.01,0.5219793026393446,0.5196583171362235
lorenz,10000,8,0.3,1e-06,0.5213674490674837,0.5214760440282165
lorenz,10000,16,0.3,0.0001,0.5188671786750846,0.5175559194163649
lorenz,10000,32,0.3,0.01,0.5211242265719442,0.5193753505099171
lorenz,10000,64,0.3,0.0001,0.520971067525267,0.5291707701340709
lorenz,10000,full,0.3,0.01,0.5210531801984373,0.5192889953893568
lorenz,100000,8,0.3,1e-06,0.5216381876557024,0.5196220576475686
lorenz,100000,16,0.3,0.0001,0.5185430299963487,0.5203336919063613
lorenz,100000,32,0.3,0.01,0.5211362717525917,0.5190534757347636
lorenz,100000,64,0.3,0.01,0.5211491448723478,0.5190425488017761
lorenz,100000,full,0.3,0.01,0.5211526082061951,0.5190356291909383
