vpt_steps,vpt_lyap,diverged,spectral_mse,wasserstein,model,seed,eps,beta,val_nrmse
121,5.47888,False,0.7422753335821177,0.019901256295600557,rfqrc_linear,0,0.3,1e-12,2.822806255871559e-05
2,0.09056,False,0.8288818536195223,0.12786794327562098,rfqrc_cheb,0,0.3,1e-06,0.09917247174936088
0,0.0,False,1.2911814584905776,0.25453106310882617,cheb_twin,0,0.1,1e-06,0.7518382147376984
177,8.01456,False,0.9692200665922712,0.04831722524179518,rfqrc_linear,1,0.3,1e-12,3.8259196685774344e-05
1,0.04528,False,0.9954328388478686,0.12311933507302823,rfqrc_cheb,1,0.3,1e-06,0.08426722354944467
0,0.0,False,1.2911814584905776,0.25453106310882617,cheb_twin,1,0.1,1e-06,0.7518382147376984
177,8.01456,False,0.798266291907484,0.04793428211609905,rfqrc_linear,2,0.3,1e-12,3.442639958660933e-05
2,0.09056,False,0.8572815036305843,0.119298375802127,rfqrc_cheb,2,0.2,1e-06,0.06519145295440631
0,0.0,False,1.2911814584905776,0.25453106310882617,cheb_twin,2,0.1,1e-06,0.7518382147376984
122,5.52416,False,1.2025648618113294,0.009612580501461807,rfqrc_linear,3,0.3,1e-12,5.859856593609807e-05
3,0.13584000000000002,False,0.8142451499607463,0.2908361948787726,rfqrc_cheb,3,0.1,1e-06,0.10084794882602795
0,0.0,False,1.2911814584905776,0.25453106310882617,cheb_twin,3,0.1,1e-06,0.7518382147376984
178,8.05984,False,1.5767072406604257,0.01997984460956334,rfqrc_linear,4,0.3,1e-12,3.268462154124811e-05
4,0.18112,False,0.9325466776498296,0.14920866243843867,rfqrc_cheb,4,0.3,1e-06,0.07292000290514461
0,0.0,False,1.2911814584905776,0.25453106310882617,cheb_twin,4,0.1,1e-06,0.7518382147376984
