system,seed,model,eps,beta,val_nrmse,test_nrmse,n_features
henon,0,rfqrc_linear,0.05,1e-12,0.2624960505320481,0.2593922752906622,256
henon,0,rfqrc_cheb,0.2,1e-06,0.26587914665331325,0.26237934876864155,256
henon,0,cheb_twin,0.3,1e-12,0.9863502433482098,1.0045872177345225,45
henon,0,elmF,,1e-06,0.00021993492143607612,0.00021859844099566923,256
henon,0,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
henon,1,rfqrc_linear,0.05,1e-12,0.2624744449295625,0.25923228318360847,256
henon,1,rfqrc_cheb,0.2,1e-06,0.2660713351464142,0.2627417554000821,256
henon,1,cheb_twin,0.3,1e-12,0.9863502433482098,1.0045872177345225,45
henon,1,elmF,,1e-06,0.0001940447279257497,0.000183467358884717,256
henon,1,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
henon,2,rfqrc_linear,0.05,1e-12,0.2624607158204807,0.25929101799078375,256
henon,2,rfqrc_cheb,0.2,1e-06,0.26550414329584276,0.2627154408251973,256
henon,2,cheb_twin,0.3,1e-12,0.9863502433482098,1.0045872177345225,45
henon,2,elmF,,1e-06,0.00018916409603085595,0.00018074962953406665,256
henon,2,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
henon,3,rfqrc_linear,0.05,1e-12,0.26243647115096713,0.2592196975469142,256
henon,3,rfqrc_cheb,0.2,1e-06,0.26631749519009873,0.26261684980869193,256
henon,3,cheb_twin,0.3,1e-12,0.9863502433482098,1.0045872177345225,45
henon,3,elmF,,1e-06,0.00018890438217056128,0.0001832585556167796,256
henon,3,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
henon,4,rfqrc_linear,0.05,1e-12,0.2624722063138599,0.2592362617304734,256
henon,4,rfqrc_cheb,0.2,1e-06,0.26633458457638953,0.26291900170852245,256
henon,4,cheb_twin,0.3,1e-12,0.9863502433482098,1.0045872177345225,45
henon,4,elmF,,1e-06,0.00017636960993526213,0.00017624261225710578,256
henon,4,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
lorenz,0,rfqrc_linear,0.3,1e-09,0.5243548394404243,0.517652675034709,256
lorenz,0,rfqrc_cheb,0.2,1e-09,0.6575593504979105,1.8712967474572544,256
lorenz,0,cheb_twin,0.3,1e-06,1.0204608477065769,1.0931284792499993,45
lorenz,0,elmF,,1e-06,0.0006223305859119719,0.0006276626236209061,256
lorenz,0,ngrc,,1e-06,0.0014207739354182684,0.0014638867063359326,56
lorenz,1,rfqrc_linear,0.3,1e-09,0.5250277801150572,0.5181625198223148,256
lorenz,1,rfqrc_cheb,0.3,1e-06,0.5604064312164537,0.6010952390481382,256
lorenz,1,cheb_twin,0.3,1e-06,1.0204608477065769,1.0931284792499993,45
lorenz,1,elmF,,1e-06,0.0005272114569606578,0.0005100135809953971,256
lorenz,1,ngrc,,1e-06,0.0014207739354182684,0.0014638867063359326,56
lorenz,2,rfqrc_linear,0.3,1e-09,0.5242918908778939,0.517702706152858,256
lorenz,2,rfqrc_cheb,0.3,1e-06,0.5655186988879325,0.5941057504954563,256
lorenz,2,cheb_twin,0.3,1e-06,1.0204608477065769,1.0931284792499993,45
lorenz,2,elmF,,1e-06,0.0006600891940804194,0.0006612905033366643,256
lorenz,2,ngrc,,1e-06,0.0014207739354182684,0.0014638867063359326,56
lorenz,3,rfqrc_linear,0.3,1e-09,0.5240457946380999,0.5175275338832029,256
lorenz,3,rfqrc_cheb,0.3,1e-06,0.5847494601612273,0.5988549781958881,256
lorenz,3,cheb_twin,0.3,1e-06,1.0204608477065769,1.0931284792499993,45
lorenz,3,elmF,,1e-06,0.0006232259757754626,0.0006383958732550858,256
