key,model,axis,ratio_swing
esn,ESN,scaler,13.960338038965812
esn,ESN,scope,1.0000022939998614
esn,ESN,split,1.134174334497157
esn,ESN,washout,1.3065138866917232
esn,ESN,horizon,150.0873451703078
esn,ESN,lookback,1.0
esn,ESN,windowing,1.7454621131437182
esn,ESN,postprocess,61.175209209224015
esn,ESN,alpha,563.5365799860667
esn_rpy,ESN (reservoirpy),scaler,6.14973816926032
esn_rpy,ESN (reservoirpy),scope,1.00000028171868
esn_rpy,ESN (reservoirpy),split,1.0286222240022305
esn_rpy,ESN (reservoirpy),washout,1.2653336154937633
esn_rpy,ESN (reservoirpy),horizon,25.645556756532073
esn_rpy,ESN (reservoirpy),lookback,1.0
esn_rpy,ESN (reservoirpy),windowing,2.060974464028139
esn_rpy,ESN (reservoirpy),postprocess,9.001799271066565
esn_rpy,ESN (reservoirpy),alpha,50.984363930440125
ngrc,NG-RC,scaler,251.56275816520272
ngrc,NG-RC,scope,1.0000073921105148
ngrc,NG-RC,split,1.6011024143502537
ngrc,NG-RC,washout,42.35413423293001
ngrc,NG-RC,horizon,4211361.958811231
ngrc,NG-RC,lookback,3.8761986324986104
ngrc,NG-RC,postprocess,835.7056702331603
ngrc,NG-RC,alpha,66260065.57647585
elm,ELM,scaler,2.754444564786527
elm,ELM,scope,1.0000006259733318
elm,ELM,split,1.2769668601021684
elm,ELM,washout,1.0751166082724046
elm,ELM,horizon,6978.576951529149
elm,ELM,lookback,1945.4686997260926
elm,ELM,postprocess,64.58731695940159
elm,ELM,alpha,3642.810981713231
linear,Linear-Ridge,scaler,1.000000000092375
linear,Linear-Ridge,scope,1.0000000000000004
linear,Linear-Ridge,split,1.008105138767626
linear,Linear-Ridge,washout,1.0002778789851714
linear,Linear-Ridge,horizon,1.1524552733330569
linear,Linear-Ridge,lookback,1.0972455117290383
linear,Linear-Ridge,alpha,1.0000930524541174
naive,Naive,scaler,1.0000000000000002
naive,Naive,scope,1.0
naive,Naive,split,1.0056818016268232
naive,Naive,horizon,1.3914074025635665
ar,AR,scaler,1.0000001233528677
ar,AR,scope,1.0000000000002642
ar,AR,split,1.0076888826677863
ar,AR,washout,1.0000537946714285
ar,AR,horizon,1.0735890715749694
arima,ARIMA,scaler,1.0000002014835754
arima,ARIMA,scope,1.000000000038294
arima,ARIMA,split,1.0083653738506886
