model,alpha,encoding,horizon,lookback,postprocess,scaler,scope,split,washout,windowing
1D-CNN/TCN,,,21.144451200130383,16.261687151815376,,2.179493678710267,1.001786574706138,1.5767275774451532,1.1396115982468316,
AR,,,1.0735890715749694,,,1.0000001233528677,1.0000000000002642,1.0076888826677863,1.0000537946714285,
ARIMA,,,1.0963790211846711,,,1.0000002014835754,1.000000000038294,1.0083653738506886,1.0000783733753555,
ELM,3642.810981713231,,6978.576951529149,1945.4686997260926,64.58731695940159,2.754444564786527,1.0000006259733318,1.2769668601021684,1.0751166082724046,
ESN,563.5365799860667,,150.0873451703078,1.0,61.175209209224015,13.960338038965812,1.0000022939998614,1.134174334497157,1.3065138866917232,1.7454621131437182
ESN (reservoirpy),50.984363930440125,,25.645556756532073,1.0,9.001799271066565,6.14973816926032,1.00000028171868,1.0286222240022305,1.2653336154937633,2.060974464028139
ETS,,,1.0015106015473194,,,1.002539871325715,1.0000046461435343,1.0065947128285397,,
GRU,,,11.776647067642,4.109918555990765,,3.200098357937601,1.0000009377803696,1.753026417485285,1.1458369222499893,
HistGradientBoosting,,,49.5699897097183,16.209159213497518,,1.0045729909063648,1.0001245657715354,1.2702569674001958,1.078825378042946,
LSTM,,,9.144033027160358,2.9338549141686974,,5.318935647409433,1.00000443592482,3.984627168704256,1.4759113790625888,
LightGBM,,,48.59253551429527,19.268710945716027,,1.1046006135650428,1.0000000299848737,1.278304926218597,1.3628315627903511,
Linear-Ridge,1.0000930524541174,,1.1524552733330569,1.0972455117290383,,1.000000000092375,1.0000000000000004,1.008105138767626,1.0002778789851714,
MLP,,,22.7950195206316,9.90684156355668,,2.818664833771343,1.0157659200407352,1.5249935113607633,1.1463347250545866,
NG-RC,66260065.57647585,,4211361.958811231,3.8761986324986104,835.7056702331603,251.56275816520272,1.0000073921105148,1.6011024143502537,42.35413423293001,
Naive,,,1.3914074025635665,,,1.0000000000000002,1.0,1.0056818016268232,,
QRC-rich,78.97062094456005,24.527942849298967,221.8557401807065,49.63847837376172,2.881498718862249,8.032929590873723,1.0008011642941892,1.0638551213356344,1.0045623615036607,
QRC-v4,1.2463981865484832,1.5095467004028102,1.6790954182055486,1.3308178803915558,4.681379980945279,6.771537657159221,1.0001359130998526,1.0343197493894503,1.0048986163011033,
QRC-v6,2.6235507840941295,1.9847896315474196,3.4378271379572465,2.876925004157879,3.245304690195316,4.643700949044859,1.0001075498331427,1.035347722133691,1.02758131023067,
RandomForest,,,71.7668538919526,34.319127228938264,,1.009267507980612,1.0050433129353595,1.674140667310105,1.0916458112964345,
SVR,,,3.9081370954278234,1.2369863940561399,,3.859840726776286,1.0000013404320016,1.003400422344834,1.0003073635329927,
Transformer,,,23.657745704011678,7.877788261459315,,1.6144785705368356,1.0013950923114434,1.095459523730701,1.0912182635617118,
XGBoost,,,47.81021648669786,16.826202790469814,,1.0067076527638297,1.0027733689221259,1.2917318151523667,1.0695851464428494,
kNN,,,45.672005056060435,32.77005343387661,,1.0000000000000007,1.0000000000000004,1.358946465681406,1.0706680045996504,
