model,1D-CNN/TCN,AR,ARIMA,ELM,ESN,ESN (reservoirpy),ETS,GRU,HistGradientBoosting,LSTM,LightGBM,Linear-Ridge,MLP,NG-RC,Naive,QRC-rich,QRC-v4,QRC-v6,RandomForest,SVR,Transformer,XGBoost,kNN
1D-CNN/TCN,1.0,0.7,0.7,1.0,0.37142857142857144,0.37142857142857144,0.2,1.0,0.8285714285714286,0.8285714285714286,0.7714285714285715,0.8285714285714286,1.0,0.7142857142857143,0.8,1.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.9428571428571428,1.0,0.8285714285714286,0.8285714285714286
AR,0.7,1.0,1.0,0.7,0.6,0.6,0.4,0.7,1.0,0.7,0.9,1.0,0.7,0.6,1.0,0.7,0.4,0.4,1.0,0.7,0.7,1.0,1.0
ARIMA,0.7,1.0,1.0,0.7,0.6,0.6,0.4,0.7,1.0,0.7,0.9,1.0,0.7,0.6,1.0,0.7,0.4,0.4,1.0,0.7,0.7,1.0,1.0
ELM,1.0,0.7,0.7,1.0,0.5952380952380952,0.5952380952380952,0.2,1.0,0.8285714285714286,0.8285714285714286,0.7714285714285715,0.6071428571428571,1.0,0.7857142857142857,0.8,0.9761904761904762,0.5952380952380952,0.6666666666666666,0.8285714285714286,0.9428571428571428,1.0,0.8285714285714286,0.8285714285714286
ESN,0.37142857142857144,0.6,0.6,0.5952380952380952,1.0,1.0,0.2,0.37142857142857144,0.2,0.7142857142857143,0.2571428571428571,0.0,0.37142857142857144,0.9285714285714286,0.8,0.5714285714285714,0.42857142857142855,0.4523809523809524,0.2,0.6,0.37142857142857144,0.2,0.2
ESN (reservoirpy),0.37142857142857144,0.6,0.6,0.5952380952380952,1.0,1.0,0.2,0.37142857142857144,0.2,0.7142857142857143,0.2571428571428571,0.0,0.37142857142857144,0.9285714285714286,0.8,0.5714285714285714,0.42857142857142855,0.4523809523809524,0.2,0.6,0.37142857142857144,0.2,0.2
ETS,0.2,0.4,0.4,0.2,0.2,0.2,1.0,0.2,0.4,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.4,0.4,0.2,0.2,0.4,0.4
GRU,1.0,0.7,0.7,1.0,0.37142857142857144,0.37142857142857144,0.2,1.0,0.8285714285714286,0.8285714285714286,0.7714285714285715,0.8285714285714286,1.0,0.7142857142857143,0.8,1.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.9428571428571428,1.0,0.8285714285714286,0.8285714285714286
HistGradientBoosting,0.8285714285714286,1.0,1.0,0.8285714285714286,0.2,0.2,0.4,0.8285714285714286,1.0,0.6,0.9428571428571428,1.0,0.8285714285714286,0.4857142857142857,1.0,0.8285714285714286,0.42857142857142855,0.42857142857142855,1.0,0.6571428571428571,0.8285714285714286,1.0,1.0
LSTM,0.8285714285714286,0.7,0.7,0.8285714285714286,0.7142857142857143,0.7142857142857143,0.2,0.8285714285714286,0.6,1.0,0.4857142857142857,0.6,0.8285714285714286,0.7714285714285715,0.8,0.8285714285714286,0.8857142857142857,0.8857142857142857,0.6,0.9428571428571428,0.8285714285714286,0.6,0.6
LightGBM,0.7714285714285715,0.9,0.9,0.7714285714285715,0.2571428571428571,0.2571428571428571,0.4,0.7714285714285715,0.9428571428571428,0.4857142857142857,1.0,0.9428571428571428,0.7714285714285715,0.6,1.0,0.7714285714285715,0.37142857142857144,0.37142857142857144,0.9428571428571428,0.6,0.7714285714285715,0.9428571428571428,0.9428571428571428
