key,model,group,nrmse_train_scope,nrmse_global_scope,global_over_train,best_overall,worst_overall,artifact_ratio
esn,ESN,reservoir,0.03759984258103679,0.037600008425005604,1.0000044107623178,0.001231278849597812,0.15247115845403678,123.83154189957891
esn_rpy,ESN (reservoirpy),reservoir,0.13019825977395993,0.13019858936902073,1.0000025314859151,0.01533936516306201,0.5021051327326728,32.73311035985818
ngrc,NG-RC,reservoir,0.000582119797598635,0.000582122270557967,1.0000042481965778,1.7572605432640993e-09,0.0027946691186271698,1590355.5846283848
elm,ELM,reservoir,0.00253014458876423,0.0025301496275327126,1.0000019914942826,1.3641377888378773e-05,0.01015371758830733,744.3322567112068
linear,Linear-Ridge,reservoir,0.8766560261116267,0.8766560261109289,0.999999999999204,0.8741464475238966,0.8812323265452999,1.008106054816644
naive,Naive,statistical,1.619111622135276,1.619111622135276,1.0,1.6131257707251698,1.6222912313535467,1.0056818016268234
ar,AR,statistical,0.9336439974092069,0.9336439974097388,1.0000000000005698,0.9311842638884719,0.9383440304355992,1.0076888826677863
arima,ARIMA,statistical,0.9147592468633436,0.9147592470389344,1.000000000191953,0.912082101203378,0.9197120089624811,1.0083653738507052
ets,ETS,statistical,1.0085835778211862,1.008583028402159,0.9999994552568183,1.0061166238398693,1.012751674046113,1.0065947128285397
random_forest,RandomForest,ml,0.009174497019403536,0.009134705834341969,0.9956628483308227,0.006491535819414097,0.011028468890273856,1.698899797685973
hist_gb,HistGradientBoosting,ml,0.017076035939328823,0.017061713265554463,0.9991612412959747,0.015045108284865412,0.01916800201958319,1.2740354975620343
xgboost,XGBoost,ml,0.01670553237419105,0.016685245792954228,0.9987856369505373,0.013503054519917283,0.019009442447125508,1.4077883207155972
lightgbm,LightGBM,ml,0.015119198829278611,0.01511919756159512,0.9999999161540565,0.012982243892092292,0.016595268356877243,1.2783050830670117
svr,SVR,ml,0.2605808794780962,0.26058127972333794,1.0000015359731786,0.2600819385855323,0.2609666768286024,1.0034017673348707
knn,kNN,ml,0.018662360121205503,0.018662360121205503,1.0,0.015306535049766085,0.02080076170770821,1.3589464656814076
mlp,MLP,dl,0.04334458845598561,0.04322923429264325,0.9973386720822256,0.02752907297553667,0.060082561256601774,2.1825130584670727
lstm,LSTM,dl,0.1535198492066902,0.15352025408265602,1.000002637287412,0.049784298334554895,0.3275490185751513,6.579363966807223
gru,GRU,dl,0.08790478710884236,0.08790480376728319,1.0000001895055022,0.060766372224250874,0.14589863850038415,2.4009766118991447
cnn,1D-CNN/TCN,dl,0.048127152013044405,0.04680402898842034,0.9725077639278251,0.02795715349864572,0.08204780977308122,2.9347697996885027
transformer,Transformer,dl,0.0440782132573889,0.04466783439993115,1.0133767024334501,0.035486676861865525,0.057142308547947274,1.610246819401486
qrc_v4,QRC-v4,quantum,0.58902317885561,0.5890398934606548,1.0000283768205478,0.5351669169089647,0.6700267309939284,1.251995797617483
qrc_v6,QRC-v6,quantum,0.3360786425902431,0.3361456201713749,1.00019929139387,0.22558251691867837,0.6371628650672081,2.824522368889531
qrc_rich,QRC-rich,quantum,0.00617090554212907,0.00616997589767299,0.9998493503992675,0.004158686237094457,0.013374368481639224,3.2160080658028853
