system,n,comparison,seed,dm_stat,p
henon,4,qrc_vs_esnF,0,-11.23531393787919,1.173820022237324e-24
henon,4,qrc_vs_elmF,0,-4.086658841690202,5.632227074210254e-05
henon,4,qrc_vs_ngrc,0,13.186993037320415,1.360868890568966e-31
henon,4,qrc_vs_esnF,1,-13.773451867816147,9.764813456197287e-34
henon,4,qrc_vs_elmF,1,9.684925852052679,1.8298111720615855e-19
henon,4,qrc_vs_ngrc,1,12.734023139596193,5.9400509593748226e-30
henon,4,qrc_vs_esnF,2,-11.511122976497203,1.2955991716635705e-25
henon,4,qrc_vs_elmF,2,5.326562585760619,1.9758735569698635e-07
henon,4,qrc_vs_ngrc,2,12.843039178957543,2.401692471817995e-30
henon,4,qrc_vs_esnF,3,-11.899298490344917,5.637549375432451e-27
henon,4,qrc_vs_elmF,3,7.059736504707419,1.1770673999474178e-11
henon,4,qrc_vs_ngrc,3,12.613765349565027,1.6088324519596213e-29
henon,4,qrc_vs_esnF,4,-11.606439404191736,6.021237768507675e-26
henon,4,qrc_vs_elmF,4,11.596787125323035,6.507753268225019e-26
henon,4,qrc_vs_ngrc,4,13.235727841709904,9.046585381543426e-32
henon,4,qrc_vs_esnF,5,-8.814518069536835,1.0207553713624969e-16
henon,4,qrc_vs_elmF,5,10.319841933831084,1.5058901024490935e-21
henon,4,qrc_vs_ngrc,5,12.980598097913738,7.637754441945255e-31
henon,4,qrc_vs_esnF,6,-9.737028599945917,1.2409818893438238e-19
henon,4,qrc_vs_elmF,6,8.602735247209836,4.524371045711875e-16
henon,4,qrc_vs_ngrc,6,12.921229011273633,1.2527953610093724e-30
henon,4,qrc_vs_esnF,7,-10.117258472909983,7.075522834655377e-21
henon,4,qrc_vs_elmF,7,9.94533992199558,2.6006391965148373e-20
henon,4,qrc_vs_ngrc,7,12.742666345162764,5.5289717913313226e-30
henon,4,qrc_vs_esnF,8,-10.936465609183907,1.2484637890771318e-23
henon,4,qrc_vs_elmF,8,11.02833631893393,6.052219086546876e-24
henon,4,qrc_vs_ngrc,8,12.95969191779944,9.092338525561335e-31
henon,4,qrc_vs_esnF,9,-11.455545915113039,2.0232170602611119e-25
henon,4,qrc_vs_elmF,9,4.122682924770494,4.8601156285565474e-05
henon,4,qrc_vs_ngrc,9,13.235490706762794,9.06458541875135e-32
henon,6,qrc_vs_esnF,0,-9.534183388621994,5.594239319054414e-19
henon,6,qrc_vs_elmF,0,12.369499100187053,1.2069859796493817e-28
henon,6,qrc_vs_ngrc,0,12.969014821792852,8.412353967415997e-31
henon,6,qrc_vs_esnF,1,-9.595135224939234,3.5642116764992255e-19
henon,6,qrc_vs_elmF,1,12.614085447461637,1.6045771151192967e-29
henon,6,qrc_vs_ngrc,1,13.313704084113523,4.703439061569851e-32
henon,6,qrc_vs_esnF,2,-13.133325706831819,2.1325779016093965e-31
henon,6,qrc_vs_elmF,2,11.870285092431368,7.134969919889645e-27
henon,6,qrc_vs_ngrc,2,12.647345464251627,1.2184267774547281e-29
henon,6,qrc_vs_esnF,3,-10.119150801722636,6.974457747492952e-21
henon,6,qrc_vs_elmF,3,12.073561026523512,1.3641535497205734e-27
henon,6,qrc_vs_ngrc,3,12.786228231885284,3.851044099929611e-30
henon,6,qrc_vs_esnF,4,-10.51151571757259,3.4391616969526816e-22
henon,6,qrc_vs_elmF,4,12.467036101565853,5.405686375201988e-29
henon,6,qrc_vs_ngrc,4,13.182534835490522,1.4126356846295768e-31
henon,6,qrc_vs_esnF,5,-12.120427964360282,9.303038030703849e-28
henon,6,qrc_vs_elmF,5,12.24402579280027,3.3823553898132693e-28
henon,6,qrc_vs_ngrc,5,12.78109996514863,4.018617619925645e-30
henon,6,qrc_vs_esnF,6,-9.88549193052767,4.081176108465174e-20
henon,6,qrc_vs_elmF,6,12.856033263477077,2.1556560700168915e-30
henon,6,qrc_vs_ngrc,6,13.423814392063356,1.8646368426693293e-32
henon,6,qrc_vs_esnF,7,-9.726356590564091,1.3438297621249014e-19
henon,6,qrc_vs_elmF,7,11.336682636718594,5.234231481358902e-25
henon,6,qrc_vs_ngrc,7,12.770978657241612,4.370983770143083e-30
henon,6,qrc_vs_esnF,8,-11.116309431159522,3.0185534739194607e-24
henon,6,qrc_vs_elmF,8,12.878943141814881,1.781523098762649e-30
henon,6,qrc_vs_ngrc,8,13.107686307530166,2.6426291230152996e-31
henon,6,qrc_vs_esnF,9,-12.34223127289816,1.5103503217579296e-28
henon,6,qrc_vs_elmF,9,12.080890236145992,1.2849324286657819e-27
henon,6,qrc_vs_ngrc,9,13.127175127391851,2.245175134506687e-31
henon,8,qrc_vs_esnF,0,-9.620483181064062,1.0184539999675892e-18
henon,8,qrc_vs_elmF,0,9.54454479180938,1.7314018508140523e-18
henon,8,qrc_vs_ngrc,0,10.117709185550076,3.025038000523081e-20
henon,8,qrc_vs_esnF,1,-10.592736125014017,9.879485136696525e-22
henon,8,qrc_vs_elmF,1,10.34174555335844,6.06685545903357e-21
henon,8,qrc_vs_ngrc,1,10.491615766036773,2.0563595311789662e-21
henon,8,qrc_vs_esnF,2,-8.394678099792818,4.208247970488437e-15
henon,8,qrc_vs_elmF,2,9.761686660687046,3.7791827286618314e-19
henon,8,qrc_vs_ngrc,2,10.159373959762476,2.2459330835578394e-20
henon,8,qrc_vs_esnF,3,-8.687358910239753,6.055862307619525e-16
henon,8,qrc_vs_elmF,3,9.84489915017964,2.1012328062547166e-19
henon,8,qrc_vs_ngrc,3,10.056852340372942,4.669560861314959e-20
henon,8,qrc_vs_esnF,4,-10.471792997365638,2.3734699541015703e-21
henon,8,qrc_vs_elmF,4,10.00993983852259,6.521090853492499e-20
henon,8,qrc_vs_ngrc,4,10.204787606941998,1.6225498097671617e-20
henon,8,qrc_vs_esnF,5,-9.050584075183703,5.221287393589421e-17
henon,8,qrc_vs_elmF,5,9.973008461175153,8.478505521509031e-20
henon,8,qrc_vs_ngrc,5,10.225169954851022,1.4020044435456153e-20
henon,8,qrc_vs_esnF,6,-9.583536765415852,1.3187490130584087e-18
henon,8,qrc_vs_elmF,6,10.039051942926957,5.300809793133859e-20
henon,8,qrc_vs_ngrc,6,10.236551410131709,1.292109590368435e-20
henon,8,qrc_vs_esnF,7,-10.858121920657418,1.4266716376682525e-22
henon,8,qrc_vs_elmF,7,9.621495035259803,1.0112661417299623e-18
henon,8,qrc_vs_ngrc,7,10.074253950970363,4.1248413647281566e-20
henon,8,qrc_vs_esnF,8,-10.034071792207955,5.492142004115787e-20
henon,8,qrc_vs_elmF,8,9.878332818539784,1.658838050044088e-19
henon,8,qrc_vs_ngrc,8,10.171391038918017,2.060898747606441e-20
henon,8,qrc_vs_esnF,9,-10.234877408680328,1.3077186339788953e-20
henon,8,qrc_vs_elmF,9,9.777607582704334,3.3782490938110624e-19
henon,8,qrc_vs_ngrc,9,10.154266996276464,2.3294877402211545e-20
henon,10,qrc_vs_esnF,0,-8.590758714581458,4.1656577923677165e-14
henon,10,qrc_vs_elmF,0,5.260226721128743,6.511618498591489e-07
henon,10,qrc_vs_ngrc,0,7.535399318212579,1.0856585284377702e-11
henon,10,qrc_vs_esnF,1,-8.359555391815192,1.4312508278119563e-13
henon,10,qrc_vs_elmF,1,7.374611355448156,2.4868158915435055e-11
henon,10,qrc_vs_ngrc,1,7.582731393872941,8.496843272831907e-12
henon,10,qrc_vs_esnF,2,-8.034820428440582,7.99390126946459e-13
henon,10,qrc_vs_elmF,2,7.12598320504516,8.851285279806785e-11
henon,10,qrc_vs_ngrc,2,7.559439013639904,9.586530850236425e-12
henon,10,qrc_vs_esnF,3,-8.112563466474985,5.303820012955787e-13
henon,10,qrc_vs_elmF,3,7.098649989954116,1.0167398864696511e-10
henon,10,qrc_vs_ngrc,3,7.617641493363969,7.089597780320417e-12
henon,10,qrc_vs_esnF,4,-8.149842494793504,4.3550896164411463e-13
henon,10,qrc_vs_elmF,4,7.289892788795366,3.8393265781182585e-11
henon,10,qrc_vs_ngrc,4,7.549688176394052,1.0082868233512276e-11
henon,12,qrc_vs_esnF,0,-8.414028954503966,1.0708081184563875e-13
henon,12,qrc_vs_elmF,0,7.124391701249443,8.923064986825793e-11
henon,12,qrc_vs_ngrc,0,7.527323660500009,1.1319620676819496e-11
henon,12,qrc_vs_esnF,1,-7.924074553744735,1.4314420471663015e-12
henon,12,qrc_vs_elmF,1,7.546529190749811,1.0249069939971189e-11
henon,12,qrc_vs_ngrc,1,8.05247381307726,7.283504651241001e-13
lorenz,4,qrc_vs_esnF,0,-11.437319886227819,2.341243378529517e-25
lorenz,4,qrc_vs_elmF,0,9.221661732389682,5.5125900007011276e-18
