system,n_qubits_eq,model,seed,nrmse,n_features,n_points,n_qubits,V,window,shots,readout,ngrc_degree
henon,4,ngrc,0,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,1,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,2,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,3,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,4,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,5,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,6,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,7,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,8,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,9,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,10,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,11,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,12,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,13,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,14,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,15,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,16,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,17,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,18,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,ngrc,19,1.5867011999559015e-06,21,1500,,,5,,,2
henon,4,elmF,0,0.006208617994892431,64,1500,,,5,,,
henon,4,elmF,1,0.002229700083721117,64,1500,,,5,,,
henon,4,elmF,2,0.003189006083950334,64,1500,,,5,,,
henon,4,elmF,3,0.0027323050793948206,64,1500,,,5,,,
henon,4,elmF,4,0.001456798913569839,64,1500,,,5,,,
henon,4,elmF,5,0.0018990495088142807,64,1500,,,5,,,
henon,4,elmF,6,0.0023817089028451053,64,1500,,,5,,,
henon,4,elmF,7,0.0019382977411236727,64,1500,,,5,,,
henon,4,elmF,8,0.0015816056587060617,64,1500,,,5,,,
henon,4,elmF,9,0.0035050281748472793,64,1500,,,5,,,
henon,4,elmF,10,0.0018793452409487735,64,1500,,,5,,,
henon,4,elmF,11,0.002698999794101356,64,1500,,,5,,,
henon,4,elmF,12,0.0033140538101039973,64,1500,,,5,,,
henon,4,elmF,13,0.0018535433219487132,64,1500,,,5,,,
henon,4,elmF,14,0.0018319841348710467,64,1500,,,5,,,
henon,4,elmF,15,0.002909010507188249,64,1500,,,5,,,
henon,4,elmF,16,0.003973498459620404,64,1500,,,5,,,
henon,4,elmF,17,0.002888338699264104,64,1500,,,5,,,
henon,4,elmF,18,0.0020317293708854893,64,1500,,,5,,,
henon,4,elmF,19,0.002123452378286056,64,1500,,,5,,,
henon,4,esnF,0,0.024401902973238545,64,1500,,,5,,,
henon,4,esnF,1,0.033272301020469776,64,1500,,,5,,,
henon,4,esnF,2,0.022624026618193436,64,1500,,,5,,,
henon,4,esnF,3,0.028781374426270403,64,1500,,,5,,,
henon,4,esnF,4,0.025991566199192285,64,1500,,,5,,,
henon,4,esnF,5,0.019424617513049764,64,1500,,,5,,,
henon,4,esnF,6,0.0233503924995168,64,1500,,,5,,,
henon,4,esnF,7,0.02677437780361004,64,1500,,,5,,,
henon,4,esnF,8,0.024202538003391543,64,1500,,,5,,,
henon,4,esnF,9,0.028877390781572105,64,1500,,,5,,,
henon,4,esnF,10,0.017151354932133416,64,1500,,,5,,,
henon,4,esnF,11,0.03164401246944281,64,1500,,,5,,,
henon,4,esnF,12,0.023601283894243964,64,1500,,,5,,,
henon,4,esnF,13,0.018560423351678887,64,1500,,,5,,,
henon,4,esnF,14,0.017386918322137245,64,1500,,,5,,,
henon,4,esnF,15,0.028053460830908476,64,1500,,,5,,,
henon,4,esnF,16,0.02809956583636503,64,1500,,,5,,,
henon,4,esnF,17,0.0284817114299803,64,1500,,,5,,,
henon,4,esnF,18,0.018201470200105895,64,1500,,,5,,,
henon,4,esnF,19,0.018867148761436102,64,1500,,,5,,,
henon,4,qrc,0,0.004396394098487305,64,1500,4,4,5,exact,Z+X+Y+ZZ,
henon,4,qrc,1,0.004440579671040144,64,1500,4,4,5,exact,Z+X+Y+ZZ,
henon,4,qrc,2,0.004415028094108374,64,1500,4,4,5,exact,Z+X+Y+ZZ,
henon,4,qrc,3,0.004413706092911823,64,1500,4,4,5,exact,Z+X+Y+ZZ,
