system,n,F,n_points,n_seeds_q,qrc_median,qrc_iqr,esnF_median,esnF_iqr,elmF_median,elmF_iqr,ngrc_median,ngrc_iqr,gap_qrc_over_esnF,loggap_esnF_lo,loggap_esnF_hi,gap_esnF_excludes_zero,gap_qrc_over_elmF,loggap_elmF_lo,loggap_elmF_hi,gap_elmF_excludes_zero,gap_qrc_over_ngrc,loggap_ngrc_lo,loggap_ngrc_hi,gap_ngrc_excludes_zero
henon,4,64,1500,10,0.00441084713311815,3.3831859617875805e-05,0.024302220488315,0.008909851909622523,0.0023057044932831,0.0010848859595308999,1.5867011999559017e-06,0.0,0.1753446164605691,-0.8143081191258705,-0.7178418401248721,True,1.9344943990303138,0.14127812367859827,0.39921401377580246,True,2779.8851688274635,3.4416714809730404,3.4461207691429845,True
henon,6,96,1500,10,0.00440037150964345,0.00012483435456635012,0.01819332720858765,0.006569097186181474,0.0009643923840243,0.00019307023085265009,1.5867011999559017e-06,0.0,0.248609369145795,-0.6993527352624993,-0.5416272194221028,True,4.51697144809121,0.5862835378317173,0.6995752882076149,True,2773.283028818373,3.441392011819449,3.4565038720218197,True
henon,8,128,1200,10,0.0045115180711081,0.00021475087276132555,0.01633171798810465,0.0027125851148218517,0.00075211181121755,0.00020248867014907492,2.153442572971573e-06,0.0,0.29930619641386813,-0.5857629202693417,-0.49127147020413353,True,6.02338426391807,0.7095822266185738,0.8669319311029304,True,2095.0259494882084,3.3142875005018437,3.3359578732124398,True
henon,10,160,600,5,0.0045267448355405,1.919694902570001e-05,0.020016020221712602,0.005033413629623326,0.0010558327190151,0.00032633160323150014,5.656436364479564e-06,0.0,0.20903668521933383,-0.7488474477658786,-0.5644200388211833,True,4.575103532394934,0.37320366733778165,0.7925299743311789,True,800.2821111834422,2.892128646834738,2.9078459688372207,True
henon,12,192,600,2,0.00462952759969715,0.00020911205137544991,0.018245796439313053,0.004004580077132128,0.00096982589251285,0.00029127899093335,5.656436364479564e-06,0.0,0.27788939591470974,-0.5869345807777815,-0.527362727107084,True,4.750260506621656,0.6659444977465445,0.6872295834048812,True,818.4530508941918,2.8929201921953043,2.932180374388766,True
lorenz,4,64,1500,10,0.013581393491995001,0.0017410879530975996,0.0998547560199208,0.018766487245168453,0.0019801554668567,0.0006674518710623003,0.0018550941268273,0.0,0.13482921066210257,-0.9335219234124829,-0.803357621126183,True,6.767007608080831,0.7220240273096419,0.948546263379815,True,7.321134434953316,0.8213266051493925,0.8997678636295713,True
lorenz,6,96,1500,10,0.01420811301696625,0.007696051299417675,0.0837621715126674,0.025424523627851497,0.00153622634126345,0.00037450897765972505,0.0018550941268273,0.0,0.1741212386427963,-0.8545622127326014,-0.6218032359179303,True,9.039018146503462,0.879321851768523,1.1960334059322346,True,7.658971483708953,0.8276369762064757,1.0822042219821213,True
lorenz,8,128,1200,10,0.01220352973435385,0.004854702240389124,0.051581133851119745,0.014760883632082972,0.0010428318223198,0.00010175629013342504,0.0016758249668473,0.0,0.2447435705056639,-0.746958467874725,-0.4318645176953497,True,11.186409105236365,0.9747006616829863,1.1796974132712312,True,7.282102830412018,0.7927283462803669,0.97314142379726,True
lorenz,10,160,600,5,0.0123762641549078,0.0007064829004918994,0.19442133059083985,0.08738322592314346,0.00116180819475005,0.0001809051339466,0.0020057288471564,0.0,0.05369793516099724,-1.5589428880556517,-1.0352003941965373,True,10.326837161516684,0.8387965939570583,1.1465899922083218,True,6.17045727414955,0.7662347580831528,0.9070014189956175,True
mackeyglass,4,64,1500,10,0.0045920023981347,0.00017902289785277567,0.01128122116592945,0.0019384852557736993,0.0020572981694549,7.922019248565032e-05,0.0022945731514897,0.0,0.38748217657979994,-0.47754447594522764,-0.3669564340745697,True,2.2153885431019336,0.32704522598903996,0.36484752181684543,True,2.0012447174122325,0.29133503080510526,0.31670238725622624,True
mackeyglass,6,96,1500,10,0.00460042068678275,0.00010553197690192466,0.0097346362194244,0.0010350887549325748,0.0019615634259773,5.897916098335015e-05,0.0022945731514897,0.0,0.46574634566684747,-0.3549318175520636,-0.2890106494429361,True,2.313182854982583,0.35570035809489187,0.37558490368026587,True,2.0049134994001085,0.2873835960310114,0.3056293585455703,True
mackeyglass,8,128,1200,10,0.00408636204006575,0.0003569359867847009,0.0089125892332986,0.001132666660435551,0.00143630303563415,3.873161268377499e-05,0.0017847997672215,0.0,0.45857394851456623,-0.36547672749207116,-0.2815828461349994,True,2.795561316399686,0.4338137338869843,0.4760006949417668,True,2.2895352829562636,0.33629759405943105,0.37888035395335695,True
mackeyglass,10,160,600,5,0.004722425207622,0.00021109397192849936,0.013917334813354349,0.003672444905200325,0.0020452699173381496,5.962441706232509e-05,0.0024124716308349,0.0,0.3222006655784299,-0.7903354868151817,-0.4572561062763081,True,2.3163576984927268,0.35286202634672437,0.3725573250420946,True,1.9575049701155154,0.2761936611413369,0.302116752415591,True
