,NG-RC(best),NG-RC(d1),NG-RC(d2),NG-RC(d3),ESN,ESN+poly2,ELM,ELM+poly2,RandomForest,Linear-Ridge
NG-RC(best),0.0,3.924167203747819e-77,1.0,1.0,9.937100143479005e-67,3.0833077524240974e-64,7.10726079337452e-50,1.0,2.131552847557364e-15,5.697697651149952e-78
NG-RC(d1),21.63931812680534,0.0,3.924167203747819e-77,3.924167216136737e-77,3.986093539065429e-77,3.961590180877072e-77,3.924208611385187e-77,3.924174139065904e-77,4.3030623968598034e-77,0.0003663720731838125
NG-RC(d2),0.0,-21.63931812680534,0.0,1.0,9.937100143479005e-67,3.0833077524240974e-64,7.10726079337452e-50,1.0,2.131552847557364e-15,5.697697651149952e-78
NG-RC(d3),0.0,-21.63931812654575,0.0,0.0,9.937502566378983e-67,3.083480340532898e-64,7.243436493975398e-50,1.0,2.1315575262598984e-15,5.697697669504082e-78
ESN,19.412396671277296,-21.63808420214421,19.412396671277296,19.412393233113153,0.0,4.4570316506005914e-40,1.1393048828497128e-66,1.0194503006589929e-66,7.292510647192344e-10,5.79423585366009e-78
ESN+poly2,19.453177490451363,-21.638555941365983,19.453177490451363,19.45317199984121,-13.880017471910824,0.0,3.93328478908409e-64,3.193506182635873e-64,1.0815380655828554e-11,5.757193210356003e-78
ELM,17.127702767446255,-21.639317269808938,17.127702767446255,17.1246046270696,-19.40022242387006,-19.432358036007184,0.0,1.309450548364419e-35,2.1521561610215565e-15,5.697758877996154e-78
ELM+poly2,0.0,-21.639317984042677,0.0,0.0,-19.410211017967928,-19.44955324264575,-14.650556919195454,0.0,2.1347150913045245e-15,5.69770775338723e-78
RandomForest,8.202177956351143,-21.631701503847697,8.202177956351143,8.20217765417663,6.300855929954647,7.098221354423001,8.201010907199604,8.201980243615388,0.0,6.284419676628239e-78
Linear-Ridge,21.797917250944536,-3.583700233418561,21.797917250944536,21.79791725067989,21.79657492138438,21.79708263661269,21.797916378226265,21.79791710283837,21.78985109609475,0.0
