model_i,model_j,mean_dm,median_p,frac_seeds_sig
NG-RC(best),NG-RC(d1),-21.63931812680534,3.924167203747819e-77,1.0
NG-RC(best),NG-RC(d2),0.0,1.0,0.0
NG-RC(best),NG-RC(d3),0.0,1.0,0.0
NG-RC(best),ESN,-19.412396671277296,9.937100143479005e-67,1.0
NG-RC(best),ESN+poly2,-19.453177490451363,3.0833077524240974e-64,1.0
NG-RC(best),ELM,-17.127702767446255,7.10726079337452e-50,1.0
NG-RC(best),ELM+poly2,0.0,1.0,0.0
NG-RC(best),RandomForest,-8.202177956351143,2.131552847557364e-15,1.0
NG-RC(best),Linear-Ridge,-21.797917250944536,5.697697651149952e-78,1.0
NG-RC(d1),NG-RC(best),21.63931812680534,3.924167203747819e-77,1.0
NG-RC(d1),NG-RC(d2),21.63931812680534,3.924167203747819e-77,1.0
NG-RC(d1),NG-RC(d3),21.63931812654575,3.924167216136737e-77,1.0
NG-RC(d1),ESN,21.63808420214421,3.986093539065429e-77,1.0
NG-RC(d1),ESN+poly2,21.638555941365983,3.961590180877072e-77,1.0
NG-RC(d1),ELM,21.639317269808938,3.924208611385187e-77,1.0
NG-RC(d1),ELM+poly2,21.639317984042677,3.924174139065904e-77,1.0
NG-RC(d1),RandomForest,21.631701503847697,4.3030623968598034e-77,1.0
NG-RC(d1),Linear-Ridge,3.583700233418561,0.0003663720731838125,1.0
NG-RC(d2),NG-RC(best),0.0,1.0,0.0
NG-RC(d2),NG-RC(d1),-21.63931812680534,3.924167203747819e-77,1.0
NG-RC(d2),NG-RC(d3),0.0,1.0,0.0
NG-RC(d2),ESN,-19.412396671277296,9.937100143479005e-67,1.0
NG-RC(d2),ESN+poly2,-19.453177490451363,3.0833077524240974e-64,1.0
NG-RC(d2),ELM,-17.127702767446255,7.10726079337452e-50,1.0
NG-RC(d2),ELM+poly2,0.0,1.0,0.0
NG-RC(d2),RandomForest,-8.202177956351143,2.131552847557364e-15,1.0
NG-RC(d2),Linear-Ridge,-21.797917250944536,5.697697651149952e-78,1.0
NG-RC(d3),NG-RC(best),0.0,1.0,0.0
NG-RC(d3),NG-RC(d1),-21.63931812654575,3.924167216136737e-77,1.0
NG-RC(d3),NG-RC(d2),0.0,1.0,0.0
NG-RC(d3),ESN,-19.412393233113153,9.937502566378983e-67,1.0
NG-RC(d3),ESN+poly2,-19.45317199984121,3.083480340532898e-64,1.0
NG-RC(d3),ELM,-17.1246046270696,7.243436493975398e-50,1.0
NG-RC(d3),ELM+poly2,0.0,1.0,0.0
NG-RC(d3),RandomForest,-8.20217765417663,2.1315575262598984e-15,1.0
NG-RC(d3),Linear-Ridge,-21.79791725067989,5.697697669504082e-78,1.0
ESN,NG-RC(best),19.412396671277296,9.937100143479005e-67,1.0
ESN,NG-RC(d1),-21.63808420214421,3.986093539065429e-77,1.0
ESN,NG-RC(d2),19.412396671277296,9.937100143479005e-67,1.0
ESN,NG-RC(d3),19.412393233113153,9.937502566378983e-67,1.0
ESN,ESN+poly2,13.880017471910824,4.4570316506005914e-40,1.0
ESN,ELM,19.40022242387006,1.1393048828497128e-66,1.0
ESN,ELM+poly2,19.410211017967928,1.0194503006589929e-66,1.0
ESN,RandomForest,-6.300855929954647,7.292510647192344e-10,1.0
ESN,Linear-Ridge,-21.79657492138438,5.79423585366009e-78,1.0
ESN+poly2,NG-RC(best),19.453177490451363,3.0833077524240974e-64,1.0
ESN+poly2,NG-RC(d1),-21.638555941365983,3.961590180877072e-77,1.0
ESN+poly2,NG-RC(d2),19.453177490451363,3.0833077524240974e-64,1.0
ESN+poly2,NG-RC(d3),19.45317199984121,3.083480340532898e-64,1.0
ESN+poly2,ESN,-13.880017471910824,4.4570316506005914e-40,1.0
ESN+poly2,ELM,19.432358036007184,3.93328478908409e-64,1.0
ESN+poly2,ELM+poly2,19.44955324264575,3.193506182635873e-64,1.0
ESN+poly2,RandomForest,-7.098221354423001,1.0815380655828554e-11,1.0
ESN+poly2,Linear-Ridge,-21.79708263661269,5.757193210356003e-78,1.0
ELM,NG-RC(best),17.127702767446255,7.10726079337452e-50,1.0
ELM,NG-RC(d1),-21.639317269808938,3.924208611385187e-77,1.0
ELM,NG-RC(d2),17.127702767446255,7.10726079337452e-50,1.0
ELM,NG-RC(d3),17.1246046270696,7.243436493975398e-50,1.0
ELM,ESN,-19.40022242387006,1.1393048828497128e-66,1.0
