model_i,model_j,mean_dm,median_p,frac_seeds_sig
NG-RC(k3d2),ESN,-12.151631974000068,2.2796864073564586e-28,1.0
NG-RC(k3d2),ELM,-11.785468697458295,1.073036451484864e-27,1.0
NG-RC(k3d2),ELM+poly2,-6.733963472137809,9.328743149529836e-22,0.6
NG-RC(k3d2),RandomForest,-6.431212201396569,8.34493750292988e-10,1.0
NG-RC(k3d2),qrc_v4,-9.81256991656942,9.750680532960142e-20,1.0
NG-RC(k3d2),qrc_v6,-9.308672373751445,2.2722772219577927e-19,1.0
NG-RC(k3d2),qrc_rich,-13.731552276234883,1.512124534465717e-33,1.0
NG-RC(k3d2),ESN(F=16),-11.576710866001749,2.4319255874809128e-29,1.0
NG-RC(k3d2),ESN(F=24),-12.502016585825867,1.167896655007494e-29,1.0
NG-RC(k3d2),ESN(F=96),-11.209033970576778,1.8012189139762212e-23,1.0
ESN,NG-RC(k3d2),12.151631974000068,2.2796864073564586e-28,1.0
ESN,ELM,12.14354354413816,2.4290794110729028e-28,1.0
ESN,ELM+poly2,12.149993232579252,2.3145187020091284e-28,1.0
ESN,RandomForest,-5.150239542429196,6.171677693584347e-07,1.0
ESN,qrc_v4,-9.803769336398407,1.0414016664430491e-19,1.0
ESN,qrc_v6,-9.297684713895155,2.4698433290888247e-19,1.0
ESN,qrc_rich,11.999959734217288,9.974384277681232e-28,1.0
ESN,ESN(F=16),-11.385695546110174,8.618704516720184e-28,1.0
ESN,ESN(F=24),-12.031314711328577,3.346502689219992e-29,1.0
ESN,ESN(F=96),-8.843999811857834,7.036467151969157e-17,1.0
ELM,NG-RC(k3d2),11.785468697458295,1.073036451484864e-27,1.0
ELM,ESN,-12.14354354413816,2.4290794110729028e-28,1.0
ELM,ELM+poly2,9.980897152722134,1.0005923414536535e-21,1.0
ELM,RandomForest,-6.430349201004342,8.385619539932551e-10,1.0
ELM,qrc_v4,-9.81256427113917,9.751167265012535e-20,1.0
ELM,qrc_v6,-9.308666360253133,2.272396795882811e-19,1.0
ELM,qrc_rich,-13.078820999799834,6.927719679090324e-32,1.0
ELM,ESN(F=16),-11.57657801525713,2.4362563964643754e-29,1.0
ELM,ESN(F=24),-12.501702038251333,1.1690543252442751e-29,1.0
ELM,ESN(F=96),-11.207405133630362,1.81975958948347e-23,1.0
ELM+poly2,NG-RC(k3d2),6.733963472137809,9.328743149529836e-22,0.6
ELM+poly2,ESN,-12.149993232579252,2.3145187020091284e-28,1.0
ELM+poly2,ELM,-9.980897152722134,1.0005923414536535e-21,1.0
ELM+poly2,RandomForest,-6.431050017079416,8.354604164615836e-10,1.0
ELM+poly2,qrc_v4,-9.812568812566036,9.75075478538364e-20,1.0
ELM+poly2,qrc_v6,-9.30867108811402,2.272300782808116e-19,1.0
ELM+poly2,qrc_rich,-13.609050762327646,4.658218305877311e-33,1.0
ELM+poly2,ESN(F=16),-11.576684613005543,2.4330365556053e-29,1.0
ELM+poly2,ESN(F=24),-12.501951479611332,1.1680672008335379e-29,1.0
ELM+poly2,ESN(F=96),-11.208678919547378,1.8051132355782468e-23,1.0
RandomForest,NG-RC(k3d2),6.431212201396569,8.34493750292988e-10,1.0
RandomForest,ESN,5.150239542429196,6.171677693584347e-07,1.0
RandomForest,ELM,6.430349201004342,8.385619539932551e-10,1.0
