,NG-RC(best),NG-RC(d1),NG-RC(d2),NG-RC(d3),ESN,ESN+poly2,ELM,ELM+poly2,RandomForest,Linear-Ridge
NG-RC(best),0.0,1.8800116505666523e-20,1.2350653984691755e-19,1.0,2.2749405943219537e-30,6.551104024668833e-13,1.782387193582039e-07,7.714612070817326e-09,7.263189354994831e-19,1.3548041590691813e-22
NG-RC(d1),9.616299862616724,0.0,0.002562398067989982,1.8800116505666523e-20,9.228826413072727e-14,1.521810479622476e-19,1.8690529496566595e-20,1.8621504074757193e-20,0.3400872632045142,5.889854743442176e-08
NG-RC(d2),9.39074059494777,3.028651994201032,0.0,1.2350653984691755e-19,1.3886334139107844e-13,8.129017519738741e-19,1.2256587581471418e-19,1.2219402033546868e-19,0.6112637073626386,6.079161153975503e-06
NG-RC(d3),0.0,-9.616299862616724,-9.39074059494777,0.0,2.2749405943219537e-30,6.551104024668833e-13,1.782387193582039e-07,7.714612070817326e-09,7.263189354994831e-19,1.3548041590691813e-22
ESN,11.094197769064172,-7.840382959230452,-7.795556143382669,11.094197769064172,0.0,1.9118152984787605e-27,2.0648219115581657e-30,2.0333830503720865e-30,5.803227668479181e-14,1.7194584731732327e-17
ESN+poly2,7.823370742523121,-9.349699725985452,-9.154213653217965,7.823370742523121,-10.354600068356607,0.0,4.65623980975384e-13,4.456040622102703e-13,3.735082807039277e-18,6.266940402029112e-22
ELM,-5.267275244516192,-9.616836230665799,-9.391484368860338,-5.267275244516192,-11.113411397086944,-7.869862197899547,0.0,1.1196022954781191e-12,6.957330665988169e-19,1.3679347527695693e-22
ELM+poly2,-5.855193535227926,-9.61741906720843,-9.392016452346299,-5.855193535227926,-11.117307759609107,-7.878772535295987,-6.990275623002073,0.0,6.936925047031608e-19,1.3629074602208838e-22
RandomForest,9.140957178027714,0.970973218631101,0.5306627213356953,9.140957178027714,7.8016404779128505,8.935788346861775,9.14618022064693,9.1466793342833,0.0,0.028113594040730747
Linear-Ridge,10.190415242372527,5.491784998409471,4.564528416941796,10.190415242372527,8.978874361674428,10.002782718251863,10.189286441780574,10.189735359257584,2.143257470050304,0.0
