model_i,model_j,mean_dm,median_p,frac_seeds_sig
NG-RC(best),NG-RC(d1),-9.616299862616724,1.8800116505666523e-20,1.0
NG-RC(best),NG-RC(d2),-9.39074059494777,1.2350653984691755e-19,1.0
NG-RC(best),NG-RC(d3),0.0,1.0,0.0
NG-RC(best),ESN,-11.094197769064172,2.2749405943219537e-30,1.0
NG-RC(best),ESN+poly2,-7.823370742523121,6.551104024668833e-13,1.0
NG-RC(best),ELM,5.267275244516192,1.782387193582039e-07,1.0
NG-RC(best),ELM+poly2,5.855193535227926,7.714612070817326e-09,1.0
NG-RC(best),RandomForest,-9.140957178027714,7.263189354994831e-19,1.0
NG-RC(best),Linear-Ridge,-10.190415242372527,1.3548041590691813e-22,1.0
NG-RC(d1),NG-RC(best),9.616299862616724,1.8800116505666523e-20,1.0
NG-RC(d1),NG-RC(d2),-3.028651994201032,0.002562398067989982,1.0
NG-RC(d1),NG-RC(d3),9.616299862616724,1.8800116505666523e-20,1.0
NG-RC(d1),ESN,7.840382959230452,9.228826413072727e-14,1.0
NG-RC(d1),ESN+poly2,9.349699725985452,1.521810479622476e-19,1.0
NG-RC(d1),ELM,9.616836230665799,1.8690529496566595e-20,1.0
NG-RC(d1),ELM+poly2,9.61741906720843,1.8621504074757193e-20,1.0
NG-RC(d1),RandomForest,-0.970973218631101,0.3400872632045142,0.0
NG-RC(d1),Linear-Ridge,-5.491784998409471,5.889854743442176e-08,1.0
NG-RC(d2),NG-RC(best),9.39074059494777,1.2350653984691755e-19,1.0
NG-RC(d2),NG-RC(d1),3.028651994201032,0.002562398067989982,1.0
NG-RC(d2),NG-RC(d3),9.39074059494777,1.2350653984691755e-19,1.0
NG-RC(d2),ESN,7.795556143382669,1.3886334139107844e-13,1.0
NG-RC(d2),ESN+poly2,9.154213653217965,8.129017519738741e-19,1.0
NG-RC(d2),ELM,9.391484368860338,1.2256587581471418e-19,1.0
NG-RC(d2),ELM+poly2,9.392016452346299,1.2219402033546868e-19,1.0
NG-RC(d2),RandomForest,-0.5306627213356953,0.6112637073626386,0.0
NG-RC(d2),Linear-Ridge,-4.564528416941796,6.079161153975503e-06,1.0
NG-RC(d3),NG-RC(best),0.0,1.0,0.0
NG-RC(d3),NG-RC(d1),-9.616299862616724,1.8800116505666523e-20,1.0
NG-RC(d3),NG-RC(d2),-9.39074059494777,1.2350653984691755e-19,1.0
NG-RC(d3),ESN,-11.094197769064172,2.2749405943219537e-30,1.0
NG-RC(d3),ESN+poly2,-7.823370742523121,6.551104024668833e-13,1.0
NG-RC(d3),ELM,5.267275244516192,1.782387193582039e-07,1.0
NG-RC(d3),ELM+poly2,5.855193535227926,7.714612070817326e-09,1.0
NG-RC(d3),RandomForest,-9.140957178027714,7.263189354994831e-19,1.0
NG-RC(d3),Linear-Ridge,-10.190415242372527,1.3548041590691813e-22,1.0
ESN,NG-RC(best),11.094197769064172,2.2749405943219537e-30,1.0
ESN,NG-RC(d1),-7.840382959230452,9.228826413072727e-14,1.0
ESN,NG-RC(d2),-7.795556143382669,1.3886334139107844e-13,1.0
ESN,NG-RC(d3),11.094197769064172,2.2749405943219537e-30,1.0
ESN,ESN+poly2,10.354600068356607,1.9118152984787605e-27,1.0
ESN,ELM,11.113411397086944,2.0648219115581657e-30,1.0
ESN,ELM+poly2,11.117307759609107,2.0333830503720865e-30,1.0
ESN,RandomForest,-7.8016404779128505,5.803227668479181e-14,1.0
ESN,Linear-Ridge,-8.978874361674428,1.7194584731732327e-17,1.0
ESN+poly2,NG-RC(best),7.823370742523121,6.551104024668833e-13,1.0
ESN+poly2,NG-RC(d1),-9.349699725985452,1.521810479622476e-19,1.0
ESN+poly2,NG-RC(d2),-9.154213653217965,8.129017519738741e-19,1.0
ESN+poly2,NG-RC(d3),7.823370742523121,6.551104024668833e-13,1.0
ESN+poly2,ESN,-10.354600068356607,1.9118152984787605e-27,1.0
ESN+poly2,ELM,7.869862197899547,4.65623980975384e-13,1.0
ESN+poly2,ELM+poly2,7.878772535295987,4.456040622102703e-13,1.0
ESN+poly2,RandomForest,-8.935788346861775,3.735082807039277e-18,1.0
ESN+poly2,Linear-Ridge,-10.002782718251863,6.266940402029112e-22,1.0
ELM,NG-RC(best),-5.267275244516192,1.782387193582039e-07,1.0
ELM,NG-RC(d1),-9.616836230665799,1.8690529496566595e-20,1.0
ELM,NG-RC(d2),-9.391484368860338,1.2256587581471418e-19,1.0
ELM,NG-RC(d3),-5.267275244516192,1.782387193582039e-07,1.0
ELM,ESN,-11.113411397086944,2.0648219115581657e-30,1.0
ELM,ESN+poly2,-7.869862197899547,4.65623980975384e-13,1.0
ELM,ELM+poly2,6.990275623002073,1.1196022954781191e-12,1.0
ELM,RandomForest,-9.14618022064693,6.957330665988169e-19,1.0
ELM,Linear-Ridge,-10.189286441780574,1.3679347527695693e-22,1.0
ELM+poly2,NG-RC(best),-5.855193535227926,7.714612070817326e-09,1.0
ELM+poly2,NG-RC(d1),-9.61741906720843,1.8621504074757193e-20,1.0
ELM+poly2,NG-RC(d2),-9.392016452346299,1.2219402033546868e-19,1.0
ELM+poly2,NG-RC(d3),-5.855193535227926,7.714612070817326e-09,1.0
ELM+poly2,ESN,-11.117307759609107,2.0333830503720865e-30,1.0
ELM+poly2,ESN+poly2,-7.878772535295987,4.456040622102703e-13,1.0
ELM+poly2,ELM,-6.990275623002073,1.1196022954781191e-12,1.0
ELM+poly2,RandomForest,-9.1466793342833,6.936925047031608e-19,1.0
ELM+poly2,Linear-Ridge,-10.189735359257584,1.3629074602208838e-22,1.0
RandomForest,NG-RC(best),9.140957178027714,7.263189354994831e-19,1.0
RandomForest,NG-RC(d1),0.970973218631101,0.3400872632045142,0.0
RandomForest,NG-RC(d2),0.5306627213356953,0.6112637073626386,0.0
RandomForest,NG-RC(d3),9.140957178027714,7.263189354994831e-19,1.0
RandomForest,ESN,7.8016404779128505,5.803227668479181e-14,1.0
RandomForest,ESN+poly2,8.935788346861775,3.735082807039277e-18,1.0
RandomForest,ELM,9.14618022064693,6.957330665988169e-19,1.0
RandomForest,ELM+poly2,9.1466793342833,6.936925047031608e-19,1.0
RandomForest,Linear-Ridge,-2.143257470050304,0.028113594040730747,1.0
Linear-Ridge,NG-RC(best),10.190415242372527,1.3548041590691813e-22,1.0
Linear-Ridge,NG-RC(d1),5.491784998409471,5.889854743442176e-08,1.0
Linear-Ridge,NG-RC(d2),4.564528416941796,6.079161153975503e-06,1.0
Linear-Ridge,NG-RC(d3),10.190415242372527,1.3548041590691813e-22,1.0
Linear-Ridge,ESN,8.978874361674428,1.7194584731732327e-17,1.0
Linear-Ridge,ESN+poly2,10.002782718251863,6.266940402029112e-22,1.0
Linear-Ridge,ELM,10.189286441780574,1.3679347527695693e-22,1.0
Linear-Ridge,ELM+poly2,10.189735359257584,1.3629074602208838e-22,1.0
Linear-Ridge,RandomForest,2.143257470050304,0.028113594040730747,1.0
