model_i,model_j,mean_dm,median_p,frac_seeds_sig
NG-RC(k8d3),ESN,-12.760875982161547,3.165519800613557e-28,1.0
NG-RC(k8d3),ELM,5.991345828713763,9.824412342311056e-09,1.0
NG-RC(k8d3),ELM+poly2,6.950671996141,1.922333995601047e-11,1.0
NG-RC(k8d3),RandomForest,-10.054891313942523,1.2408532961419454e-20,1.0
NG-RC(k8d3),qrc_v4,-8.235274260901363,5.055643382065759e-13,1.0
NG-RC(k8d3),ESN(F=16),-12.152129287106126,3.63675982894521e-28,1.0
NG-RC(k8d3),qrc_v6,-8.488732208494756,8.334986564973128e-16,1.0
NG-RC(k8d3),ESN(F=24),-12.202247748660344,7.954058363000365e-27,1.0
NG-RC(k8d3),qrc_rich,-9.516100033029268,3.143182334074187e-18,1.0
NG-RC(k8d3),ESN(F=96),-12.683597328980676,5.580174498661314e-30,1.0
ESN,NG-RC(k8d3),12.760875982161547,3.165519800613557e-28,1.0
ESN,ELM,12.774856945600039,2.596125472464806e-28,1.0
ESN,ELM+poly2,12.77711104159815,2.550888093310063e-28,1.0
ESN,RandomForest,-2.364855418704905,0.048969418201650586,0.6
ESN,qrc_v4,-6.060226548212116,5.0563031275672354e-09,1.0
ESN,ESN(F=16),-11.884453498538388,1.8988531889557557e-27,1.0
ESN,qrc_v6,-6.515086023906913,2.1401620804557074e-11,1.0
ESN,ESN(F=24),-11.130626536656447,7.613123689051899e-24,1.0
ESN,qrc_rich,12.2114371822608,4.727063031487551e-27,1.0
ESN,ESN(F=96),-10.027643535830363,1.8196337262351046e-18,1.0
ELM,NG-RC(k8d3),-5.991345828713763,9.824412342311056e-09,1.0
ELM,ESN,-12.774856945600039,2.596125472464806e-28,1.0
ELM,ELM+poly2,10.527086294056996,2.422920651899775e-21,1.0
ELM,RandomForest,-10.059150049517093,1.2018170705060419e-20,1.0
ELM,qrc_v4,-8.237161054933583,5.005061019539109e-13,1.0
ELM,ESN(F=16),-12.152343875673346,3.630953321266651e-28,1.0
ELM,qrc_v6,-8.489875660377084,8.279230605739098e-16,1.0
ELM,ESN(F=24),-12.202834114042911,7.909465663906871e-27,1.0
ELM,qrc_rich,-9.697424859557987,7.843052328039964e-19,1.0
ELM,ESN(F=96),-12.686197278470829,5.3858173233476555e-30,1.0
ELM+poly2,NG-RC(k8d3),-6.950671996141,1.922333995601047e-11,1.0
ELM+poly2,ESN,-12.77711104159815,2.550888093310063e-28,1.0
ELM+poly2,ELM,-10.527086294056996,2.422920651899775e-21,1.0
ELM+poly2,RandomForest,-10.060269798402544,1.1921170171320783e-20,1.0
ELM+poly2,qrc_v4,-8.237521289339755,4.99890551882732e-13,1.0
ELM+poly2,ESN(F=16),-12.152401723894165,3.629871601990123e-28,1.0
ELM+poly2,qrc_v6,-8.490218859339485,8.255457985725509e-16,1.0
ELM+poly2,ESN(F=24),-12.202993972188583,7.891178594676326e-27,1.0
ELM+poly2,qrc_rich,-9.744510686132983,4.828640420489306e-19,1.0
ELM+poly2,ESN(F=96),-12.686598763678706,5.363050381712027e-30,1.0
RandomForest,NG-RC(k8d3),10.054891313942523,1.2408532961419454e-20,1.0
RandomForest,ESN,2.364855418704905,0.048969418201650586,0.6
RandomForest,ELM,10.059150049517093,1.2018170705060419e-20,1.0
RandomForest,ELM+poly2,10.060269798402544,1.1921170171320783e-20,1.0
RandomForest,qrc_v4,-5.148749837750402,4.7600460509927793e-07,1.0
RandomForest,ESN(F=16),-11.674253883622384,8.768704913466502e-27,1.0
RandomForest,qrc_v6,-5.77038311781954,3.4016866609338896e-08,1.0
RandomForest,ESN(F=24),-11.01888864803359,2.4454604404048746e-23,1.0
RandomForest,qrc_rich,9.85667797673387,6.498535413817369e-20,1.0
RandomForest,ESN(F=96),-9.018773733956284,9.833564352694639e-17,1.0
qrc_v4,NG-RC(k8d3),8.235274260901363,5.055643382065759e-13,1.0
qrc_v4,ESN,6.060226548212116,5.0563031275672354e-09,1.0
qrc_v4,ELM,8.237161054933583,5.005061019539109e-13,1.0
qrc_v4,ELM+poly2,8.237521289339755,4.99890551882732e-13,1.0
qrc_v4,RandomForest,5.148749837750402,4.7600460509927793e-07,1.0
qrc_v4,ESN(F=16),-11.421144460322433,3.1923926795433556e-26,1.0
