,NG-RC(best),NG-RC(d1),NG-RC(d2),NG-RC(d3),ESN,ESN+poly2,ELM,ELM+poly2,RandomForest,Linear-Ridge
NG-RC(best),0.0,1.828555302906432e-33,4.677276245546809e-14,1.0,2.4443490538889015e-43,3.2203999699266754e-28,9.63008331883013e-08,5.401590614491287e-05,8.553967833281947e-54,1.4465027700933644e-43
NG-RC(d1),12.831598906179062,0.0,1.6657339141811295e-28,1.828555302906432e-33,1.4166001156398874e-38,5.22926210422848e-20,4.913340908114249e-08,4.78822451259623e-13,1.622154183767005e-53,4.033075667406707e-27
NG-RC(d2),7.72683549496958,-11.672797030650367,0.0,4.677276245546809e-14,1.492853626473493e-42,7.490958297217978e-27,0.04324044956801757,0.7384373652286852,1.0174855047084592e-53,3.2683259681413262e-43
NG-RC(d3),0.0,-12.831598906179062,-7.72683549496958,0.0,2.4443490538889015e-43,3.2203999699266754e-28,9.63008331883013e-08,5.401590614491287e-05,8.553967833281947e-54,1.4465027700933644e-43
ESN,14.819963115629728,13.62649044924317,14.640866700816668,14.819963115629728,0.0,1.9371422134265405e-32,7.527013338021745e-43,2.6733705454776123e-43,8.915722143552706e-51,1.2079501323154967e-29
ESN+poly2,12.175076885429084,9.864990256829557,11.805707068160288,12.175076885429084,-12.849005091098155,0.0,7.606311466762866e-27,8.764796930503185e-28,3.505074652337473e-52,9.86346746627647e-12
ELM,5.385414767045482,-5.433847820142726,2.1443213661105625,5.385414767045482,-14.681523898223496,-11.71506664631377,0.0,1.0518489017192102e-13,1.1713876596017572e-53,2.703610673753784e-34
ELM+poly2,4.0988431912668295,-7.460240690806239,-0.002037255915156929,4.0988431912668295,-14.77869581078068,-11.97464909784018,-7.792016618434826,0.0,1.0557101628130105e-53,3.9320696959097493e-38
RandomForest,17.07331250065174,17.01684890971538,17.057963344701676,17.07331250065174,16.501465511499546,16.776182805500344,17.04790095117266,17.0564531367487,0.0,3.2596513137405947e-53
Linear-Ridge,15.034036262899752,11.33696837615341,14.959567788036253,15.034036262899752,-12.097761257140505,-7.048397107076714,12.985543718831417,13.928196522660096,-16.95514358280812,0.0
