model_i,model_j,mean_dm,median_p,frac_seeds_sig
NG-RC(best),NG-RC(d1),-12.831598906179062,1.828555302906432e-33,1.0
NG-RC(best),NG-RC(d2),-7.72683549496958,4.677276245546809e-14,1.0
NG-RC(best),NG-RC(d3),0.0,1.0,0.0
NG-RC(best),ESN,-14.819963115629728,2.4443490538889015e-43,1.0
NG-RC(best),ESN+poly2,-12.175076885429084,3.2203999699266754e-28,1.0
NG-RC(best),ELM,-5.385414767045482,9.63008331883013e-08,1.0
NG-RC(best),ELM+poly2,-4.0988431912668295,5.401590614491287e-05,1.0
NG-RC(best),RandomForest,-17.07331250065174,8.553967833281947e-54,1.0
NG-RC(best),Linear-Ridge,-15.034036262899752,1.4465027700933644e-43,1.0
NG-RC(d1),NG-RC(best),12.831598906179062,1.828555302906432e-33,1.0
NG-RC(d1),NG-RC(d2),11.672797030650367,1.6657339141811295e-28,1.0
NG-RC(d1),NG-RC(d3),12.831598906179062,1.828555302906432e-33,1.0
NG-RC(d1),ESN,-13.62649044924317,1.4166001156398874e-38,1.0
NG-RC(d1),ESN+poly2,-9.864990256829557,5.22926210422848e-20,1.0
NG-RC(d1),ELM,5.433847820142726,4.913340908114249e-08,1.0
NG-RC(d1),ELM+poly2,7.460240690806239,4.78822451259623e-13,1.0
NG-RC(d1),RandomForest,-17.01684890971538,1.622154183767005e-53,1.0
NG-RC(d1),Linear-Ridge,-11.33696837615341,4.033075667406707e-27,1.0
NG-RC(d2),NG-RC(best),7.72683549496958,4.677276245546809e-14,1.0
NG-RC(d2),NG-RC(d1),-11.672797030650367,1.6657339141811295e-28,1.0
NG-RC(d2),NG-RC(d3),7.72683549496958,4.677276245546809e-14,1.0
NG-RC(d2),ESN,-14.640866700816668,1.492853626473493e-42,1.0
NG-RC(d2),ESN+poly2,-11.805707068160288,7.490958297217978e-27,1.0
NG-RC(d2),ELM,-2.1443213661105625,0.04324044956801757,1.0
NG-RC(d2),ELM+poly2,0.002037255915156929,0.7384373652286852,0.0
NG-RC(d2),RandomForest,-17.057963344701676,1.0174855047084592e-53,1.0
NG-RC(d2),Linear-Ridge,-14.959567788036253,3.2683259681413262e-43,1.0
NG-RC(d3),NG-RC(best),0.0,1.0,0.0
NG-RC(d3),NG-RC(d1),-12.831598906179062,1.828555302906432e-33,1.0
NG-RC(d3),NG-RC(d2),-7.72683549496958,4.677276245546809e-14,1.0
NG-RC(d3),ESN,-14.819963115629728,2.4443490538889015e-43,1.0
NG-RC(d3),ESN+poly2,-12.175076885429084,3.2203999699266754e-28,1.0
NG-RC(d3),ELM,-5.385414767045482,9.63008331883013e-08,1.0
NG-RC(d3),ELM+poly2,-4.0988431912668295,5.401590614491287e-05,1.0
NG-RC(d3),RandomForest,-17.07331250065174,8.553967833281947e-54,1.0
NG-RC(d3),Linear-Ridge,-15.034036262899752,1.4465027700933644e-43,1.0
ESN,NG-RC(best),14.819963115629728,2.4443490538889015e-43,1.0
ESN,NG-RC(d1),13.62649044924317,1.4166001156398874e-38,1.0
ESN,NG-RC(d2),14.640866700816668,1.492853626473493e-42,1.0
ESN,NG-RC(d3),14.819963115629728,2.4443490538889015e-43,1.0
ESN,ESN+poly2,12.849005091098155,1.9371422134265405e-32,1.0
ESN,ELM,14.681523898223496,7.527013338021745e-43,1.0
ESN,ELM+poly2,14.77869581078068,2.6733705454776123e-43,1.0
ESN,RandomForest,-16.501465511499546,8.915722143552706e-51,1.0
ESN,Linear-Ridge,12.097761257140505,1.2079501323154967e-29,1.0
ESN+poly2,NG-RC(best),12.175076885429084,3.2203999699266754e-28,1.0
ESN+poly2,NG-RC(d1),9.864990256829557,5.22926210422848e-20,1.0
ESN+poly2,NG-RC(d2),11.805707068160288,7.490958297217978e-27,1.0
ESN+poly2,NG-RC(d3),12.175076885429084,3.2203999699266754e-28,1.0
ESN+poly2,ESN,-12.849005091098155,1.9371422134265405e-32,1.0
ESN+poly2,ELM,11.71506664631377,7.606311466762866e-27,1.0
ESN+poly2,ELM+poly2,11.97464909784018,8.764796930503185e-28,1.0
ESN+poly2,RandomForest,-16.776182805500344,3.505074652337473e-52,1.0
ESN+poly2,Linear-Ridge,7.048397107076714,9.86346746627647e-12,1.0
ELM,NG-RC(best),5.385414767045482,9.63008331883013e-08,1.0
ELM,NG-RC(d1),-5.433847820142726,4.913340908114249e-08,1.0
ELM,NG-RC(d2),2.1443213661105625,0.04324044956801757,1.0
ELM,NG-RC(d3),5.385414767045482,9.63008331883013e-08,1.0
ELM,ESN,-14.681523898223496,7.527013338021745e-43,1.0
ELM,ESN+poly2,-11.71506664631377,7.606311466762866e-27,1.0
ELM,ELM+poly2,7.792016618434826,1.0518489017192102e-13,1.0
ELM,RandomForest,-17.04790095117266,1.1713876596017572e-53,1.0
ELM,Linear-Ridge,-12.985543718831417,2.703610673753784e-34,1.0
ELM+poly2,NG-RC(best),4.0988431912668295,5.401590614491287e-05,1.0
ELM+poly2,NG-RC(d1),-7.460240690806239,4.78822451259623e-13,1.0
ELM+poly2,NG-RC(d2),-0.002037255915156929,0.7384373652286852,0.0
ELM+poly2,NG-RC(d3),4.0988431912668295,5.401590614491287e-05,1.0
ELM+poly2,ESN,-14.77869581078068,2.6733705454776123e-43,1.0
ELM+poly2,ESN+poly2,-11.97464909784018,8.764796930503185e-28,1.0
ELM+poly2,ELM,-7.792016618434826,1.0518489017192102e-13,1.0
ELM+poly2,RandomForest,-17.0564531367487,1.0557101628130105e-53,1.0
ELM+poly2,Linear-Ridge,-13.928196522660096,3.9320696959097493e-38,1.0
RandomForest,NG-RC(best),17.07331250065174,8.553967833281947e-54,1.0
RandomForest,NG-RC(d1),17.01684890971538,1.622154183767005e-53,1.0
RandomForest,NG-RC(d2),17.057963344701676,1.0174855047084592e-53,1.0
RandomForest,NG-RC(d3),17.07331250065174,8.553967833281947e-54,1.0
RandomForest,ESN,16.501465511499546,8.915722143552706e-51,1.0
RandomForest,ESN+poly2,16.776182805500344,3.505074652337473e-52,1.0
