model_i,model_j,mean_dm,median_p,frac_seeds_sig
NG-RC(k8d3),ESN,-11.509960333104388,1.0406361949223324e-26,1.0
NG-RC(k8d3),ELM,-3.2766455931739658,0.0010016828004832691,1.0
NG-RC(k8d3),ELM+poly2,-1.9717467718507151,0.05140838616194982,0.4
NG-RC(k8d3),RandomForest,-11.591153752583368,1.1962672350076881e-25,1.0
NG-RC(k8d3),qrc_v4,-12.120103579697274,5.113399059850847e-26,1.0
NG-RC(k8d3),ESN(F=16),-14.58071676916012,1.4399146215142932e-36,1.0
NG-RC(k8d3),qrc_v6,-8.08134791856563,1.3734524822803304e-14,1.0
NG-RC(k8d3),ESN(F=24),-14.160368664332418,1.41130547409946e-34,1.0
NG-RC(k8d3),qrc_rich,-11.304536941037592,1.273846235782272e-25,1.0
NG-RC(k8d3),ESN(F=96),-13.647025270999398,3.3723070559515233e-34,1.0
ESN,NG-RC(k8d3),11.509960333104388,1.0406361949223324e-26,1.0
ESN,ELM,11.501874851481649,1.3880540568504854e-26,1.0
ESN,ELM+poly2,11.580676384172179,6.471641719479285e-27,1.0
ESN,RandomForest,-11.435265008364166,4.692127685478307e-25,1.0
ESN,qrc_v4,-11.517809929501928,1.0314344473045191e-23,1.0
ESN,ESN(F=16),-14.0166906339952,2.8609985877667068e-36,1.0
ESN,qrc_v6,-8.008214202637507,2.3311336213646126e-14,1.0
ESN,ESN(F=24),-13.252175601316328,4.5887115985512276e-32,1.0
ESN,qrc_rich,6.467440358612434,1.3679689908452484e-10,1.0
ESN,ESN(F=96),-9.744011339166855,6.584865795541486e-22,1.0
ELM,NG-RC(k8d3),3.2766455931739658,0.0010016828004832691,1.0
ELM,ESN,-11.501874851481649,1.3880540568504854e-26,1.0
ELM,ELM+poly2,5.545267830315436,2.9446336432296188e-08,1.0
ELM,RandomForest,-11.590280730530932,1.2040361963827363e-25,1.0
ELM,qrc_v4,-12.10198590743908,5.939882824964108e-26,1.0
ELM,ESN(F=16),-14.561714571656314,1.48075075976198e-36,1.0
ELM,qrc_v6,-8.07904062160658,1.3951103233266514e-14,1.0
ELM,ESN(F=24),-14.123743517025087,1.662811612198106e-34,1.0
ELM,qrc_rich,-11.412396376323724,6.382635877493759e-26,1.0
ELM,ESN(F=96),-13.629296989219943,4.629342129074318e-34,1.0
ELM+poly2,NG-RC(k8d3),1.9717467718507151,0.05140838616194982,0.4
ELM+poly2,ESN,-11.580676384172179,6.471641719479285e-27,1.0
ELM+poly2,ELM,-5.545267830315436,2.9446336432296188e-08,1.0
ELM+poly2,RandomForest,-11.591415832127023,1.1961501536221096e-25,1.0
ELM+poly2,qrc_v4,-12.108323198770755,5.575588620081146e-26,1.0
ELM+poly2,ESN(F=16),-14.570391876212653,1.4650761995876067e-36,1.0
ELM+poly2,qrc_v6,-8.079938440984987,1.386639639508541e-14,1.0
ELM+poly2,ESN(F=24),-14.14259367565101,1.577431809962437e-34,1.0
ELM+poly2,qrc_rich,-11.61180388350538,8.435698286257127e-27,1.0
ELM+poly2,ESN(F=96),-13.66815091965714,3.337331363359528e-34,1.0
RandomForest,NG-RC(k8d3),11.591153752583368,1.1962672350076881e-25,1.0
RandomForest,ESN,11.435265008364166,4.692127685478307e-25,1.0
RandomForest,ELM,11.590280730530932,1.2040361963827363e-25,1.0
RandomForest,ELM+poly2,11.591415832127023,1.1961501536221096e-25,1.0
RandomForest,qrc_v4,6.042996083541327,4.2424279292785635e-13,0.8
RandomForest,ESN(F=16),4.870640350550642,9.1726832637735e-13,1.0
RandomForest,qrc_v6,-3.3689133183693953,0.0008567000725638519,1.0
RandomForest,ESN(F=24),9.71809444182475,4.679663831988969e-20,1.0
RandomForest,qrc_rich,11.540156052795936,1.8066059990851597e-25,1.0
RandomForest,ESN(F=96),11.263717198975607,1.3099559529311473e-24,1.0
qrc_v4,NG-RC(k8d3),12.120103579697274,5.113399059850847e-26,1.0
qrc_v4,ESN,11.517809929501928,1.0314344473045191e-23,1.0
qrc_v4,ELM,12.10198590743908,5.939882824964108e-26,1.0
qrc_v4,ELM+poly2,12.108323198770755,5.575588620081146e-26,1.0
qrc_v4,RandomForest,-6.042996083541327,4.2424279292785635e-13,0.8
qrc_v4,ESN(F=16),-1.1068561115987143,4.139120470010316e-11,0.8
qrc_v4,qrc_v6,-6.429502684304031,8.655174905374268e-11,1.0
qrc_v4,ESN(F=24),6.02737506671823,1.8003442245131223e-10,1.0
qrc_v4,qrc_rich,11.91819417404103,2.7502653940202e-25,1.0
qrc_v4,ESN(F=96),10.84765125834311,3.0266922152225017e-22,1.0
ESN(F=16),NG-RC(k8d3),14.58071676916012,1.4399146215142932e-36,1.0
ESN(F=16),ESN,14.0166906339952,2.8609985877667068e-36,1.0
ESN(F=16),ELM,14.561714571656314,1.48075075976198e-36,1.0
ESN(F=16),ELM+poly2,14.570391876212653,1.4650761995876067e-36,1.0
ESN(F=16),RandomForest,-4.870640350550642,9.1726832637735e-13,1.0
ESN(F=16),qrc_v4,1.1068561115987143,4.139120470010316e-11,0.8
ESN(F=16),qrc_v6,-5.073453258608147,5.068519965000777e-10,0.8
ESN(F=16),ESN(F=24),6.484678554926861,2.9883101021511535e-14,0.6
ESN(F=16),qrc_rich,14.266998349806716,2.204476591504084e-36,1.0
ESN(F=16),ESN(F=96),13.261764153942348,3.864711702138938e-33,1.0
qrc_v6,NG-RC(k8d3),8.08134791856563,1.3734524822803304e-14,1.0
qrc_v6,ESN,8.008214202637507,2.3311336213646126e-14,1.0
qrc_v6,ELM,8.07904062160658,1.3951103233266514e-14,1.0
qrc_v6,ELM+poly2,8.079938440984987,1.386639639508541e-14,1.0
qrc_v6,RandomForest,3.3689133183693953,0.0008567000725638519,1.0
qrc_v6,qrc_v4,6.429502684304031,8.655174905374268e-11,1.0
qrc_v6,ESN(F=16),5.073453258608147,5.068519965000777e-10,0.8
qrc_v6,ESN(F=24),7.316018600423405,1.7606512980329194e-12,1.0
qrc_v6,qrc_rich,8.053300989230545,1.6830618346771543e-14,1.0
qrc_v6,ESN(F=96),7.936048619439694,4.459709157933243e-14,1.0
ESN(F=24),NG-RC(k8d3),14.160368664332418,1.41130547409946e-34,1.0
ESN(F=24),ESN,13.252175601316328,4.5887115985512276e-32,1.0
ESN(F=24),ELM,14.123743517025087,1.662811612198106e-34,1.0
ESN(F=24),ELM+poly2,14.14259367565101,1.577431809962437e-34,1.0
ESN(F=24),RandomForest,-9.71809444182475,4.679663831988969e-20,1.0
ESN(F=24),qrc_v4,-6.02737506671823,1.8003442245131223e-10,1.0
ESN(F=24),ESN(F=16),-6.484678554926861,2.9883101021511535e-14,0.6
ESN(F=24),qrc_v6,-7.316018600423405,1.7606512980329194e-12,1.0
ESN(F=24),qrc_rich,13.573672440083735,1.9213773028214122e-33,1.0
ESN(F=24),ESN(F=96),11.94939960057917,5.573576421218929e-27,1.0
qrc_rich,NG-RC(k8d3),11.304536941037592,1.273846235782272e-25,1.0
qrc_rich,ESN,-6.467440358612434,1.3679689908452484e-10,1.0
qrc_rich,ELM,11.412396376323724,6.382635877493759e-26,1.0
qrc_rich,ELM+poly2,11.61180388350538,8.435698286257127e-27,1.0
qrc_rich,RandomForest,-11.540156052795936,1.8066059990851597e-25,1.0
qrc_rich,qrc_v4,-11.91819417404103,2.7502653940202e-25,1.0
qrc_rich,ESN(F=16),-14.266998349806716,2.204476591504084e-36,1.0
qrc_rich,qrc_v6,-8.053300989230545,1.6830618346771543e-14,1.0
qrc_rich,ESN(F=24),-13.573672440083735,1.9213773028214122e-33,1.0
qrc_rich,ESN(F=96),-10.545332750386525,3.491038440318277e-23,1.0
ESN(F=96),NG-RC(k8d3),13.647025270999398,3.3723070559515233e-34,1.0
ESN(F=96),ESN,9.744011339166855,6.584865795541486e-22,1.0
ESN(F=96),ELM,13.629296989219943,4.629342129074318e-34,1.0
ESN(F=96),ELM+poly2,13.66815091965714,3.337331363359528e-34,1.0
ESN(F=96),RandomForest,-11.263717198975607,1.3099559529311473e-24,1.0
ESN(F=96),qrc_v4,-10.84765125834311,3.0266922152225017e-22,1.0
ESN(F=96),ESN(F=16),-13.261764153942348,3.864711702138938e-33,1.0
ESN(F=96),qrc_v6,-7.936048619439694,4.459709157933243e-14,1.0
ESN(F=96),ESN(F=24),-11.94939960057917,5.573576421218929e-27,1.0
ESN(F=96),qrc_rich,10.545332750386525,3.491038440318277e-23,1.0
