t,tx,ty,tz,px,py,pz
0,0.16632351671079915,0.05793695974570162,0.3005798386615298,0.16719971429754804,0.06555046187283331,0.2956390753344986
1,0.049784625140461614,0.0017324103744385533,0.5823459713575887,0.05360445933506436,0.0035167777887572527,0.5698649024215383
2,0.001370958792772936,0.13864347133826765,0.8733153517651842,0.001999307268027474,0.132301862221043,0.8665669349467084
3,0.08551390094729339,0.38625348562497797,0.9330413668807251,0.08285555279814612,0.38288413551673206,0.929006572914522
4,0.24344961991167963,0.5336758225036661,0.8064574914703442,0.24160875438808505,0.5382583081421521,0.8037955050732909
5,0.38222630966067217,0.5709803601319163,0.6657915652749657,0.38392912875065166,0.5740670736916864,0.6583320528554061
6,0.4725265917504155,0.5697542742045688,0.5594324330711136,0.47455697871757735,0.5680141185775187,0.553827300923188
7,0.5254704667970491,0.5674058757431802,0.479424961652919,0.5257118133673765,0.5655784266054933,0.48036429085372023
8,0.5590131121277306,0.5751525278756203,0.41737632416251164,0.5585287640493595,0.5741247904579136,0.4214892696866468
9,0.5869839101847718,0.5955880637312543,0.37122804292216555,0.5863350890106724,0.5943028799561967,0.3754692583515591
10,0.6185297705216263,0.6296631854423904,0.3436236992824283,0.6173865515365219,0.6274323499486512,0.3469536948377179
11,0.6595045486066801,0.6774122665625057,0.34179844528136544,0.6573697176606633,0.6737886897837153,0.34391158610211225
12,0.712429122806144,0.7342723975118373,0.37778655473078665,0.7088881385021866,0.7291097095086372,0.3779148852958296
13,0.7733297755750043,0.7834559456651378,0.46327051990145246,0.7683691087875612,0.7778975412495888,0.45985246000980173
14,0.8262625720939465,0.7924277265187528,0.5901112321328925,0.8209941603246299,0.789445748950966,0.5826404733578032
15,0.8448065102262082,0.7364056227899731,0.7075873030169861,0.8415011795873645,0.7382542419468734,0.6989346407148399
16,0.8129256507793877,0.6403190234805075,0.7519467251157137,0.8132195804133302,0.6460845744138568,0.7463930782899615
17,0.7455455953190475,0.5601321016568791,0.7160635155295387,0.7490758509687588,0.5665070632823823,0.7155045028684964
18,0.6740882254758579,0.5207638406800388,0.6409717719984911,0.6790391397276446,0.5248116092547797,0.6439273104025662
19,0.6196455330219659,0.51249799349952,0.560084672431225,0.6241893313160881,0.5143213877769672,0.5648250236688075
20,0.5873574476576816,0.5202461325337582,0.48596682722783596,0.5907881116904738,0.5209824983671749,0.4916016285933882
21,0.5743202331823668,0.5360718854598011,0.4216332337258722,0.576730703755908,0.53648120621355,0.4274967068527171
22,0.5765575287883622,0.5584469982773111,0.36830031530052026,0.5782622703120209,0.5589167487904669,0.3737740282200708
23,0.5919602246201752,0.5893421839272104,0.3282205399194285,0.5932720030023751,0.5900477357152456,0.3328046413177499
24,0.6207530718558334,0.6320790973555849,0.30638058641198873,0.6219348745691293,0.6331345958797123,0.3096938417991313
25,0.6646381649989985,0.6888114231972493,0.3126079847699632,0.6659418662074773,0.6905289768118215,0.31429710354505325
26,0.7241952806024619,0.7548481066571706,0.3627960709182736,0.7260245413908905,0.7580948227948117,0.36266881822548647
27,0.7928732959546378,0.8081226677260974,0.47173579168867213,0.7959888709319866,0.8140972621044649,0.47082815671474054
28,0.8487768697068452,0.8061098994253502,0.6246131291202117,0.8538474554133857,0.8135124998005607,0.626095179293366
29,0.8586512679738343,0.7245754016519504,0.749637110968445,0.864467860114437,0.7277439939593666,0.7540523089932625
30,0.8089853674938884,0.6096948129260307,0.7754613800955747,0.8126642761381822,0.6078958657385638,0.778749967814967
31,0.7262507099734785,0.5289016682732457,0.7160365934879469,0.7269834761446765,0.5258465610250902,0.7169847769473136
32,0.6479865793968748,0.496790262609083,0.627126029056944,0.6468398378211063,0.49398715342572563,0.6265230891026341
33,0.5929545232761431,0.49404414393067153,0.5402775305325993,0.5909528082699574,0.49203882524947384,0.5392143506527218
34,0.5621240996885848,0.5035411431349676,0.46335812760337897,0.5599602735629591,0.5019806711171719,0.46203973639558593
35,0.5500118535052242,0.5182006342415567,0.39682634353348917,0.5478768639205774,0.5167099963275497,0.39470076250614117
36,0.5516034899111499,0.5374322401433093,0.34053345387719497,0.5494356073883117,0.5359014517368943,0.336874049376809
37,0.5645506735150715,0.563822913536599,0.29543141079993557,0.5622824798089299,0.5622193993795577,0.2896759756624423
38,0.5892945424988606,0.6015880748403216,0.2647023599809222,0.5869105476653012,0.5999247574220539,0.2565294178602586
39,0.6285239148196562,0.6554159764369704,0.25589823954525,0.6261188260793213,0.6540402889529211,0.24512024840395785
40,0.6857468106532829,0.7270259639365759,0.28428195718698923,0.6837849549220298,0.7272537932284504,0.270889959430463
41,0.7608958300559525,0.8049200773211794,0.37345962161080876,0.760739586944369,0.809721923673515,0.3589167487932534
