t,tx,ty,tz,px,py,pz
0,0.16632351671079915,0.05793695974570162,0.3005798386615298,0.1663044531064921,0.057702475710087825,0.30014536749791454
1,0.049784625140461614,0.0017324103744385533,0.5823459713575887,0.04973934078124767,0.0014709073417775442,0.5826381676436541
2,0.001370958792772936,0.13864347133826765,0.8733153517651842,0.0012374526919924078,0.1388593938791757,0.87327600220127
3,0.08551390094729339,0.38625348562497797,0.9330413668807251,0.08553275591101335,0.3863970999352814,0.9335522567167247
4,0.24344961991167963,0.5336758225036661,0.8064574914703442,0.24350918765778223,0.5335514321570141,0.8061784659721576
5,0.38222630966067217,0.5709803601319163,0.6657915652749657,0.3823882661022337,0.5715737939006146,0.6657046242605251
6,0.4725265917504155,0.5697542742045688,0.5594324330711136,0.47269895234059034,0.5695375045519093,0.5598184034698561
7,0.5254704667970491,0.5674058757431802,0.479424961652919,0.5255239494090933,0.5675341936788261,0.47905973866742546
8,0.5590131121277306,0.5751525278756203,0.41737632416251164,0.5592150725880976,0.575354061319836,0.41770578060751123
9,0.5869839101847718,0.5955880637312543,0.37122804292216555,0.5870868255023045,0.5955921356831764,0.37134981970524794
10,0.6185297705216263,0.6296631854423904,0.3436236992824283,0.6186466835084622,0.6298559693831473,0.34375805902293854
11,0.6595045486066801,0.6774122665625057,0.34179844528136544,0.6596994298631146,0.6775812200663603,0.34207956297298964
12,0.712429122806144,0.7342723975118373,0.37778655473078665,0.7126042078126685,0.7344652066997616,0.3781265917801676
13,0.7733297755750043,0.7834559456651378,0.46327051990145246,0.7735210082534026,0.7836247744005856,0.463885021362638
14,0.8262625720939465,0.7924277265187528,0.5901112321328925,0.8263173616326565,0.7921110767103712,0.5909820261033404
15,0.8448065102262082,0.7364056227899731,0.7075873030169861,0.8444964965407709,0.7355957302829431,0.7076948195540504
16,0.8129256507793877,0.6403190234805075,0.7519467251157137,0.8125161482777041,0.6401889222430943,0.7511571653413294
17,0.7455455953190475,0.5601321016568791,0.7160635155295387,0.7453872011005671,0.5603461937259586,0.7156987281636737
18,0.6740882254758579,0.5207638406800388,0.6409717719984911,0.6740252197957171,0.5208583961076663,0.6405350814516851
19,0.6196455330219659,0.51249799349952,0.560084672431225,0.6197967162167118,0.5129603009216864,0.5596979866218941
20,0.5873574476576816,0.5202461325337582,0.48596682722783596,0.5876881597417314,0.5206572431321824,0.48591537689335473
21,0.5743202331823668,0.5360718854598011,0.4216332337258722,0.5747285101482905,0.5365864881125036,0.4215757579318635
22,0.5765575287883622,0.5584469982773111,0.36830031530052026,0.5771314292583342,0.559108244739,0.3684613431297987
23,0.5919602246201752,0.5893421839272104,0.3282205399194285,0.5926965109879472,0.5901569723634853,0.3285768520805905
24,0.6207530718558334,0.6320790973555849,0.30638058641198873,0.6216898999420492,0.6331062747824506,0.3070862304510046
25,0.6646381649989985,0.6888114231972493,0.3126079847699632,0.6658128096168215,0.6900168929082088,0.313864633350094
26,0.7241952806024619,0.7548481066571706,0.3627960709182736,0.7255538465335892,0.7560438236027681,0.36493073801474696
27,0.7928732959546378,0.8081226677260974,0.47173579168867213,0.7941427510571475,0.8085956411536289,0.4750212272013449
28,0.8487768697068452,0.8061098994253502,0.6246131291202117,0.8492416628484473,0.8046118442435091,0.6280665457393404
29,0.8586512679738343,0.7245754016519504,0.749637110968445,0.8576739104073933,0.7217438218591168,0.7504443297070027
30,0.8089853674938884,0.6096948129260307,0.7754613800955747,0.8072832337549859,0.6082679974844459,0.773782602060501
31,0.7262507099734785,0.5289016682732457,0.7160365934879469,0.7248028236165001,0.5284685868158052,0.714343370407887
32,0.6479865793968748,0.496790262609083,0.627126029056944,0.6469900375162944,0.4969387472241795,0.6251389849968323
33,0.5929545232761431,0.49404414393067153,0.5402775305325993,0.5926879661385845,0.4948325645618834,0.5387268034222475
34,0.5621240996885848,0.5035411431349676,0.46335812760337897,0.562366669824134,0.5043353680256741,0.46222130158098507
35,0.5500118535052242,0.5182006342415567,0.39682634353348917,0.5506208867953172,0.5192555493804735,0.395883550335359
36,0.5516034899111499,0.5374322401433093,0.34053345387719497,0.552621678020213,0.5387636932151546,0.34000566374927743
37,0.5645506735150715,0.563822913536599,0.29543141079993557,0.5659799058347765,0.56559141011778,0.2953312963123423
38,0.5892945424988606,0.6015880748403216,0.2647023599809222,0.591266441383275,0.6039657452551258,0.26534413513576244
39,0.6285239148196562,0.6554159764369704,0.25589823954525,0.6311935718258317,0.6585195330029302,0.25774492121964665
40,0.6857468106532829,0.7270259639365759,0.28428195718698923,0.6891973641741298,0.730690608298754,0.2882279427643403
41,0.7608958300559525,0.8049200773211794,0.37345962161080876,0.7648327639681258,0.8079854444795074,0.3806514988190379
42,0.8399967312273053,0.8477260017351198,0.536606908468567,0.8430743496000985,0.847113731828788,0.5467223142468308
43,0.8856284861681306,0.7964342889205551,0.7231018367799342,0.8854105436064434,0.789868602725199,0.730362755022155
44,0.8591359561748155,0.660246015814069,0.8172012901394026,0.8551577042475891,0.6533872403604503,0.8158846377478396
45,0.7706553077322096,0.536027733300199,0.7801445011942987,0.7658924477648178,0.5333729187257713,0.7754137276406663
46,0.670067457427751,0.4770468156442386,0.68221969778761,0.6662918112594373,0.4762585279722499,0.6774099084284607
47,0.5926642208309174,0.4643079636100038,0.581703792798953,0.5905199700111505,0.46535160397311504,0.5770377009434499
48,0.5450419661368033,0.4694635144852247,0.49390042621140323,0.5444572756353567,0.47073258663071427,0.4904993893453538
49,0.5202996995447441,0.47851726266315225,0.41830806378568813,0.5205971176970514,0.47997825985496256,0.4151595668914078
50,0.5101137955441366,0.4876726610966594,0.35274426368262823,0.5111652002410592,0.4894368137893629,0.3502566227225309
51,0.50885057303416,0.49743727883829536,0.29578011689919387,0.5105473153998129,0.49970536604544724,0.2937016404547416
52,0.5138612891901337,0.5098620057949382,0.24664389961421923,0.5163125303811551,0.5130275845902903,0.24517857489205025
53,0.5248670231162743,0.5278743171794241,0.20522511815520628,0.5284007861440443,0.53245134163193,0.20451761662006973
54,0.5435472711594904,0.5555800227742049,0.1726016310693747,0.5486894609404349,0.5623579384213071,0.17320702965164175
55,0.5735564082649619,0.5988454769351264,0.1525274775322631,0.5811289367365936,0.6088599056600751,0.15564937721535432
56,0.6207018299388064,0.6651382348514576,0.15493718317020588,0.6317693289028987,0.6793807955363163,0.16332088463201083
57,0.6920342870380565,0.7591843357087666,0.2026478099333509,0.7073989284335179,0.7769197126959791,0.2217442757275524
58,0.7897001167366506,0.8650293026126127,0.33595031308953766,0.8078026993015853,0.8787868419205589,0.3728079613099746
59,0.8921289105091228,0.910891815365167,0.5791306529361797,0.9046873666163695,0.9017794760207463,0.6282201014927542
60,0.9358431801792508,0.7990301837535084,0.8295338162282924,0.9299885465973412,0.7626415180258216,0.8538448899327562
61,0.8683030070890754,0.5895749739397402,0.8960298970414269,0.8465752739235953,0.5615500026140224,0.8811897808775768
