n_rows,format,file_bytes,file_kb,write_ms,read_full_ms,read_1col_ms,compression_vs_csv,schema_preserved
1000,csv,116679,113.9,2.27,0.69,0.37,1.0,True
1000,parquet,52322,51.1,0.65,0.58,0.34,2.23,True
1000,parquet_zstd,46596,45.5,0.8,0.58,0.35,2.5,True
1000,npy,56128,54.8,0.17,0.07,0.05,2.08,False
50000,csv,5816134,5679.8,107.95,21.02,10.46,1.0,True
50000,parquet,2461916,2404.2,12.4,4.48,0.57,2.36,True
50000,parquet_zstd,2164671,2113.9,13.66,3.78,0.7,2.69,True
50000,npy,2800128,2734.5,0.41,0.09,0.09,2.08,False
500000,csv,58164381,56801.2,1091.87,200.63,93.8,1.0,True
500000,parquet,20839223,20350.8,82.66,58.52,1.78,2.79,True
500000,parquet_zstd,17884969,17465.8,92.05,62.44,4.08,3.25,True
500000,npy,28000128,27343.9,4.67,1.74,1.62,2.08,False
