data_generation_seconds,transformation_seconds,feature_generation_seconds,training_seconds,inference_seconds,total_seconds,peak_memory_mb,model,n_points,n_features,rows_per_sec,feature_bytes
0.257903,9e-05,0.002349,0.007021,4e-05,0.275408,234.734,ngrc,10000,56,36309.8,4480000
1.203282,0.003758,0.009877,0.001878,0.000446,1.238799,293.562,ngrc,50000,56,40361.7,22400000
2.421902,0.000105,0.018042,0.003689,0.000766,2.447044,379.641,ngrc,100000,56,40865.6,44800000
12.073487,0.001334,0.188182,0.032966,0.008277,12.308743,963.281,ngrc,500000,56,40621.5,224000000
24.062251,0.002933,0.590218,0.065185,0.008042,24.745916,1494.812,ngrc,1000000,56,40410.7,448000000
0.275654,0.000139,0.009853,0.003872,0.000385,0.300937,1495.125,elm,10000,300,33229.5,24000000
1.251988,0.000104,0.049256,0.019551,0.000979,1.326451,1652.734,elm,50000,300,37694.6,120000000
2.484164,9.5e-05,0.075475,0.021607,0.002094,2.595428,1669.172,elm,100000,300,38529.3,240000000
12.492389,0.000671,1.301926,0.124265,0.054763,13.979273,2626.719,elm,500000,300,35767.2,1200000000
0.265177,9.9e-05,0.083243,0.003525,0.000586,0.375701,2670.047,esn,10000,300,26616.9,24000000
1.280786,0.000132,0.416216,0.013424,0.002122,1.752048,2670.062,esn,50000,300,28538.0,120000000
2.47768,0.000171,0.818145,0.028604,0.005033,3.360439,2805.75,esn,100000,300,29758.0,240000000
12.28861,0.000768,4.047134,0.131382,0.020334,16.510666,2817.062,esn,500000,300,30283.5,1200000000
0.03646,2.3e-05,0.595999,0.000164,1.2e-05,0.673399,2161.375,qrc_rich,500,96,742.5,384000
0.049692,2.4e-05,1.200708,0.000159,1.5e-05,1.274529,2161.469,qrc_rich,1000,96,784.6,768000
0.075652,3.1e-05,2.380511,0.00025,2.7e-05,2.472935,91.047,qrc_rich,2000,96,808.8,1536000
0.148789,3.6e-05,5.987661,0.000387,3.7e-05,6.162884,93.828,qrc_rich,5000,96,811.3,3840000
